"Year","Race","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2018","HI Native / Pacific Islander","North Carolina","--","6,846","--","--","--"
"2018","HI Native / Pacific Islander","North Dakota","--","439","--","--","--"
"2018","HI Native / Pacific Islander","Ohio","0**","4,786","0.00**","0.00**","--"
"2018","HI Native / Pacific Islander","Oklahoma","0**","6,799","0.00**","0.00**","--"
"2018","HI Native / Pacific Islander","Oregon","0**","17,095","0.00**","0.00**","--"
"2018","HI Native / Pacific Islander","Pennsylvania","0**","3,951","0.00**","0.00**","--"
"2018","HI Native / Pacific Islander","Rhode Island","0**","668","0.00**","0.00**","--"
"2018","HI Native / Pacific Islander","South Carolina","0**","2,894","0.00**","0.00**","--"
"2018","HI Native / Pacific Islander","South Dakota","0**","487","0.00**","0.00**","--"
"2018","HI Native / Pacific Islander","Tennessee","0**","3,596","0.00**","0.00**","--"
"2018","HI Native / Pacific Islander","Texas","--","24,493","--","--","--"
"2018","HI Native / Pacific Islander","Utah","--","31,463","--","--","--"
"2018","HI Native / Pacific Islander","Vermont","0**","197","0.00**","0.00**","--"
"2018","HI Native / Pacific Islander","Virginia","0**","6,201","0.00**","0.00**","--"
"2018","HI Native / Pacific Islander","Washington","--","51,920","--","--","--"
"2018","HI Native / Pacific Islander","West Virginia","0**","397","0.00**","0.00**","--"
"2018","HI Native / Pacific Islander","Wisconsin","--","2,207","--","--","--"
"2018","HI Native / Pacific Islander","Wyoming","0**","398","0.00**","0.00**","--"
"2018","More than One Race","Alabama","--","77,374","--","--","--"
"2018","More than One Race","Alaska","15**","50,620","29.63**","34.72**","500"
"2018","More than One Race","Arizona","30","148,854","20.15","22.72","943"
"2018","More than One Race","Arkansas","--","58,291","--","--","--"
"2018","More than One Race","California","62","1,123,607","5.52","6.16","2,000"
"2018","More than One Race","Colorado","13**","132,673","9.80**","10.93**","445"
"2018","More than One Race","Connecticut","0**","63,518","0.00**","0.00**","--"
"2018","More than One Race","Delaware","0**","23,297","0.00**","0.00**","--"
"2018","More than One Race","District of Columbia","--","16,234","--","--","--"
"2018","More than One Race","Florida","14**","355,716","3.94**","3.60**","476"
"2018","More than One Race","Georgia","--","196,267","--","--","--"
"2018","More than One Race","Hawaii","20**","279,067","7.17**","8.88**","428"
"2018","More than One Race","Idaho","--","35,059","--","--","--"
"2018","More than One Race","Illinois","--","209,553","--","--","--"
"2018","More than One Race","Indiana","--","126,436","--","--","--"
"2018","More than One Race","Iowa","--","54,232","--","--","--"
"2018","More than One Race","Kansas","13**","76,054","17.09**","20.85**","466"
"2018","More than One Race","Kentucky","--","82,342","--","--","--"
"2018","More than One Race","Louisiana","--","69,378","--","--","--"
"2018","More than One Race","Maine","--","22,105","--","--","--"
"2018","More than One Race","Maryland","--","149,790","--","--","--"
"2018","More than One Race","Massachusetts","0**","127,394","0.00**","0.00**","--"
"2018","More than One Race","Michigan","13**","224,625","5.79**","8.41**","322"
"2018","More than One Race","Minnesota","--","128,484","--","--","--"
"2018","More than One Race","Mississippi","--","34,941","--","--","--"
"2018","More than One Race","Missouri","15**","131,901","11.37**","15.57**","515"
"2018","More than One Race","Montana","--","25,995","--","--","--"
"2018","More than One Race","Nebraska","--","36,754","--","--","--"
"2018","More than One Race","Nevada","--","106,168","--","--","--"
"2018","More than One Race","New Hampshire","0**","20,938","0.00**","0.00**","--"
"2018","More than One Race","New Jersey","0**","138,861","0.00**","0.00**","--"
"2018","More than One Race","New Mexico","--","31,561","--","--","--"
"2018","More than One Race","New York","--","349,722","--","--","--"
"2018","More than One Race","North Carolina","--","204,561","--","--","--"
"2018","More than One Race","North Dakota","--","15,120","--","--","--"
"2018","More than One Race","Ohio","--","250,374","--","--","--"
"2018","More than One Race","Oklahoma","32","220,650","14.50","17.96","790"
"2018","More than One Race","Oregon","11**","137,621","7.99**","8.74**","379"
"2018","More than One Race","Pennsylvania","--","218,074","--","--","--"
"2018","More than One Race","Rhode Island","0**","22,480","0.00**","0.00**","--"
"2018","More than One Race","South Carolina","--","88,578","--","--","--"
"2018","More than One Race","South Dakota","--","18,978","--","--","--"
"2018","More than One Race","Tennessee","--","119,879","--","--","--"
"2018","More than One Race","Texas","--","424,734","--","--","--"
"2018","More than One Race","Utah","--","65,926","--","--","--"
"2018","More than One Race","Vermont","--","11,211","--","--","--"
"2018","More than One Race","Virginia","--","229,928","--","--","--"
"2018","More than One Race","Washington","20**","314,697","6.36**","6.07**","688"
"2018","More than One Race","West Virginia","0**","30,723","0.00**","0.00**","--"
"2018","More than One Race","Wisconsin","--","101,044","--","--","--"
"2018","More than One Race","Wyoming","--","10,014","--","--","--"
"Total","","","196,621","1,343,997,387","14.63","14.30","4,562,045"
"","","","","","","",""
"Injury Outcome: Fatal","","","","","","",""
"Injury Type: All Injury","","","","","","",""
"Data Years: 2018 to 2022","","","","","","",""
"Geography: United States","","","","","","",""
"Intent: All Intents","","","","","","",""
"Mechanism: Firearm","","","","","","",""
"Age: All Ages","","","","","","",""
"Sex: All Sexes","","","","","","",""
"Race: All Races","","","","","","",""
"Ethnicity: Non-Hispanic","","","","","","",""
"Metro / Non-Metro Indicator: None Selected","","","","","","",""
"YPLL Age: 65","","","","","","",""
"Year and Race Options: 2018 - 2021 by Single Race","","","","","","",""
"Produced by: National Center for Injury Prevention and Control, CDC.","","","","","","",""
