"Year","Race","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2019","Black","Delaware","40","214,911","18.61","19.15","1,355"
"2019","Black","District of Columbia","131","314,361","41.67","40.61","4,819"
"2019","Black","Florida","711","3,344,935","21.26","20.58","23,831"
"2019","Black","Georgia","689","3,364,704","20.48","19.59","22,712"
"2019","Black","Hawaii","0**","27,670","0.00**","0.00**","--"
"2019","Black","Idaho","--","13,144","--","--","--"
"2019","Black","Illinois","662","1,786,575","37.05","36.19","23,623"
"2019","Black","Indiana","271","647,894","41.83","40.11","9,654"
"2019","Black","Iowa","26","124,058","20.96","17.04","981"
"2019","Black","Kansas","50","167,331","29.88","27.77","1,673"
"2019","Black","Kentucky","122","367,649","33.18","31.10","4,413"
"2019","Black","Louisiana","509","1,506,360","33.79","33.62","16,621"
"2019","Black","Maine","--","22,016","--","--","--"
"2019","Black","Maryland","476","1,816,071","26.21","26.07","16,211"
"2019","Black","Massachusetts","48","506,061","9.49","8.89","1,540"
"2019","Black","Michigan","438","1,374,924","31.86","31.38","14,468"
"2019","Black","Minnesota","70","386,019","18.13","16.25","2,597"
"2019","Black","Mississippi","349","1,116,038","31.27","31.17","11,342"
"2019","Black","Missouri","445","711,045","62.58","61.70","15,223"
"2019","Black","Montana","--","5,700","--","--","--"
"2019","Black","Nebraska","23","94,692","24.29","22.89","777"
"2019","Black","Nevada","54","287,890","18.76","18.79","1,595"
"2019","Black","New Hampshire","--","20,144","--","--","--"
"2019","Black","New Jersey","166","1,150,177","14.43","14.37","5,713"
"2019","Black","New Mexico","19**","39,807","47.73**","46.79**","644"
"2019","Black","New York","243","2,804,140","8.67","8.47","8,154"
"2019","Black","North Carolina","485","2,241,888","21.63","21.10","16,220"
"2019","Black","North Dakota","--","24,810","--","--","--"
"2019","Black","Ohio","474","1,483,912","31.94","31.58","16,051"
"2019","Black","Oklahoma","117","291,706","40.11","38.93","3,867"
"2019","Black","Oregon","11**","81,893","13.43**","11.77**","270"
"2019","Black","Pennsylvania","450","1,390,079","32.37","31.42","15,183"
"2019","Black","Rhode Island","--","64,289","--","--","--"
"2019","Black","South Carolina","399","1,362,296","29.29","29.17","13,383"
"2019","Black","South Dakota","--","19,813","--","--","--"
"2019","Black","Tennessee","379","1,141,415","33.20","32.08","12,596"
"2019","Black","Texas","711","3,515,891","20.22","19.39","23,302"
"2019","Black","Utah","--","36,820","--","--","--"
"2019","Black","Vermont","--","8,052","--","--","--"
"2019","Black","Virginia","313","1,635,759","19.14","19.03","10,445"
"2019","Black","Washington","56","302,143","18.53","17.06","1,951"
