"Year","State","Metro / Non-Metro","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2020","West Virginia","Metro","--","27,235","--","--","--"
"2020","West Virginia","Non-Metro","--","8,613","--","--","--"
"2020","Wisconsin","Metro","137","184,507","74.25","71.65","4,861"
"2020","Wisconsin","Non-Metro","--","12,804","--","--","--"
"2020","Wyoming","Metro","0**","2,053","0.00**","0.00**","--"
"2020","Wyoming","Non-Metro","0**","2,124","0.00**","0.00**","--"
"2019","Alabama","Metro","245","484,862","50.53","50.22","8,050"
"2019","Alabama","Non-Metro","60","126,214","47.54","47.22","2,038"
"2019","Alaska","Metro","--","12,980","--","--","--"
"2019","Alaska","Non-Metro","0**","2,223","0.00**","0.00**","--"
"2019","Arizona","Metro","41","194,135","21.12","18.88","1,421"
"2019","Arizona","Non-Metro","0**","2,220","0.00**","0.00**","--"
"2019","Arkansas","Metro","71","150,217","47.27","45.50","2,201"
"2019","Arkansas","Non-Metro","40","75,724","52.82","55.24","1,372"
"2019","California","Metro","338","1,259,211","26.84","24.95","10,964"
"2019","California","Non-Metro","--","10,162","--","--","--"
"2019","Colorado","Metro","31","132,121","23.46","22.28","1,024"
"2019","Colorado","Non-Metro","0**","9,012","0.00**","0.00**","--"
"2019","Connecticut","Metro","35","206,404","16.96","15.66","1,192"
"2019","Connecticut","Non-Metro","0**","2,417","0.00**","0.00**","--"
"2019","Delaware","Metro","33","106,810","30.90","30.63","1,149"
"2019","District of Columbia","Metro","120","147,896","81.14","75.91","4,500"
"2019","Florida","Metro","526","1,695,296","31.03","29.43","18,257"
"2019","Florida","Non-Metro","11**","64,002","17.19**","14.27**","362"
"2019","Georgia","Metro","412","1,391,183","29.62","27.86","14,215"
"2019","Georgia","Non-Metro","49","228,964","21.40","19.38","1,731"
"2019","Hawaii","Metro","0**","17,326","0.00**","0.00**","--"
"2019","Hawaii","Non-Metro","0**","1,232","0.00**","0.00**","--"
"2019","Idaho","Metro","--","6,446","--","--","--"
"2019","Idaho","Non-Metro","0**","2,678","0.00**","0.00**","--"
"2019","Illinois","Metro","543","836,484","64.92","61.86","19,913"
"2019","Illinois","Non-Metro","--","37,951","--","--","--"
"2019","Indiana","Metro","204","310,193","65.77","61.24","7,539"
"2019","Indiana","Non-Metro","--","15,005","--","--","--"
"2019","Iowa","Metro","13**","55,026","23.63**","19.25**","518"
"2019","Iowa","Non-Metro","--","14,055","--","--","--"
"2019","Kansas","Metro","30","77,227","38.85","34.77","1,090"
"2019","Kansas","Non-Metro","--","15,608","--","--","--"
"2019","Kentucky","Metro","86","152,947","56.23","51.10","3,141"
"2019","Kentucky","Non-Metro","--","35,763","--","--","--"
"2019","Louisiana","Metro","352","607,654","57.93","57.30","11,680"
"2019","Louisiana","Non-Metro","30","118,065","25.41","22.58","1,019"
"2019","Maine","Metro","--","10,263","--","--","--"
"2019","Maine","Non-Metro","0**","2,482","0.00**","0.00**","--"
"2019","Maryland","Metro","391","870,774","44.90","42.81","13,773"
"2019","Maryland","Non-Metro","--","10,258","--","--","--"
"2019","Massachusetts","Metro","45","302,474","14.88","13.42","1,472"
"2019","Massachusetts","Non-Metro","0**","1,793","0.00**","0.00**","--"
"2019","Michigan","Metro","317","645,526","49.11","48.06","10,709"
"2019","Michigan","Non-Metro","0**","23,252","0.00**","0.00**","--"
"2019","Minnesota","Metro","50","191,040","26.17","23.43","1,891"
"2019","Minnesota","Non-Metro","--","12,803","--","--","--"
"2019","Mississippi","Metro","102","238,806","42.71","40.36","3,453"
"2019","Mississippi","Non-Metro","142","291,061","48.79","48.48","4,815"
"2019","Missouri","Metro","332","313,404","105.93","104.29","11,263"
"2019","Missouri","Non-Metro","--","31,529","--","--","--"
"2019","Montana","Metro","0**","2,032","0.00**","0.00**","--"
"2019","Montana","Non-Metro","0**","1,762","0.00**","0.00**","--"
