"Year","Intent","Sex","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2022","Legal Intervention","Males","Mississippi","--","1,428,776","--","--","--"
"2022","Legal Intervention","Males","Missouri","14**","3,054,821","0.46**","0.50**","358"
"2022","Legal Intervention","Males","Montana","--","569,846","--","--","--"
"2022","Legal Intervention","Males","Nebraska","--","990,672","--","--","--"
"2022","Legal Intervention","Males","Nevada","--","1,603,852","--","--","--"
"2022","Legal Intervention","Males","New Hampshire","--","697,809","--","--","--"
"2022","Legal Intervention","Males","New Jersey","--","4,565,014","--","--","--"
"2022","Legal Intervention","Males","New Mexico","28","1,053,151","2.66","2.79","735"
"2022","Legal Intervention","Males","New York","13**","9,626,210","0.14**","0.14**","425"
"2022","Legal Intervention","Males","North Carolina","27","5,239,829","0.52","0.54","818"
"2022","Legal Intervention","Males","North Dakota","--","400,463","--","--","--"
"2022","Legal Intervention","Males","Ohio","20**","5,809,684","0.34**","0.38**","497"
"2022","Legal Intervention","Males","Oregon","21","2,117,172","0.99","1.03","549"
"2022","Legal Intervention","Males","Pennsylvania","16**","6,405,343","0.25**","0.26**","455"
"2022","Legal Intervention","Males","Rhode Island","0**","536,995","0.00**","0.00**","--"
"2022","Legal Intervention","Males","South Carolina","11**","2,572,119","0.43**","0.41**","205"
"2022","Legal Intervention","Males","South Dakota","--","462,723","--","--","--"
"2022","Legal Intervention","Males","Tennessee","--","3,462,358","--","--","--"
"2022","Legal Intervention","Males","Texas","73","15,019,450","0.49","0.48","1,992"
"2022","Legal Intervention","Males","Utah","--","1,716,831","--","--","--"
"2022","Legal Intervention","Males","Vermont","--","322,025","--","--","--"
"2022","Legal Intervention","Males","Virginia","--","4,299,114","--","--","--"
"2022","Legal Intervention","Males","Washington","26","3,928,342","0.66","0.66","773"
"2022","Legal Intervention","Males","West Virginia","--","886,306","--","--","--"
"2022","Legal Intervention","Males","Wisconsin","--","2,955,306","--","--","--"
"2022","Legal Intervention","Males","Wyoming","--","297,954","--","--","--"
"2022","Legal Intervention","Females","Arizona","--","3,680,163","--","--","--"
"2022","Legal Intervention","Females","California","--","19,494,326","--","--","--"
"2022","Legal Intervention","Females","Colorado","--","2,875,382","--","--","--"
"2022","Legal Intervention","Females","District of Columbia","--","352,121","--","--","--"
"2022","Legal Intervention","Females","Georgia","--","5,582,224","--","--","--"
"2022","Legal Intervention","Females","Indiana","--","3,437,549","--","--","--"
"2022","Legal Intervention","Females","Kansas","--","1,461,695","--","--","--"
"2022","Legal Intervention","Females","Kentucky","--","2,271,801","--","--","--"
"2022","Legal Intervention","Females","Maine","--","702,108","--","--","--"
"2022","Legal Intervention","Females","Mississippi","--","1,511,281","--","--","--"
"2022","Legal Intervention","Females","Missouri","--","3,123,136","--","--","--"
"2022","Legal Intervention","Females","Nebraska","--","977,251","--","--","--"
"2022","Legal Intervention","Females","New Mexico","--","1,060,193","--","--","--"
"2022","Legal Intervention","Females","North Carolina","--","5,459,144","--","--","--"
"2022","Legal Intervention","Females","North Dakota","0**","378,798","0.00**","0.00**","--"
"2022","Legal Intervention","Females","Ohio","--","5,946,374","--","--","--"
"2022","Legal Intervention","Females","South Carolina","--","2,710,515","--","--","--"
"2022","Legal Intervention","Females","Tennessee","--","3,588,981","--","--","--"
"2022","Legal Intervention","Females","Texas","--","15,010,122","--","--","--"
"2022","Legal Intervention","Females","Virginia","--","4,384,505","--","--","--"
"2022","Legal Intervention","Females","Wisconsin","--","2,937,233","--","--","--"
"2022","Legal Intervention","Females","Wyoming","0**","283,427","0.00**","0.00**","--"
"2022","Suicide","Males","Alabama","526","2,467,360","21.32","20.61","9,271"
"2022","Suicide","Males","Alaska","101","385,947","26.17","26.33","2,329"
"2022","Suicide","Males","Arizona","863","3,679,034","23.46","21.54","14,280"
"2022","Suicide","Males","Arkansas","290","1,505,477","19.26","19.00","5,531"
"2022","Suicide","Males","California","1,529","19,535,016","7.83","7.44","23,008"
