"Year","Intent","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2017","Unintentional","Montana","--","1,053,862","--","--","--"
"2017","Unintentional","Nebraska","--","1,916,998","--","--","--"
"2017","Unintentional","Nevada","--","2,972,097","--","--","--"
"2017","Unintentional","New Hampshire","--","1,350,395","--","--","--"
"2017","Unintentional","New Jersey","--","8,888,147","--","--","--"
"2017","Unintentional","New Mexico","--","2,092,844","--","--","--"
"2017","Unintentional","New York","--","19,593,849","--","--","--"
"2017","Unintentional","North Carolina","43","10,275,758","0.42","0.42","1,133"
"2017","Unintentional","Ohio","19**","11,665,706","0.16**","0.18**","530"
"2017","Unintentional","Oklahoma","--","3,933,602","--","--","--"
"2017","Unintentional","Oregon","--","4,147,294","--","--","--"
"2017","Unintentional","Pennsylvania","13**","12,794,679","0.10**","0.11**","528"
"2017","Unintentional","South Carolina","15**","5,027,102","0.30**","0.31**","666"
"2017","Unintentional","South Dakota","--","873,732","--","--","--"
"2017","Unintentional","Tennessee","22","6,714,748","0.33","0.33","532"
"2017","Unintentional","Texas","32","28,291,024","0.11","0.12","1,033"
"2017","Unintentional","Utah","--","3,103,540","--","--","--"
"2017","Unintentional","Vermont","--","625,132","--","--","--"
"2017","Unintentional","Virginia","--","8,471,011","--","--","--"
"2017","Unintentional","Washington","--","7,427,951","--","--","--"
"2017","Unintentional","West Virginia","--","1,818,683","--","--","--"
"2017","Unintentional","Wisconsin","--","5,793,147","--","--","--"
"2017","Unintentional","Wyoming","--","579,994","--","--","--"
"2017","Homicide","Alabama","506","4,877,989","10.37","10.91","15,820"
"2017","Homicide","Alaska","46","740,983","6.21","6.25","1,373"
"2017","Homicide","Arizona","304","7,048,088","4.31","4.47","9,363"
"2017","Homicide","Arkansas","192","3,003,855","6.39","6.82","5,927"
"2017","Homicide","California","1,435","39,337,785","3.65","3.66","45,223"
"2017","Homicide","Colorado","160","5,617,421","2.85","2.81","5,013"
"2017","Homicide","Connecticut","73","3,575,324","2.04","2.21","2,529"
"2017","Homicide","Delaware","57","957,942","5.95","6.22","2,065"
"2017","Homicide","District of Columbia","90","697,079","12.91","11.53","3,077"
"2017","Homicide","Florida","947","20,977,089","4.51","4.88","29,736"
"2017","Homicide","Georgia","666","10,417,031","6.39","6.42","22,019"
"2017","Homicide","Hawaii","--","1,425,763","--","--","--"
"2017","Homicide","Idaho","27","1,719,745","1.57","1.70","826"
"2017","Homicide","Illinois","934","12,779,893","7.31","7.53","34,152"
"2017","Homicide","Indiana","371","6,662,068","5.57","5.81","12,158"
"2017","Homicide","Iowa","64","3,143,734","2.04","2.15","1,997"
"2017","Homicide","Kansas","137","2,910,892","4.71","4.87","4,317"
"2017","Homicide","Kentucky","228","4,455,590","5.12","5.35","7,245"
"2017","Homicide","Louisiana","534","4,673,673","11.43","11.78","17,779"
"2017","Homicide","Maine","10**","1,335,743","0.75**","0.72**","223"
