"Year","Age Group","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2022","30 to 34","Michigan","160","668,476","23.94","--","5,303"
"2022","30 to 34","Minnesota","70","378,963","18.47","--","2,305"
"2022","30 to 34","Mississippi","91","190,837","47.69","--","3,018"
"2022","30 to 34","Missouri","162","413,129","39.21","--","5,342"
"2022","30 to 34","Montana","21","74,433","28.21","--","691"
"2022","30 to 34","Nebraska","27","125,454","21.52","--","879"
"2022","30 to 34","Nevada","66","239,425","27.57","--","2,195"
"2022","30 to 34","New Hampshire","13**","92,377","14.07**","--","426"
"2022","30 to 34","New Jersey","53","611,609","8.67","--","1,747"
"2022","30 to 34","New Mexico","73","141,737","51.50","--","2,434"
"2022","30 to 34","New York","115","1,412,771","8.14","--","3,804"
"2022","30 to 34","North Carolina","191","733,732","26.03","--","6,307"
"2022","30 to 34","North Dakota","15**","55,509","27.02**","--","496"
"2022","30 to 34","Ohio","204","791,017","25.79","--","6,755"
"2022","30 to 34","Oklahoma","74","274,928","26.92","--","2,438"
"2022","30 to 34","Oregon","59","309,969","19.03","--","1,950"
"2022","30 to 34","Pennsylvania","236","875,506","26.96","--","7,787"
"2022","30 to 34","Rhode Island","--","78,945","--","--","--"
"2022","30 to 34","South Carolina","118","353,206","33.41","--","3,899"
"2022","30 to 34","South Dakota","15**","57,603","26.04**","--","494"
"2022","30 to 34","Tennessee","159","493,987","32.19","--","5,249"
"2022","30 to 34","Texas","491","2,203,467","22.28","--","16,220"
"2022","30 to 34","Utah","30","240,545","12.47","--","984"
"2022","30 to 34","Vermont","--","39,890","--","--","--"
"2022","30 to 34","Virginia","141","598,752","23.55","--","4,671"
"2022","30 to 34","Washington","112","620,582","18.05","--","3,721"
"2022","30 to 34","West Virginia","24","108,130","22.20","--","777"
"2022","30 to 34","Wisconsin","102","365,650","27.90","--","3,384"
"2022","30 to 34","Wyoming","--","38,008","--","--","--"
"2022","35 to 39","Alabama","106","311,105","34.07","--","2,987"
"2022","35 to 39","Alaska","17**","55,491","30.64**","--","481"
"2022","35 to 39","Arizona","142","471,743","30.10","--","3,957"
"2022","35 to 39","Arkansas","60","191,231","31.38","--","1,662"
"2022","35 to 39","California","330","2,783,889","11.85","--","9,283"
"2022","35 to 39","Colorado","98","443,101","22.12","--","2,771"
"2022","35 to 39","Connecticut","33","234,440","14.08","--","931"
"2022","35 to 39","Delaware","--","63,310","--","--","--"
"2022","35 to 39","District of Columbia","13**","62,344","20.85**","--","358"
"2022","35 to 39","Florida","252","1,413,068","17.83","--","7,036"
"2022","35 to 39","Georgia","200","727,448","27.49","--","5,618"
"2022","35 to 39","Hawaii","--","98,240","--","--","--"
"2022","35 to 39","Idaho","27","126,290","21.38","--","749"
"2022","35 to 39","Illinois","181","841,980","21.50","--","5,065"
"2022","35 to 39","Indiana","88","430,282","20.45","--","2,478"
"2022","35 to 39","Iowa","34","200,230","16.98","--","954"
"2022","35 to 39","Kansas","44","190,763","23.07","--","1,232"
"2022","35 to 39","Kentucky","76","277,426","27.40","--","2,128"
