"Year","Sex","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2021","Males","Pennsylvania","1,650","6,414,719","25.72","25.60","41,536"
"2021","Males","Rhode Island","56","537,727","10.41","9.98","1,308"
"2021","Males","South Carolina","963","2,527,583","38.10","38.74","25,364"
"2021","Males","South Dakota","112","455,529","24.59","24.54","2,527"
"2021","Males","Tennessee","1,290","3,415,804","37.77","38.23","33,109"
"2021","Males","Texas","3,936","14,752,431","26.68","26.80","103,015"
"2021","Males","Utah","392","1,690,468","23.19","24.35","9,396"
"2021","Males","Vermont","76","321,586","23.63","22.37","1,425"
"2021","Males","Virginia","1,072","4,280,743","25.04","24.73","27,461"
"2021","Males","Washington","786","3,900,443","20.15","19.58","17,650"
"2021","Males","West Virginia","269","891,597","30.17","28.79","4,783"
"2021","Males","Wisconsin","680","2,944,249","23.10","23.19","16,912"
"2021","Males","Wyoming","130","296,452","43.85","44.25","2,676"
"2021","Females","Alabama","194","2,597,468","7.47","7.45","4,589"
"2021","Females","Alaska","33","348,659","9.47","9.84","878"
"2021","Females","Arizona","209","3,641,395","5.74","5.75","4,899"
"2021","Females","Arkansas","117","1,533,101","7.63","8.21","2,885"
"2021","Females","California","369","19,584,502","1.88","1.87","9,362"
"2021","Females","Colorado","165","2,868,558","5.75","5.59","3,771"
"2021","Females","Connecticut","25","1,835,948","1.36","1.24","575"
"2021","Females","Delaware","26","517,399","5.03","5.25","677"
"2021","Females","District of Columbia","22","350,457","6.28","5.76","617"
"2021","Females","Florida","542","11,108,701","4.88","4.84","11,603"
"2021","Females","Georgia","382","5,528,450","6.91","6.85","9,628"
"2021","Females","Hawaii","12**","718,704","1.67**","1.55**","266"
"2021","Females","Idaho","39","947,261","4.12","4.42","829"
"2021","Females","Illinois","242","6,416,681","3.77","3.90","7,087"
"2021","Females","Indiana","199","3,433,606","5.80","5.98","5,705"
"2021","Females","Iowa","38","1,594,769","2.38","2.45","856"
"2021","Females","Kansas","62","1,463,547","4.24","4.61","1,885"
"2021","Females","Kentucky","127","2,273,511","5.59","5.61","3,144"
"2021","Females","Louisiana","211","2,361,362","8.94","9.03","5,810"
"2021","Females","Maine","19**","699,356","2.72**","2.82**","440"
"2021","Females","Maryland","115","3,170,013","3.63","3.71","2,921"
"2021","Females","Massachusetts","28","3,574,578","0.78","0.77","660"
"2021","Females","Michigan","194","5,061,718","3.83","3.93","5,272"
"2021","Females","Minnesota","73","2,850,666","2.56","2.67","2,089"
"2021","Females","Mississippi","161","1,516,886","10.61","10.88","4,164"
"2021","Females","Missouri","193","3,123,390","6.18","6.29","5,110"
"2021","Females","Montana","36","545,605","6.60","6.42","810"
"2021","Females","Nebraska","26","976,686","2.66","2.98","745"
"2021","Females","Nevada","92","1,561,447","5.89","5.63","1,820"
"2021","Females","New Hampshire","14**","695,069","2.01**","2.17**","346"
"2021","Females","New Jersey","45","4,709,304","0.96","1.00","1,267"
"2021","Females","New Mexico","81","1,064,284","7.61","7.96","2,125"
"2021","Females","New York","88","10,157,592","0.87","0.89","2,489"
"2021","Females","North Carolina","279","5,396,821","5.17","5.05","6,493"
"2021","Females","North Dakota","18**","378,510","4.76**","5.29**","424"
"2021","Females","Ohio","294","5,961,416","4.93","5.22","8,220"
"2021","Females","Oklahoma","144","2,003,211","7.19","7.45","3,748"
"2021","Females","Oregon","103","2,133,669","4.83","4.52","1,926"
"2021","Females","Pennsylvania","255","6,598,895","3.86","3.99","6,354"
"2021","Females","Rhode Island","--","559,365","--","--","--"
"2021","Females","South Carolina","173","2,666,265","6.49","6.81","4,476"
"2021","Females","South Dakota","16**","440,770","3.63**","3.79**","360"
"2021","Females","Tennessee","279","3,547,905","7.86","8.08","6,816"
"2021","Females","Texas","677","14,808,855","4.57","4.56","16,926"
"2021","Females","Utah","58","1,648,816","3.52","3.59","1,475"
"2021","Females","Vermont","--","325,507","--","--","--"
"2021","Females","Virginia","176","4,376,605","4.02","4.03","4,494"
"2021","Females","Washington","110","3,840,990","2.86","2.79","2,614"
"2021","Females","West Virginia","50","893,652","5.60","6.12","1,237"
"2021","Females","Wisconsin","113","2,935,729","3.85","3.94","3,013"
"2021","Females","Wyoming","25","283,096","8.83","8.32","573"
"2020","Males","Alabama","963","2,446,241","39.37","40.14","24,731"
"2020","Males","Alaska","145","385,187","37.64","36.96","3,874"
"2020","Males","Arizona","1,074","3,590,478","29.91","29.23","23,917"
"2020","Males","Arkansas","564","1,488,756","37.88","38.67","14,105"
"2020","Males","California","3,045","19,752,720","15.42","15.14","74,705"
"2020","Males","Colorado","802","2,930,032","27.37","26.75","19,038"
"2020","Males","Connecticut","195","1,756,250","11.10","10.95","4,394"
"2020","Males","Delaware","120","481,473","24.92","25.70","3,346"
"2020","Males","District of Columbia","145","320,853","45.19","45.01","4,945"
"2020","Males","Florida","2,562","10,606,670","24.16","23.44","57,680"
"2020","Males","Georgia","1,612","5,241,444","30.76","31.09","43,038"
"2020","Males","Hawaii","46","731,564","6.29","6.05","834"
"2020","Males","Idaho","277","929,177","29.81","29.95","5,830"
"2020","Males","Illinois","1,575","6,323,271","24.91","25.07","46,755"
"2020","Males","Indiana","990","3,367,131","29.40","29.61","26,189"
"2020","Males","Iowa","306","1,598,540","19.14","19.44","6,697"
"2020","Males","Kansas","426","1,474,552","28.89","28.49","11,046"
"2020","Males","Kentucky","763","2,235,946","34.12","34.41","18,113"
"2020","Males","Louisiana","1,017","2,279,962","44.61","45.57","29,483"
"2020","Males","Maine","133","672,604","19.77","18.27","2,212"
"2020","Males","Maryland","712","3,005,604","23.69","24.08","19,909"
"2020","Males","Massachusetts","244","3,420,990","7.13","6.96","6,196"
"2020","Males","Michigan","1,250","4,993,128","25.03","24.99","30,605"
"2020","Males","Minnesota","458","2,863,249","16.00","15.74","10,500"
"2020","Males","Mississippi","694","1,437,984","48.26","50.03","19,216"
"2020","Males","Missouri","1,201","3,038,925","39.52","40.52","31,744"
"2020","Males","Montana","208","551,158","37.74","35.99","4,220"
"2020","Males","Nebraska","182","986,783","18.44","18.62","4,162"
"2020","Males","Nevada","474","1,570,705","30.18","29.73","9,657"
"2020","Males","New Hampshire","101","687,418","14.69","14.08","1,981"
"2020","Males","New Jersey","395","4,561,877","8.66","8.70","10,197"
"2020","Males","New Mexico","410","1,053,759","38.91","39.01","9,778"
"2020","Males","New York","966","9,818,892","9.84","9.65","24,631"
"2020","Males","North Carolina","1,445","5,120,661","28.22","28.08","37,478"
"2020","Males","North Dakota","85","400,801","21.21","21.96","2,094"
"2020","Males","Ohio","1,522","5,820,237","26.15","26.29","39,363"
"2020","Males","Oklahoma","697","1,976,159","35.27","35.49","16,175"
"2020","Males","Oregon","510","2,117,618","24.08","22.75","10,094"
"2020","Males","Pennsylvania","1,553","6,406,955","24.24","23.99","39,028"
"2020","Males","Rhode Island","48","537,362","8.93","8.58","1,174"
"2020","Males","South Carolina","976","2,499,324","39.05","39.19","26,290"
"2020","Males","South Dakota","105","451,082","23.28","23.53","2,550"
"2020","Males","Tennessee","1,252","3,401,313","36.81","36.96","30,890"
"2020","Males","Texas","3,515","14,594,055","24.09","24.26","92,748"
"2020","Males","Utah","369","1,662,923","22.19","23.15","9,555"
"2020","Males","Vermont","68","319,764","21.27","19.71","1,287"
"2020","Males","Virginia","1,000","4,270,915","23.41","23.17","25,317"
"2020","Males","Washington","743","3,891,335","19.09","18.75","16,710"
"2020","Males","West Virginia","274","894,778","30.62","30.10","5,545"
"2020","Males","Wisconsin","631","2,953,715","21.36","21.28","14,548"
"2020","Males","Wyoming","133","295,854","44.96","44.66","2,764"
"2020","Females","Alabama","178","2,585,623","6.88","6.95","3,987"
"2020","Females","Alaska","30","347,777","8.63","8.46","869"
"2020","Females","Arizona","191","3,596,205","5.31","5.29","4,132"
"2020","Females","Arkansas","109","1,525,592","7.15","7.22","2,723"
"2020","Females","California","404","19,750,480","2.05","1.98","9,400"
"2020","Females","Colorado","120","2,855,187","4.20","4.16","2,793"
"2020","Females","Connecticut","24","1,821,336","1.32","1.31","603"
"2020","Females","Delaware","15**","510,389","2.94**","3.58**","546"
"2020","Females","District of Columbia","22","349,986","6.29","6.22","776"
"2020","Females","Florida","479","10,984,629","4.36","4.32","10,610"
"2020","Females","Georgia","285","5,490,946","5.19","5.24","7,352"
"2020","Females","Hawaii","--","719,617","--","--","--"
"2020","Females","Idaho","44","920,162","4.78","4.94","919"
"2020","Females","Illinois","170","6,467,086","2.63","2.67","4,677"
"2020","Females","Indiana","169","3,421,967","4.94","5.27","4,802"
"2020","Females","Iowa","45","1,592,364","2.83","2.92","1,116"
"2020","Females","Kansas","68","1,463,572","4.65","4.86","1,808"
"2020","Females","Kentucky","139","2,272,209","6.12","6.18","3,504"
"2020","Females","Louisiana","166","2,372,060","7.00","7.30","4,765"
"2020","Females","Maine","20**","691,913","2.89**","2.61**","346"
"2020","Females","Maryland","91","3,168,085","2.87","3.00","2,498"
"2020","Females","Massachusetts","24","3,576,723","0.67","0.62","662"
"2020","Females","Michigan","204","5,077,499","4.02","4.10","5,070"
"2020","Females","Minnesota","55","2,847,329","1.93","1.93","1,244"
"2020","Females","Mississippi","124","1,520,425","8.16","8.64","3,511"
"2020","Females","Missouri","225","3,115,501","7.22","7.48","6,273"
"2020","Females","Montana","30","536,053","5.60","5.32","645"
"2020","Females","Nebraska","15**","976,490","1.54**","1.50**","383"
"2020","Females","Nevada","73","1,545,135","4.73","4.70","1,574"
"2020","Females","New Hampshire","27","691,284","3.91","3.80","469"
"2020","Females","New Jersey","48","4,710,515","1.02","1.07","1,279"
"2020","Females","New Mexico","69","1,064,729","6.48","6.31","1,502"
"2020","Females","New York","86","10,285,818","0.84","0.84","2,190"
"2020","Females","North Carolina","254","5,333,151","4.76","4.74","6,312"
"2020","Females","North Dakota","15**","378,762","3.96**","4.22**","403"
"2020","Females","Ohio","242","5,978,055","4.05","4.20","6,411"
"2020","Females","Oklahoma","129","1,989,075","6.49","6.50","2,994"
"2020","Females","Oregon","82","2,127,426","3.85","3.59","1,378"
"2020","Females","Pennsylvania","199","6,588,522","3.02","3.06","4,730"
"2020","Females","Rhode Island","--","559,082","--","--","--"
"2020","Females","South Carolina","155","2,632,827","5.89","6.19","3,802"
"2020","Females","South Dakota","15**","436,770","3.43**","3.53**","357"
"2020","Females","Tennessee","221","3,524,778","6.27","6.21","4,934"
"2020","Females","Texas","649","14,640,306","4.43","4.45","16,741"
"2020","Females","Utah","60","1,621,059","3.70","3.80","1,556"
"2020","Females","Vermont","--","323,172","--","--","--"
"2020","Females","Virginia","174","4,366,278","3.99","3.88","4,015"
"2020","Females","Washington","121","3,833,231","3.16","3.04","2,873"
"2020","Females","West Virginia","51","896,784","5.69","5.89","1,247"
"2020","Females","Wisconsin","86","2,942,985","2.92","2.96","2,112"
"2020","Females","Wyoming","21","281,810","7.45","7.87","445"
"2019","Males","Alabama","893","2,371,832","37.65","38.06","21,440"
