"Year","Ethnicity","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2021","Non-Hispanic","Washington","807","6,677,927","12.09","11.43","17,138"
"2021","Non-Hispanic","West Virginia","318","1,750,497","18.17","17.51","6,009"
"2021","Non-Hispanic","Wisconsin","757","5,441,137","13.91","13.91","18,568"
"2021","Non-Hispanic","Wyoming","151","517,925","29.16","28.45","3,070"
"2021","Hispanic","Alabama","24","241,057","9.96","10.11","806"
"2021","Hispanic","Alaska","11**","55,584","19.79**","17.30**","387"
"2021","Hispanic","Arizona","358","2,340,827","15.29","14.73","11,629"
"2021","Hispanic","Arkansas","15**","251,422","5.97**","5.63**","499"
"2021","Hispanic","California","1,321","15,678,784","8.43","8.00","42,304"
"2021","Hispanic","Colorado","232","1,293,428","17.94","17.34","7,493"
"2021","Hispanic","Connecticut","34","641,425","5.30","4.98","1,130"
"2021","Hispanic","Delaware","--","101,616","--","--","--"
"2021","Hispanic","District of Columbia","--","76,862","--","--","--"
"2021","Hispanic","Florida","392","5,838,983","6.71","6.55","10,560"
"2021","Hispanic","Georgia","102","1,105,261","9.23","8.48","3,557"
"2021","Hispanic","Hawaii","--","159,430","--","--","--"
"2021","Hispanic","Idaho","21","252,314","8.32","7.71","732"
"2021","Hispanic","Illinois","208","2,292,752","9.07","8.24","7,414"
"2021","Hispanic","Indiana","57","525,341","10.85","10.09","1,976"
"2021","Hispanic","Iowa","--","215,175","--","--","--"
"2021","Hispanic","Kansas","62","376,207","16.48","15.89","2,181"
"2021","Hispanic","Kentucky","29","188,024","15.42","14.52","1,016"
"2021","Hispanic","Louisiana","26","259,802","10.01","9.88","859"
"2021","Hispanic","Maine","--","27,210","--","--","--"
"2021","Hispanic","Maryland","47","689,373","6.82","6.61","1,698"
"2021","Hispanic","Massachusetts","37","895,271","4.13","3.55","1,337"
"2021","Hispanic","Michigan","61","560,135","10.89","10.92","1,978"
"2021","Hispanic","Minnesota","24","333,620","7.19","7.52","814"
"2021","Hispanic","Mississippi","--","102,124","--","--","--"
"2021","Hispanic","Missouri","28","288,918","9.69","9.97","861"
"2021","Hispanic","Montana","--","48,076","--","--","--"
"2021","Hispanic","Nebraska","15**","236,480","6.34**","7.39**","436"
"2021","Hispanic","Nevada","119","939,856","12.66","12.04","3,815"
"2021","Hispanic","New Hampshire","--","61,187","--","--","--"
"2021","Hispanic","New Jersey","68","1,996,207","3.41","3.29","2,323"
"2021","Hispanic","New Mexico","294","1,057,779","27.79","28.00","8,863"
"2021","Hispanic","New York","143","3,894,598","3.67","3.53","4,866"
"2021","Hispanic","North Carolina","108","1,080,426","10.00","9.49","3,775"
"2021","Hispanic","North Dakota","--","34,822","--","--","--"
"2021","Hispanic","Ohio","52","507,683","10.24","9.87","1,745"
"2021","Hispanic","Oklahoma","41","470,516","8.71","8.03","1,504"
"2021","Hispanic","Oregon","54","596,978","9.05","8.13","1,858"
"2021","Hispanic","Pennsylvania","124","1,084,917","11.43","10.77","4,128"
"2021","Hispanic","Rhode Island","11**","187,724","5.86**","5.30**","389"
"2021","Hispanic","South Carolina","34","330,126","10.30","10.44","1,135"
"2021","Hispanic","South Dakota","--","41,673","--","--","--"
"2021","Hispanic","Tennessee","61","427,059","14.28","14.29","2,038"
"2021","Hispanic","Texas","1,234","11,845,413","10.42","10.12","39,375"
"2021","Hispanic","Utah","50","495,239","10.10","11.00","1,724"
"2021","Hispanic","Vermont","0**","14,353","0.00**","0.00**","--"
"2021","Hispanic","Virginia","56","884,746","6.33","5.64","2,128"
"2021","Hispanic","Washington","89","1,062,818","8.37","7.73","3,126"
"2021","Hispanic","West Virginia","0**","35,029","0.00**","0.00**","--"
"2021","Hispanic","Wisconsin","36","438,964","8.20","7.35","1,357"
"2021","Hispanic","Wyoming","--","61,558","--","--","--"
"2021","Unknown","Alaska","--","--","--","--","--"
"2021","Unknown","Arizona","--","--","--","--","--"
"2021","Unknown","Arkansas","--","--","--","--","--"
"2021","Unknown","California","--","--","--","--","--"
"2021","Unknown","Colorado","--","--","--","--","--"
"2021","Unknown","Connecticut","--","--","--","--","--"
"2021","Unknown","Florida","--","--","--","--","--"
"2021","Unknown","Georgia","--","--","--","--","--"
"2021","Unknown","Hawaii","--","--","--","--","--"
"2021","Unknown","Idaho","--","--","--","--","--"
"2021","Unknown","Illinois","--","--","--","--","--"
"2021","Unknown","Indiana","--","--","--","--","--"
"2021","Unknown","Kansas","11**","--","0.00**","0.00**","351"
"2021","Unknown","Louisiana","--","--","--","--","--"
"2021","Unknown","Maine","--","--","--","--","--"
"2021","Unknown","Maryland","--","--","--","--","--"
"2021","Unknown","Massachusetts","--","--","--","--","--"
"2021","Unknown","Michigan","--","--","--","--","--"
"2021","Unknown","Minnesota","--","--","--","--","--"
"2021","Unknown","Missouri","--","--","--","--","--"
"2021","Unknown","New Mexico","--","--","--","--","--"
"2021","Unknown","New York","--","--","--","--","--"
"2021","Unknown","North Carolina","--","--","--","--","--"
"2021","Unknown","North Dakota","--","--","--","--","--"
"2021","Unknown","Oregon","--","--","--","--","--"
"2021","Unknown","Pennsylvania","--","--","--","--","--"
"2021","Unknown","Tennessee","--","--","--","--","--"
"2021","Unknown","Texas","--","--","--","--","--"
"2021","Unknown","Virginia","--","--","--","--","--"
"2021","Unknown","West Virginia","--","--","--","--","--"
"2020","Non-Hispanic","Alabama","1,126","4,798,361","23.47","23.67","28,199"
"2020","Non-Hispanic","Alaska","166","678,579","24.46","23.93","4,432"
"2020","Non-Hispanic","Arizona","962","4,881,468","19.71","18.62","18,401"
"2020","Non-Hispanic","Arkansas","651","2,770,541","23.50","23.86","16,162"
"2020","Non-Hispanic","California","2,280","23,850,981","9.56","8.85","45,726"
"2020","Non-Hispanic","Colorado","743","4,511,707","16.47","15.58","16,115"
"2020","Non-Hispanic","Connecticut","187","2,972,175","6.29","6.06","3,882"
"2020","Non-Hispanic","Delaware","134","893,548","15.00","15.89","3,862"
"2020","Non-Hispanic","District of Columbia","161","593,207","27.14","26.52","5,518"
"2020","Non-Hispanic","Florida","2,639","15,854,982","16.65","16.37","57,342"
"2020","Non-Hispanic","Georgia","1,828","9,650,406","18.94","18.89","48,335"
"2020","Non-Hispanic","Hawaii","45","1,291,776","3.48","3.30","818"
"2020","Non-Hispanic","Idaho","291","1,608,440","18.09","17.78","5,732"
"2020","Non-Hispanic","Illinois","1,530","10,504,705","14.57","14.91","44,102"
"2020","Non-Hispanic","Indiana","1,098","6,278,033","17.49","17.53","28,866"
"2020","Non-Hispanic","Iowa","345","2,981,665","11.57","11.59","7,603"
"2020","Non-Hispanic","Kansas","421","2,568,185","16.39","16.06","10,057"
"2020","Non-Hispanic","Kentucky","885","4,325,757","20.46","20.38","21,051"
"2020","Non-Hispanic","Louisiana","1,163","4,396,262","26.45","27.06","33,625"
"2020","Non-Hispanic","Maine","151","1,337,875","11.29","10.36","2,558"
"2020","Non-Hispanic","Maryland","768","5,497,805","13.97","14.24","21,401"
"2020","Non-Hispanic","Massachusetts","220","6,114,624","3.60","3.40","5,127"
"2020","Non-Hispanic","Michigan","1,393","9,519,243","14.63","14.53","33,735"
