"Year","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2018","Alaska","148","683,255","21.66","21.37","3,920"
"2018","Arizona","889","4,905,324","18.12","16.46","15,526"
"2018","Arkansas","563","2,781,529","20.24","20.14","12,933"
"2018","California","2,066","24,034,728","8.60","7.81","37,726"
"2018","Colorado","728","4,463,014","16.31","15.39","15,504"
"2018","Connecticut","172","2,984,233","5.76","5.31","3,041"
"2018","Delaware","105","875,578","11.99","12.68","2,912"
"2018","District of Columbia","122","625,930","19.49","17.70","4,299"
"2018","Florida","2,516","15,758,581","15.97","15.08","47,705"
"2018","Georgia","1,629","9,503,486","17.14","16.80","39,198"
"2018","Hawaii","53","1,269,852","4.17","3.82","821"
"2018","Idaho","274","1,529,487","17.92","17.43","5,592"
"2018","Illinois","1,245","10,532,060","11.82","11.85","33,294"
"2018","Indiana","940","6,222,878","15.11","15.19","23,083"
"2018","Iowa","274","2,955,274","9.27","8.86","5,486"
"2018","Kansas","385","2,560,705","15.04","15.11","9,080"
"2018","Kentucky","748","4,293,348","17.42","17.09","15,887"
"2018","Louisiana","977","4,422,514","22.09","22.17","25,437"
"2018","Maine","157","1,317,235","11.92","10.32","2,366"
"2018","Maryland","684","5,421,555","12.62","12.52","17,609"
"2018","Massachusetts","214","6,052,070","3.54","3.18","4,019"
"2018","Michigan","1,273","9,465,867","13.45","13.13","28,927"
"2018","Minnesota","424","5,299,580","8.00","8.00","9,916"
"2018","Mississippi","671","2,884,913","23.26","23.30","17,012"
"2018","Missouri","1,276","5,863,076","21.76","21.71","30,811"
"2018","Montana","183","1,019,505","17.95","17.60","3,647"
"2018","Nebraska","174","1,709,633","10.18","9.45","3,221"
"2018","Nevada","454","2,155,384","21.06","20.15","8,688"
"2018","New Hampshire","155","1,302,212","11.90","11.08","2,669"
"2018","New Jersey","361","7,074,026","5.10","5.18","8,630"
"2018","New Mexico","257","1,061,160","24.22","22.60","4,708"
"2018","New York","731","15,815,355","4.62","4.42","16,698"
"2018","North Carolina","1,371","9,398,453","14.59","14.06","31,050"
"2018","North Dakota","83","729,745","11.37","11.10","2,000"
"2018","Ohio","1,524","11,219,513","13.58","13.30","34,693"
"2018","Oklahoma","626","3,511,490","17.83","17.31","13,035"
"2018","Oregon","489","3,630,249","13.47","12.39","8,938"
"2018","Pennsylvania","1,551","11,828,945","13.11","12.59","34,053"
"2018","Rhode Island","35","890,428","3.93","3.68","762"
"2018","South Carolina","878","4,794,923","18.31","18.25","21,758"
"2018","South Dakota","116","842,388","13.77","14.00","3,024"
