age_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
_65_69,Minnesota,27,712,166,878,80.0535489352708,76.0478886335266,84.0592092370151,.,.,.
_70_74,Minnesota,27,618,109,727,84.5431481266969,80.2672860353921,88.8190102180017,.,.,.
_50_54,Mississippi,28,139,50,189,69.0645040070798,60.556463062427,77.5725449517327,.,.,.
_55_59,Mississippi,28,152,47,199,75.6430231832514,67.8243643074538,83.4616820590489,.,.,.
_60_64,Mississippi,28,135,55,190,70.1269247206,62.5705242583867,77.6833251828134,.,.,.
_65_69,Mississippi,28,178,45,223,77.0106470636249,68.3304978611353,85.6907962661145,.,.,.
_70_74,Mississippi,28,135,43,178,73.4655097683823,63.6799438672165,83.2510756695481,.,.,.
_50_54,Missouri,29,188,85,273,64.0566502411648,57.0207211682259,71.0925793141037,.,.,.
_55_59,Missouri,29,204,75,279,72.5320490820452,65.343291000791,79.7208071632994,.,.,.
_60_64,Missouri,29,286,103,389,70.7503517315783,64.8171040173883,76.6835994457683,.,.,.
_65_69,Missouri,29,304,64,368,85.7351646154175,82.1153320749922,89.3549971558428,.,.,.
_70_74,Missouri,29,293,63,356,83.6725472988944,78.4958105141766,88.8492840836122,.,.,.
_50_54,Montana,30,150,47,197,77.4395513704468,70.686556370373,84.1925463705206,.,.,.
_55_59,Montana,30,176,58,234,74.8607074091215,68.099444551306,81.6219702669371,.,.,.
_60_64,Montana,30,248,88,336,72.8980190020998,66.8718712558195,78.92416674838,.,.,.
_65_69,Montana,30,341,118,459,70.5062152288721,64.8118085763914,76.2006218813527,.,.,.
_70_74,Montana,30,294,76,370,79.6023322691443,74.5254872855207,84.6791772527679,.,.,.
_50_54,Nebraska,31,196,75,271,74.6934081112168,68.6982164487611,80.6885997736725,.,.,.
_55_59,Nebraska,31,172,71,243,72.7104921716682,64.791963656079,80.6290206872573,.,.,.
_60_64,Nebraska,31,252,91,343,76.165171400971,70.6346518157993,81.6956909861427,.,.,.
_65_69,Nebraska,31,365,84,449,82.0431669567753,77.6560002876586,86.430333625892,.,.,.
_70_74,Nebraska,31,322,93,415,78.5285861661879,73.6234797900665,83.4336925423093,.,.,.
_50_54,Nevada,32,89,44,133,64.0730357200938,51.9390812223456,76.206990217842,.,.,.
_55_59,Nevada,32,93,39,132,72.4121067804992,61.7682588101925,83.0559547508059,.,.,.
_60_64,Nevada,32,100,41,141,70.413875387561,58.7281073844733,82.0996433906486,.,.,.
_65_69,Nevada,32,112,41,153,76.3547768137017,65.4886604761596,87.2208931512438,.,.,.
_70_74,Nevada,32,114,34,148,70.446082040794,59.1220783664949,81.7700857150931,.,.,.
_50_54,"New Hampshire",33,170,41,211,82.1014918029669,75.9224079842115,88.2805756217224,.,.,.
_55_59,"New Hampshire",33,246,64,310,78.3907853623894,73.0341036707295,83.7474670540493,.,.,.
_60_64,"New Hampshire",33,329,77,406,80.7452849371946,75.9646525318868,85.5259173425025,.,.,.
_65_69,"New Hampshire",33,378,86,464,82.5156413704644,78.5752033508971,86.4560793900316,.,.,.
_70_74,"New Hampshire",33,387,86,473,80.3115735533601,75.9334551654142,84.6896919413059,.,.,.
_50_54,"New Jersey",34,231,69,300,80.0850071007829,74.9903455732427,85.179668628323,.,.,.
_55_59,"New Jersey",34,238,78,316,72.8876232749858,64.5386019279723,81.2366446219993,.,.,.
_60_64,"New Jersey",34,268,93,361,74.5845087970022,67.7975434627202,81.3714741312842,.,.,.
_65_69,"New Jersey",34,281,59,340,81.9239918449352,76.5773858421891,87.2705978476814,.,.,.
_70_74,"New Jersey",34,211,62,273,71.1258435887763,62.5554485099958,79.6962386675567,.,.,.
_50_54,"New Mexico",35,114,53,167,67.5705548532359,58.6000752322429,76.5410344742289,.,.,.
_55_59,"New Mexico",35,145,72,217,63.8345771347844,54.64436671047,73.0247875590988,.,.,.
_60_64,"New Mexico",35,181,68,249,74.0968137881913,66.9282281365621,81.2653994398206,.,.,.
_65_69,"New Mexico",35,211,86,297,69.2052305477971,61.4555532876555,76.9549078079388,.,.,.
_70_74,"New Mexico",35,206,85,291,71.5052512767147,63.0880799248692,79.9224226285602,.,.,.
_50_54,"New York",36,507,156,663,76.4136922411189,70.9449612575245,81.8824232247134,.,.,.
_55_59,"New York",36,525,133,658,78.117456977413,73.0449657579383,83.1899481968878,.,.,.
_60_64,"New York",36,699,150,849,81.6106440466606,77.6320110980636,85.5892769952575,.,.,.
_65_69,"New York",36,789,165,954,80.1719202495149,75.422005890858,84.9218346081719,.,.,.
_70_74,"New York",36,614,150,764,79.3902882266184,74.5485149812758,84.232061471961,.,.,.
_50_54,"North Carolina",37,130,50,180,74.2810369914211,66.6266783887002,81.935395594142,.,.,.
_55_59,"North Carolina",37,179,40,219,77.3127950994442,67.7241758475729,86.9014143513154,.,.,.
_60_64,"North Carolina",37,165,42,207,82.2282914364848,76.2206322211291,88.2359506518405,.,.,.
_65_69,"North Carolina",37,172,34,206,80.8613860642957,74.6202577562856,87.1025143723059,.,.,.
_70_74,"North Carolina",37,154,23,177,80.6602476493349,68.1551859809719,93.1653093176978,.,.,.
_50_54,"North Dakota",38,100,32,132,76.2650187425468,68.6136181916954,83.9164192933981,.,.,.
_55_59,"North Dakota",38,120,26,146,83.7421211634982,76.9436266462509,90.5406156807456,.,.,.
_60_64,"North Dakota",38,160,39,199,79.5560080653324,72.8123448896454,86.2996712410193,.,.,.
_65_69,"North Dakota",38,179,46,225,81.2407485245085,75.6059883247076,86.8755087243093,.,.,.
_70_74,"North Dakota",38,163,40,203,80.6096291480617,74.4852011664107,86.7340571297127,.,.,.
_50_54,Ohio,39,489,179,668,73.7355262196746,69.0619706005429,78.4090818388064,.,.,.
_55_59,Ohio,39,514,192,706,69.7159989471107,64.4692102994341,74.9627875947874,.,.,.
_60_64,Ohio,39,635,196,831,75.3404910517433,71.1084687452071,79.5725133582796,.,.,.
_65_69,Ohio,39,706,195,901,76.6313880420734,72.3806573318605,80.8821187522863,.,.,.
_70_74,Ohio,39,647,152,799,83.0261833728735,79.4158843031649,86.6364824425821,.,.,.
_50_54,Oklahoma,40,119,78,197,58.882388891041,51.4731479049594,66.2916298771226,.,.,.
_55_59,Oklahoma,40,165,64,229,69.9407375715123,62.8597386579376,77.021736485087,.,.,.
_60_64,Oklahoma,40,215,80,295,73.6360265227131,68.5594683068899,78.7125847385363,.,.,.
_65_69,Oklahoma,40,192,79,271,71.0358008258604,65.2610411305757,76.8105605211452,.,.,.
_70_74,Oklahoma,40,191,67,258,72.7786965794488,66.6027952366466,78.9545979222511,.,.,.
_50_54,Oregon,41,165,49,214,78.3390943150062,72.4365271585762,84.2416614714362,.,.,.
_55_59,Oregon,41,178,69,247,72.1502253577715,65.5496427870902,78.7508079284528,.,.,.
_60_64,Oregon,41,236,66,302,77.4250814255233,70.5901730451103,84.2599898059363,.,.,.
_65_69,Oregon,41,233,45,278,79.1981221794993,71.8242107455699,86.5720336134287,.,.,.
_70_74,Oregon,41,184,43,227,82.3274956833944,76.0559392712577,88.5990520955311,.,.,.
_50_54,Pennsylvania,42,145,43,188,73.173418451113,63.0647945439581,83.2820423582679,.,.,.
_55_59,Pennsylvania,42,144,34,178,84.3294899307241,77.3358998405656,91.3230800208825,.,.,.
_60_64,Pennsylvania,42,203,48,251,76.1737079530306,69.3049741534009,83.0424417526603,.,.,.
_65_69,Pennsylvania,42,157,45,202,72.1170337523959,63.5662352317362,80.6678322730556,.,.,.
_70_74,Pennsylvania,42,178,32,210,72.3629496079627,64.647043261898,80.0788559540274,.,.,.
_50_54,"Rhode Island",44,195,37,232,87.7437098882903,83.3787557969066,92.1086639796741,.,.,.
_55_59,"Rhode Island",44,217,53,270,78.6836184272372,72.6128115363263,84.7544253181481,.,.,.
_60_64,"Rhode Island",44,312,48,360,87.796943887845,83.5393214019578,92.0545663737322,.,.,.
_65_69,"Rhode Island",44,290,54,344,84.7102919516276,79.571029712518,89.8495541907372,.,.,.
_70_74,"Rhode Island",44,266,25,291,90.9811859461519,87.2533326504632,94.7090392418406,.,.,.
_50_54,"South Carolina",45,250,93,343,74.6740890413127,69.425951940045,79.9222261425805,.,.,.
_55_59,"South Carolina",45,304,103,407,76.2983406101481,71.6567017584259,80.9399794618704,.,.,.
_60_64,"South Carolina",45,397,113,510,80.1605721659821,76.0182311325777,84.3029131993865,.,.,.
_65_69,"South Carolina",45,500,111,611,80.8530224252754,76.9149428825833,84.7911019679676,.,.,.
_70_74,"South Carolina",45,524,87,611,85.8302411684701,82.22985148771,89.4306308492302,.,.,.
_50_54,"South Dakota",46,227,64,291,75.1351153704919,65.6527771240981,84.6174536168857,.,.,.
_55_59,"South Dakota",46,226,88,314,76.3554910447856,62.2520330402322,90.4589490493389,.,.,.
_60_64,"South Dakota",46,310,75,385,60.8341368177305,42.7922135066666,78.8760601287943,.,.,.
_65_69,"South Dakota",46,321,73,394,80.242725655414,70.3628980474798,90.1225532633482,.,.,.
_70_74,"South Dakota",46,279,75,354,76.6983912714442,62.4931938620653,90.9035886808232,.,.,.
_50_54,Tennessee,47,168,52,220,79.3983104269418,72.585800500672,86.2108203532117,.,.,.
_55_59,Tennessee,47,171,63,234,73.5694439266386,66.3834163191233,80.7554715341539,.,.,.
_60_64,Tennessee,47,182,70,252,71.8516147232646,64.7081393892145,78.9950900573148,.,.,.
_65_69,Tennessee,47,214,54,268,75.7786687158515,67.9640373099518,83.5933001217512,.,.,.
_70_74,Tennessee,47,162,44,206,75.3889235060775,66.9075101345175,83.8703368776374,.,.,.
_50_54,Texas,48,359,159,518,67.5627364044852,60.0010566503061,75.1244161586643,.,.,.
_55_59,Texas,48,344,136,480,78.208624365708,72.8844538685185,83.5327948628975,.,.,.
_60_64,Texas,48,426,166,592,68.56769328054,61.7529902648014,75.3823962962787,.,.,.
_65_69,Texas,48,513,125,638,78.8990811647937,73.2756905328837,84.5224717967038,.,.,.
_70_74,Texas,48,469,127,596,79.5952078932888,74.5445093907947,84.6459063957828,.,.,.
_50_54,Utah,49,236,111,347,69.746250784824,63.872166838413,75.6203347312351,.,.,.
_55_59,Utah,49,209,108,317,69.3227087963284,63.275897330144,75.3695202625129,.,.,.
_60_64,Utah,49,272,115,387,72.7161492222031,67.0249866319297,78.4073118124764,.,.,.
_65_69,Utah,49,280,78,358,81.8718017925048,76.9804898160945,86.7631137689152,.,.,.
_70_74,Utah,49,303,65,368,81.5656783805432,76.6681551574624,86.463201603624,.,.,.
_50_54,Vermont,50,258,75,333,76.0135792177983,70.5552955300702,81.4718629055264,.,.,.
_55_59,Vermont,50,308,109,417,73.1032597341681,67.8878718024218,78.3186476659144,.,.,.
_60_64,Vermont,50,396,102,498,79.9004164573962,75.6997200556091,84.1011128591833,.,.,.
_65_69,Vermont,50,421,118,539,73.57113591339,67.1521499500494,79.9901218767305,.,.,.
_70_74,Vermont,50,386,90,476,74.8666664523446,68.2339231470568,81.4994097576325,.,.,.
_50_54,Virginia,51,295,110,405,73.4525864682542,68.3543997906282,78.5507731458802,.,.,.
_55_59,Virginia,51,357,85,442,79.4122647903568,74.2832604466373,84.5412691340763,.,.,.
_60_64,Virginia,51,462,117,579,74.8492057000962,69.1358519240706,80.5625594761217,.,.,.
_65_69,Virginia,51,489,113,602,78.7800711964165,74.1161765381306,83.4439658547024,.,.,.
_70_74,Virginia,51,489,113,602,81.987054958176,78.053047637646,85.921062278706,.,.,.
_50_54,Washington,53,683,253,936,71.8826286858873,68.3693326126284,75.3959247591463,.,.,.
_55_59,Washington,53,725,267,992,71.893531349223,68.2361413261167,75.5509213723292,.,.,.
_60_64,Washington,53,1000,351,1351,74.6092340793037,71.4129498293915,77.8055183292159,.,.,.
_65_69,Washington,53,1088,327,1415,78.3332009235033,75.4165054041226,81.2498964428841,.,.,.
_70_74,Washington,53,1081,282,1363,80.3305429982547,77.3709904179485,83.2900955785609,.,.,.
_50_54,"West Virginia",54,188,55,243,76.0032626472103,69.6313020286531,82.3752232657675,.,.,.
_55_59,"West Virginia",54,151,53,204,74.1176026296051,67.1320485961268,81.1031566630834,.,.,.
_60_64,"West Virginia",54,222,69,291,73.3973046794006,67.1686429434431,79.6259664153581,.,.,.
_65_69,"West Virginia",54,257,62,319,77.8673616713287,71.8830477405636,83.8516756020939,.,.,.
_70_74,"West Virginia",54,253,66,319,79.7535318966032,74.7494419927539,84.7576218004525,.,.,.
_50_54,Wisconsin,55,343,76,419,82.8681961466975,78.2221161943646,87.5142760990304,.,.,.
_55_59,Wisconsin,55,378,108,486,80.7199248339635,76.0992565694416,85.3405930984855,.,.,.
_60_64,Wisconsin,55,464,113,577,80.5788630723039,76.7036092642802,84.4541168803276,.,.,.
_65_69,Wisconsin,55,561,109,670,82.2281665931721,78.3906388755156,86.0656943108285,.,.,.
_70_74,Wisconsin,55,501,84,585,84.9521885095786,81.029520413401,88.8748566057561,.,.,.
_50_54,Wyoming,56,88,51,139,59.6104542602289,50.4908412938492,68.7300672266085,.,.,.
_55_59,Wyoming,56,95,59,154,61.091862654931,52.7313759598675,69.4523493499945,.,.,.
_60_64,Wyoming,56,154,87,241,62.5291062742897,55.6567200408006,69.4014925077788,.,.,.
_65_69,Wyoming,56,187,76,263,70.9459583449933,64.6960660019652,77.1958506880213,.,.,.
_70_74,Wyoming,56,182,64,246,71.8117154718635,65.2897301132123,78.3337008305148,.,.,.
