"Notes","Year","Year Code","Leading Cancer Sites","Leading Cancer Sites Code","States and Puerto Rico","States and Puerto Rico Code",Count,Population,Crude Rate
,"2002","2002","Lung and Bronchus","22030","North Carolina","37",5998,8326201,72.0
,"2002","2002","Lung and Bronchus","22030","North Dakota","38",420,638168,65.8
,"2002","2002","Lung and Bronchus","22030","Ohio","39",9232,11407889,80.9
,"2002","2002","Lung and Bronchus","22030","Oklahoma","40",3133,3489080,89.8
,"2002","2002","Lung and Bronchus","22030","Oregon","41",2584,3513424,73.5
,"2002","2002","Lung and Bronchus","22030","Pennsylvania","42",10479,12331031,85.0
,"2002","2002","Lung and Bronchus","22030","Rhode Island","44",906,1065995,85.0
,"2002","2002","Lung and Bronchus","22030","South Carolina","45",3164,4107795,77.0
,"2002","2002","Lung and Bronchus","22030","South Dakota","46",516,760020,67.9
,"2002","2002","Lung and Bronchus","22030","Tennessee","47",4309,5795918,74.3
,"2002","2002","Lung and Bronchus","22030","Texas","48",12583,21690325,58.0
,"2002","2002","Lung and Bronchus","22030","Utah","49",486,2324815,20.9
,"2002","2002","Lung and Bronchus","22030","Vermont","50",391,615442,63.5
,"2002","2002","Lung and Bronchus","22030","Virginia","51",4414,7286873,60.6
,"2002","2002","Lung and Bronchus","22030","Washington","53",3898,6052349,64.4
,"2002","2002","Lung and Bronchus","22030","West Virginia","54",1995,1805414,110.5
,"2002","2002","Lung and Bronchus","22030","Wisconsin","55",3555,5445162,65.3
,"2002","2002","Lung and Bronchus","22030","Wyoming","56",259,500017,51.8
,"2002","2002","Lung and Bronchus","22030","Puerto Rico","72",Missing,Missing,Missing
,"2003","2003","Lung and Bronchus","22030","Alabama","01",3564,4503491,79.1
,"2003","2003","Lung and Bronchus","22030","Alaska","02",299,648414,46.1
,"2003","2003","Lung and Bronchus","22030","Arizona","04",3442,5510364,62.5
,"2003","2003","Lung and Bronchus","22030","Arkansas","05",2472,2724816,90.7
,"2003","2003","Lung and Bronchus","22030","California","06",17392,35253159,49.3
,"2003","2003","Lung and Bronchus","22030","Colorado","08",2042,4528732,45.1
,"2003","2003","Lung and Bronchus","22030","Connecticut","09",2666,3484336,76.5
,"2003","2003","Lung and Bronchus","22030","Delaware","10",738,818003,90.2
,"2003","2003","Lung and Bronchus","22030","District of Columbia","11",377,568502,66.3
,"2003","2003","Lung and Bronchus","22030","Florida","12",16111,17004085,94.7
,"2003","2003","Lung and Bronchus","22030","Georgia","13",5543,8622793,64.3
,"2003","2003","Lung and Bronchus","22030","Hawaii","15",708,1251154,56.6
,"2003","2003","Lung and Bronchus","22030","Idaho","16",761,1363380,55.8
,"2003","2003","Lung and Bronchus","22030","Illinois","17",9095,12556006,72.4
,"2003","2003","Lung and Bronchus","22030","Indiana","18",5191,6196638,83.8
,"2003","2003","Lung and Bronchus","22030","Iowa","19",2346,2941999,79.7
,"2003","2003","Lung and Bronchus","22030","Kansas","20",1833,2723004,67.3
,"2003","2003","Lung and Bronchus","22030","Kentucky","21",4297,4117170,104.4
,"2003","2003","Lung and Bronchus","22030","Louisiana","22",3511,4521042,77.7
,"2003","2003","Lung and Bronchus","22030","Maine","23",1224,1306513,93.7
,"2003","2003","Lung and Bronchus","22030","Maryland","24",3835,5496269,69.8
,"2003","2003","Lung and Bronchus","22030","Massachusetts","25",4729,6422565,73.6
,"2003","2003","Lung and Bronchus","22030","Michigan","26",8004,10041152,79.7
,"2003","2003","Lung and Bronchus","22030","Minnesota","27",2922,5053572,57.8
,"2003","2003","Lung and Bronchus","22030","Mississippi","28",2314,2868312,80.7
,"2003","2003","Lung and Bronchus","22030","Missouri","29",5069,5709403,88.8
,"2003","2003","Lung and Bronchus","22030","Montana","30",676,919630,73.5
,"2003","2003","Lung and Bronchus","22030","Nebraska","31",1173,1738643,67.5
,"2003","2003","Lung and Bronchus","22030","Nevada","32",1681,2248850,74.7
,"2003","2003","Lung and Bronchus","22030","New Hampshire","33",913,1279840,71.3
,"2003","2003","Lung and Bronchus","22030","New Jersey","34",6037,8601402,70.2
,"2003","2003","Lung and Bronchus","22030","New Mexico","35",855,1877574,45.5
,"2003","2003","Lung and Bronchus","22030","New York","36",13016,19175939,67.9
,"2003","2003","Lung and Bronchus","22030","North Carolina","37",6243,8422501,74.1
,"2003","2003","Lung and Bronchus","22030","North Dakota","38",446,638817,69.8
,"2003","2003","Lung and Bronchus","22030","Ohio","39",9180,11434788,80.3
,"2003","2003","Lung and Bronchus","22030","Oklahoma","40",3054,3504892,87.1
,"2003","2003","Lung and Bronchus","22030","Oregon","41",2542,3547376,71.7
,"2003","2003","Lung and Bronchus","22030","Pennsylvania","42",10411,12374658,84.1
,"2003","2003","Lung and Bronchus","22030","Rhode Island","44",878,1071342,82.0
,"2003","2003","Lung and Bronchus","22030","South Carolina","45",3265,4150297,78.7
,"2003","2003","Lung and Bronchus","22030","South Dakota","46",519,763729,68.0
,"2003","2003","Lung and Bronchus","22030","Tennessee","47",4711,5847812,80.6
,"2003","2003","Lung and Bronchus","22030","Texas","48",12902,22030931,58.6
,"2003","2003","Lung and Bronchus","22030","Utah","49",548,2360137,23.2
,"2003","2003","Lung and Bronchus","22030","Vermont","50",463,617858,74.9
,"2003","2003","Lung and Bronchus","22030","Virginia","51",5014,7366977,68.1
,"2003","2003","Lung and Bronchus","22030","Washington","53",4070,6104115,66.7
,"2003","2003","Lung and Bronchus","22030","West Virginia","54",1908,1812295,105.3
,"2003","2003","Lung and Bronchus","22030","Wisconsin","55",3660,5479203,66.8
,"2003","2003","Lung and Bronchus","22030","Wyoming","56",296,503453,58.8
,"2003","2003","Lung and Bronchus","22030","Puerto Rico","72",Missing,Missing,Missing
,"2004","2004","Lung and Bronchus","22030","Alabama","01",3805,4530729,84.0
,"2004","2004","Lung and Bronchus","22030","Alaska","02",328,659286,49.8
,"2004","2004","Lung and Bronchus","22030","Arizona","04",3453,5652404,61.1
,"2004","2004","Lung and Bronchus","22030","Arkansas","05",2526,2749686,91.9
,"2004","2004","Lung and Bronchus","22030","California","06",17436,35574576,49.0
,"2004","2004","Lung and Bronchus","22030","Colorado","08",2001,4575013,43.7
,"2004","2004","Lung and Bronchus","22030","Connecticut","09",2580,3496094,73.8
,"2004","2004","Lung and Bronchus","22030","Delaware","10",732,830803,88.1
,"2004","2004","Lung and Bronchus","22030","District of Columbia","11",341,567754,60.1
,"2004","2004","Lung and Bronchus","22030","Florida","12",16517,17415318,94.8
,"2004","2004","Lung and Bronchus","22030","Georgia","13",5501,8769252,62.7
,"2004","2004","Lung and Bronchus","22030","Hawaii","15",774,1273569,60.8
,"2004","2004","Lung and Bronchus","22030","Idaho","16",777,1391802,55.8
,"2004","2004","Lung and Bronchus","22030","Illinois","17",8889,12589773,70.6
,"2004","2004","Lung and Bronchus","22030","Indiana","18",5013,6233007,80.4
,"2004","2004","Lung and Bronchus","22030","Iowa","19",2284,2953635,77.3
,"2004","2004","Lung and Bronchus","22030","Kansas","20",1782,2734373,65.2
,"2004","2004","Lung and Bronchus","22030","Kentucky","21",4466,4146101,107.7
,"2004","2004","Lung and Bronchus","22030","Louisiana","22",3581,4552238,78.7
,"2004","2004","Lung and Bronchus","22030","Maine","23",1272,1313688,96.8
,"2004","2004","Lung and Bronchus","22030","Maryland","24",3730,5546935,67.2
,"2004","2004","Lung and Bronchus","22030","Massachusetts","25",4816,6412281,75.1
,"2004","2004","Lung and Bronchus","22030","Michigan","26",7738,10055315,77.0
,"2004","2004","Lung and Bronchus","22030","Minnesota","27",2910,5087713,57.2
,"2004","2004","Lung and Bronchus","22030","Mississippi","28",2335,2889010,80.8
,"2004","2004","Lung and Bronchus","22030","Missouri","29",4983,5747741,86.7
,"2004","2004","Lung and Bronchus","22030","Montana","30",656,930009,70.5
