AGE_GROUP,STATE_NAME,STATE_FIPS,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
_85+,"District of Columbia",11,215,43,258,0.8333333333
_85+,Florida,12,15359,2782,18141,0.8466457196
_85+,Georgia,13,4134,690,4824,0.8569651741
_85+,Hawaii,15,669,88,757,0.8837516513
_85+,Idaho,16,746,119,865,0.8624277457
_85+,Illinois,17,8481,1291,9772,0.8678878428
_85+,Indiana,18,4243,675,4918,0.862749085
_85+,Iowa,19,1696,194,1890,0.8973544974
_85+,Kansas,20,1231,205,1436,0.8572423398
_85+,Kentucky,21,2387,385,2772,0.8611111111
_85+,Louisiana,22,1755,323,2078,0.8445620789
_85+,Maine,23,1366,166,1532,0.8916449086
_85+,Maryland,24,4119,613,4732,0.8704564666
_85+,Massachusetts,25,5927,725,6652,0.8910102225
_85+,Michigan,26,8139,1228,9367,0.8689014626
_85+,Minnesota,27,2368,259,2627,0.9014084507
_85+,Mississippi,28,1195,224,1419,0.8421423538
_85+,Missouri,29,2921,442,3363,0.8685697294
_85+,Montana,30,487,70,557,0.8743267504
_85+,Nebraska,31,950,155,1105,0.8597285068
_85+,Nevada,32,1034,197,1231,0.8399675061
_85+,"New Hampshire",33,997,139,1136,0.8776408451
_85+,"New Jersey",34,8788,1342,10130,0.8675222113
_85+,"New Mexico",35,721,103,824,0.875
_85+,"New York",36,15549,2149,17698,0.8785738502
_85+,"North Carolina",37,5753,809,6562,0.8767144163
_85+,"North Dakota",38,343,52,395,0.8683544304
_85+,Ohio,39,6306,1001,7307,0.8630080744
_85+,Oklahoma,40,1994,354,2348,0.8492333901
_85+,Oregon,41,1776,228,2004,0.8862275449
_85+,Pennsylvania,42,7475,1017,8492,0.8802402261
_85+,"Rhode Island",44,473,58,531,0.8907721281
_85+,"South Carolina",45,3016,526,3542,0.8514963298
_85+,"South Dakota",46,410,43,453,0.9050772627
_85+,Tennessee,47,3311,601,3912,0.8463701431
_85+,Texas,48,11684,2182,13866,0.8426366652
_85+,Utah,49,998,195,1193,0.8365465214
_85+,Vermont,50,627,71,698,0.8982808023
_85+,Virginia,51,4554,688,5242,0.8687523846
_85+,Washington,53,3511,453,3964,0.8857214934
_85+,"West Virginia",54,1055,168,1223,0.86263287
_85+,Wisconsin,55,2426,275,2701,0.8981858571
_85+,Wyoming,56,311,40,351,0.886039886
