income_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
"$15,000 to < $25,000",Louisiana,22,64,94,158,40.9044984634038,32.053408457541,49.7555884692665,37.0042967883026,17.3248168861924,56.6837766904128
"$25,000 to < $35,000",Louisiana,22,81,101,182,50.2201280116167,41.5182488139623,58.922007209271,47.6582362879471,34.803576565905,60.5128960099892
"$35,000 to < $50,000",Louisiana,22,71,78,149,46.6282746600599,36.8822110919753,56.3743382281446,43.2966699312188,22.8021490923309,63.7911907701067
"$50,000 to < $75,000",Louisiana,22,112,95,207,54.6479140295326,46.1030558577031,63.192772201362,52.769363676841,37.9619554599797,67.5767718937023
"$75,000 to < $100,000",Louisiana,22,90,69,159,52.2827340717955,43.0992756979987,61.4661924455922,58.7735274622782,43.5052770045219,74.0417779200344
"$100,000 to < $200,000",Louisiana,22,150,105,255,59.2813073537059,52.143915815617,66.4186988917948,57.0465795928342,41.6573156968192,72.4358434888491
"$200,000 or more",Louisiana,22,40,21,61,61.6580195599963,46.7121700818444,76.6038690381481,62.591996241933,36.3351433883839,88.8488490954821
"Don’t know/Not sure/Missing",Louisiana,22,95,117,212,38.7719503753972,31.2164985862144,46.32740216458,44.1245732682538,27.9113109049556,60.337835631552
"Less than $15,000",Maine,23,44,73,117,38.3158500132183,27.5281853963045,49.1035146301321,50.0239551582214,37.4184479765944,62.6294623398483
"$15,000 to < $25,000",Maine,23,78,120,198,32.3250626692214,23.4960124110886,41.1541129273543,33.1514918441612,19.324219311089,46.9787643772334
"$25,000 to < $35,000",Maine,23,135,158,293,48.4986657378635,40.1217034618798,56.8756280138472,51.5743928625432,32.7443267321822,70.4044589929042
"$35,000 to < $50,000",Maine,23,176,169,345,52.7367859958941,45.5424556375883,59.9311163542,49.9673260280106,35.4462213992106,64.4884306568106
"$50,000 to < $75,000",Maine,23,227,177,404,53.0772892317692,46.0440001588096,60.1105783047287,53.0702139908983,34.8704216233504,71.2700063584461
"$75,000 to < $100,000",Maine,23,202,151,353,59.2868422065498,52.5114206617675,66.0622637513322,59.6724626060354,48.1227119376235,71.2222132744472
"$100,000 to < $200,000",Maine,23,334,185,519,66.9430980199033,61.941466010557,71.9447300292496,66.7546075591815,53.4616888568586,80.0475262615045
"$200,000 or more",Maine,23,64,38,102,64.274931785318,52.4684526387355,76.0814109319004,67.5145540348616,48.9549994014949,86.0741086682283
"Don’t know/Not sure/Missing",Maine,23,219,228,447,49.6155282835081,43.3316710860038,55.8993854810125,48.3576425562968,34.1158478691062,62.5994372434874
"Less than $15,000",Maryland,24,70,140,210,30.8866556932523,21.4088791532412,40.3644322332633,.,.,.
"$15,000 to < $25,000",Maryland,24,123,221,344,35.098751842908,27.2401896528685,42.9573140329474,.,.,.
"$25,000 to < $35,000",Maryland,24,136,242,378,35.5761127355154,27.6865060138956,43.4657194571352,34.9530800279052,16.245896901704,53.6602631541063
"$35,000 to < $50,000",Maryland,24,146,235,381,35.710481753197,28.1811758554495,43.2397876509446,31.29710295942,14.7391647437424,47.8550411750976
"$50,000 to < $75,000",Maryland,24,267,259,526,50.6293191712172,44.0799680187641,57.1786703236703,48.1784105820337,31.2938752352084,65.062945928859
"$75,000 to < $100,000",Maryland,24,280,233,513,47.9217496177395,41.2187832890988,54.6247159463803,47.2576373670084,25.455898537631,69.0593761963857
"$100,000 to < $200,000",Maryland,24,694,454,1148,59.4215678040263,55.1785731113535,63.6645624966992,56.8828085284252,43.8028875128174,69.9627295440329
"$200,000 or more",Maryland,24,267,147,414,61.5008783420444,54.3843454733775,68.6174112107114,66.0183912993326,49.4659287130319,82.5708538856334
"Don’t know/Not sure/Missing",Maryland,24,299,381,680,40.9000712991281,35.0047419064358,46.7954006918204,38.3198628396505,23.2954454819634,53.3442801973376
"Less than $15,000",Massachusetts,25,48,72,120,31.112133702229,21.3561567404738,40.8681106639842,28.2004377764899,14.2838360662399,42.1170394867398
"$15,000 to < $25,000",Massachusetts,25,79,120,199,37.1811046747101,28.0877613755022,46.274447973918,47.6680037710168,31.5797341628244,63.7562733792092
"$25,000 to < $35,000",Massachusetts,25,93,127,220,41.166313596256,31.9159970876066,50.4166301049054,37.929134423022,22.6261511756936,53.2321176703505
"$35,000 to < $50,000",Massachusetts,25,125,151,276,45.1413792949827,37.6132277702599,52.6695308197054,44.8191338713617,31.1085510790323,58.5297166636912
"$50,000 to < $75,000",Massachusetts,25,184,173,357,47.6009314696101,40.8251585007876,54.3767044384326,53.3084130294737,38.7381035328489,67.8787225260985
"$75,000 to < $100,000",Massachusetts,25,227,153,380,59.1274270511297,52.8311765806099,65.4236775216495,58.4873967319067,44.5863649382959,72.3884285255175
"$100,000 to < $200,000",Massachusetts,25,437,253,690,60.0256926934745,55.1560180228347,64.8953673641143,55.8032034038202,43.7797970378285,67.8266097698118
