age_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
_25_29,Florida,12,91,119,210,43.9608347674526,35.4065836741025,52.5150858608027,.,.,.
_30_34,Florida,12,112,139,251,49.8729893383653,37.9586832737992,61.7872954029315,.,.,.
_35_39,Florida,12,135,150,285,42.4819589017259,32.3214518688249,52.6424659346269,.,.,.
_40_44,Florida,12,158,160,318,45.9084979015561,36.8598593757947,54.9571364273175,.,.,.
_45_49,Florida,12,160,135,295,37.9600048975354,27.8926717149729,48.0273380800978,.,.,.
_50_54,Florida,12,219,203,422,59.0796127183173,50.1393313752281,68.0198940614064,.,.,.
_55_59,Florida,12,220,270,490,41.8387959372267,32.8671995871125,50.810392287341,.,.,.
_60_65,Florida,12,342,436,778,47.1482856406214,39.5908372694201,54.7057340118227,.,.,.
_21_24,Georgia,13,33,99,132,20.5203500152131,12.998965508711,28.0417345217152,.,.,.
_25_29,Georgia,13,73,89,162,47.5346282041686,36.9989970132953,58.0702593950419,.,.,.
_30_34,Georgia,13,95,92,187,53.9833887209142,44.543769323761,63.4230081180673,.,.,.
_35_39,Georgia,13,123,119,242,47.7702733274403,40.1125313134837,55.428015341397,.,.,.
_40_44,Georgia,13,150,103,253,58.095310079492,50.4434273665648,65.7471927924192,.,.,.
_45_49,Georgia,13,123,108,231,54.5466635967759,45.1286051283109,63.9647220652409,.,.,.
_50_54,Georgia,13,156,165,321,45.1550081172288,38.1814988178926,52.128517416565,.,.,.
_55_59,Georgia,13,169,180,349,49.6063133736474,42.0508224593609,57.161804287934,.,.,.
_60_65,Georgia,13,235,297,532,41.2573480973002,35.0589249498473,47.4557712447532,.,.,.
_21_24,Hawaii,15,25,67,92,32.2072863523567,21.3660933624439,43.0484793422695,.,.,.
_25_29,Hawaii,15,53,114,167,34.6284872557117,25.1123046096148,44.1446699018085,.,.,.
_30_34,Hawaii,15,73,137,210,37.2742434021469,28.4783231807524,46.0701636235413,.,.,.
_35_39,Hawaii,15,97,133,230,41.9648572360358,33.2360108962732,50.6937035757983,.,.,.
_40_44,Hawaii,15,138,126,264,52.3724073750631,44.701651118922,60.0431636312043,.,.,.
_45_49,Hawaii,15,111,119,230,48.1771515911958,39.9969027136476,56.3574004687439,.,.,.
_50_54,Hawaii,15,131,113,244,53.9096005630114,45.6585277368065,62.1606733892163,.,.,.
_55_59,Hawaii,15,134,141,275,42.0628613983791,34.0472261299698,50.0784966667883,.,.,.
_60_65,Hawaii,15,217,232,449,49.4876010891891,43.1258002040158,55.8494019743623,.,.,.
_21_24,Idaho,16,34,83,117,26.3164557404943,17.5264331236542,35.1064783573344,.,.,.
_25_29,Idaho,16,60,78,138,43.7155224774265,34.2451890831259,53.185855871727,.,.,.
_30_34,Idaho,16,64,114,178,33.357179107991,25.6403830837483,41.0739751322336,.,.,.
_35_39,Idaho,16,98,104,202,47.7006582742703,39.6426985127634,55.7586180357771,.,.,.
_40_44,Idaho,16,124,98,222,54.3703311491153,46.9352974975314,61.8053648006992,.,.,.
_45_49,Idaho,16,107,102,209,49.4458554327748,42.0833763466695,56.8083345188802,.,.,.
_50_54,Idaho,16,100,136,236,38.5982010529722,31.8685565182053,45.3278455877391,.,.,.
_55_59,Idaho,16,89,133,222,37.4340186945045,30.4351871356607,44.4328502533484,.,.,.
_60_65,Idaho,16,128,206,334,37.080431367152,31.3014892101699,42.859373524134,.,.,.
_21_24,Illinois,17,20,61,81,17.7395306815353,8.61768084125495,26.8613805218157,.,.,.
_25_29,Illinois,17,42,74,116,38.9536767731373,24.5865764069648,53.3207771393098,.,.,.
_30_34,Illinois,17,64,68,132,41.2643458353287,30.8398158427934,51.6888758278641,.,.,.
_35_39,Illinois,17,57,78,135,38.6892161087815,28.8059817037349,48.5724505138282,.,.,.
_40_44,Illinois,17,68,80,148,45.7534094040629,36.0004687146198,55.5063500935059,.,.,.
_45_49,Illinois,17,87,72,159,55.3940519217387,45.8814649157086,64.9066389277687,.,.,.
_50_54,Illinois,17,85,62,147,55.692871864751,45.765929923973,65.6198138055291,.,.,.
_55_59,Illinois,17,71,71,142,47.2038348643462,37.0060711178429,57.4015986108495,.,.,.
_60_65,Illinois,17,79,131,210,39.1567574108776,30.1351580263427,48.1783567954125,.,.,.
_21_24,Indiana,18,42,93,135,27.375468091482,19.2013710606541,35.5495651223099,.,.,.
_25_29,Indiana,18,89,117,206,41.1439344537885,33.5241624470611,48.7637064605159,.,.,.
_30_34,Indiana,18,97,120,217,43.2328209652303,35.8806820639354,50.5849598665251,.,.,.
_35_39,Indiana,18,134,116,250,46.6353510581471,39.6950769039074,53.5756252123868,.,.,.
_40_44,Indiana,18,183,141,324,54.5713573636446,48.502020944064,60.6406937832252,.,.,.
_45_49,Indiana,18,164,143,307,50.3907315470451,44.1259557886304,56.6555073054597,.,.,.
_50_54,Indiana,18,186,174,360,51.0652977200082,45.2993098024581,56.8312856375583,.,.,.
_55_59,Indiana,18,165,201,366,45.2372181779738,39.2457754686842,51.2286608872633,.,.,.
_60_65,Indiana,18,247,353,600,39.8249148255109,35.1351081982229,44.5147214527988,.,.,.
_21_24,Iowa,19,45,92,137,28.5719200468245,19.3717212126715,37.7721188809776,.,.,.
_25_29,Iowa,19,74,96,170,49.2556881505153,39.9897462239494,58.5216300770813,.,.,.
