Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States and Puerto Rico,States and Puerto Rico Code,Deaths,Population,Crude Rate
,2004,2004,Lung and Bronchus,22030,Michigan,26,5824,10055315,57.9
,2004,2004,Lung and Bronchus,22030,Minnesota,27,2355,5087713,46.3
,2004,2004,Lung and Bronchus,22030,Mississippi,28,1969,2889010,68.2
,2004,2004,Lung and Bronchus,22030,Missouri,29,4033,5747741,70.2
,2004,2004,Lung and Bronchus,22030,Montana,30,503,930009,54.1
,2004,2004,Lung and Bronchus,22030,Nebraska,31,877,1749370,50.1
,2004,2004,Lung and Bronchus,22030,Nevada,32,1239,2346222,52.8
,2004,2004,Lung and Bronchus,22030,New Hampshire,33,731,1290121,56.7
,2004,2004,Lung and Bronchus,22030,New Jersey,34,4487,8634561,52
,2004,2004,Lung and Bronchus,22030,New Mexico,35,676,1903808,35.5
,2004,2004,Lung and Bronchus,22030,New York,36,9384,19171567,48.9
,2004,2004,Lung and Bronchus,22030,North Carolina,37,5033,8553152,58.8
,2004,2004,Lung and Bronchus,22030,North Dakota,38,358,644705,55.5
,2004,2004,Lung and Bronchus,22030,Ohio,39,7427,11452251,64.9
,2004,2004,Lung and Bronchus,22030,Oklahoma,40,2359,3525233,66.9
,2004,2004,Lung and Bronchus,22030,Oregon,41,2067,3569463,57.9
,2004,2004,Lung and Bronchus,22030,Pennsylvania,42,7973,12410722,64.2
,2004,2004,Lung and Bronchus,22030,Rhode Island,44,669,1074579,62.3
,2004,2004,Lung and Bronchus,22030,South Carolina,45,2503,4210921,59.4
,2004,2004,Lung and Bronchus,22030,South Dakota,46,424,770396,55
,2004,2004,Lung and Bronchus,22030,Tennessee,47,4170,5910809,70.5
,2004,2004,Lung and Bronchus,22030,Texas,48,9697,22394023,43.3
,2004,2004,Lung and Bronchus,22030,Utah,49,454,2401580,18.9
,2004,2004,Lung and Bronchus,22030,Vermont,50,327,619920,52.7
,2004,2004,Lung and Bronchus,22030,Virginia,51,3992,7475575,53.4
,2004,2004,Lung and Bronchus,22030,Washington,53,3066,6178645,49.6
,2004,2004,Lung and Bronchus,22030,West Virginia,54,1469,1816438,80.9
,2004,2004,Lung and Bronchus,22030,Wisconsin,55,2905,5514026,52.7
,2004,2004,Lung and Bronchus,22030,Wyoming,56,205,509106,40.3
,2005,2005,Lung and Bronchus,22030,Alabama,01,3146,4565917,68.9
,2005,2005,Lung and Bronchus,22030,Alaska,02,216,666946,32.4
,2005,2005,Lung and Bronchus,22030,Arizona,04,2648,5839077,45.3
,2005,2005,Lung and Bronchus,22030,Arkansas,05,2176,2781097,78.2
,2005,2005,Lung and Bronchus,22030,California,06,13345,35827943,37.2
,2005,2005,Lung and Bronchus,22030,Colorado,08,1528,4631888,33
,2005,2005,Lung and Bronchus,22030,Connecticut,09,1830,3506956,52.2
,2005,2005,Lung and Bronchus,22030,Delaware,10,568,845150,67.2
,2005,2005,Lung and Bronchus,22030,District of Columbia,11,289,567136,51
,2005,2005,Lung and Bronchus,22030,Florida,12,12104,17842038,67.8
,2005,2005,Lung and Bronchus,22030,Georgia,13,4366,8925922,48.9
,2005,2005,Lung and Bronchus,22030,Hawaii,15,572,1292729,44.2
,2005,2005,Lung and Bronchus,22030,Idaho,16,612,1428241,42.8
,2005,2005,Lung and Bronchus,22030,Illinois,17,6613,12609903,52.4
,2005,2005,Lung and Bronchus,22030,Indiana,18,4021,6278616,64
,2005,2005,Lung and Bronchus,22030,Iowa,19,1853,2964454,62.5
,2005,2005,Lung and Bronchus,22030,Kansas,20,1642,2745299,59.8
,2005,2005,Lung and Bronchus,22030,Kentucky,21,3390,4182742,81
,2005,2005,Lung and Bronchus,22030,Louisiana,22,2847,4411396,64.5
,2005,2005,Lung and Bronchus,22030,Maine,23,946,1318787,71.7
,2005,2005,Lung and Bronchus,22030,Maryland,24,2989,5592379,53.4
,2005,2005,Lung and Bronchus,22030,Massachusetts,25,3638,6403290,56.8
,2005,2005,Lung and Bronchus,22030,Michigan,26,5795,10051137,57.7
,2005,2005,Lung and Bronchus,22030,Minnesota,27,2282,5119598,44.6
,2005,2005,Lung and Bronchus,22030,Mississippi,28,1887,2876229,65.6
,2005,2005,Lung and Bronchus,22030,Missouri,29,3887,5790300,67.1
,2005,2005,Lung and Bronchus,22030,Montana,30,550,940102,58.5
,2005,2005,Lung and Bronchus,22030,Nebraska,31,905,1761497,51.4
,2005,2005,Lung and Bronchus,22030,Nevada,32,1290,2432143,53
,2005,2005,Lung and Bronchus,22030,New Hampshire,33,733,1298492,56.5
,2005,2005,Lung and Bronchus,22030,New Jersey,34,4452,8651974,51.5
,2005,2005,Lung and Bronchus,22030,New Mexico,35,705,1932274,36.5
,2005,2005,Lung and Bronchus,22030,New York,36,9307,19132610,48.6
,2005,2005,Lung and Bronchus,22030,North Carolina,37,5258,8705407,60.4
,2005,2005,Lung and Bronchus,22030,North Dakota,38,310,646089,48
,2005,2005,Lung and Bronchus,22030,Ohio,39,7388,11463320,64.4
,2005,2005,Lung and Bronchus,22030,Oklahoma,40,2375,3548597,66.9
,2005,2005,Lung and Bronchus,22030,Oregon,41,2105,3613202,58.3
,2005,2005,Lung and Bronchus,22030,Pennsylvania,42,8155,12449990,65.5
,2005,2005,Lung and Bronchus,22030,Rhode Island,44,610,1067916,57.1
,2005,2005,Lung and Bronchus,22030,South Carolina,45,2712,4270150,63.5
,2005,2005,Lung and Bronchus,22030,South Dakota,46,469,775493,60.5
,2005,2005,Lung and Bronchus,22030,Tennessee,47,4370,5991057,72.9
