Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States and Puerto Rico,States and Puerto Rico Code,Deaths,Population,Crude Rate
,2007,2007,Cervix Uteri,27010,Kansas,20,30,1405705,2.1
,2007,2007,Cervix Uteri,27010,Kentucky,21,75,2164210,3.5
,2007,2007,Cervix Uteri,27010,Louisiana,22,77,2239125,3.4
,2007,2007,Cervix Uteri,27010,Maine,23,19,677797,2.8
,2007,2007,Cervix Uteri,27010,Maryland,24,75,2920109,2.6
,2007,2007,Cervix Uteri,27010,Massachusetts,25,46,3321653,1.4
,2007,2007,Cervix Uteri,27010,Michigan,26,108,5091035,2.1
,2007,2007,Cervix Uteri,27010,Minnesota,27,28,2622551,1.1
,2007,2007,Cervix Uteri,27010,Mississippi,28,67,1507071,4.4
,2007,2007,Cervix Uteri,27010,Missouri,29,89,3007493,3
,2007,2007,Cervix Uteri,27010,Nevada,32,26,1284052,2
,2007,2007,Cervix Uteri,27010,New Hampshire,33,18,664987,2.7
,2007,2007,Cervix Uteri,27010,New Jersey,34,103,4455148,2.3
,2007,2007,Cervix Uteri,27010,New Mexico,35,26,1007922,2.6
,2007,2007,Cervix Uteri,27010,New York,36,295,9881510,3
,2007,2007,Cervix Uteri,27010,North Carolina,37,120,4677313,2.6
,2007,2007,Cervix Uteri,27010,Ohio,39,183,5890965,3.1
,2007,2007,Cervix Uteri,27010,Oklahoma,40,53,1837175,2.9
,2007,2007,Cervix Uteri,27010,Oregon,41,31,1879347,1.6
,2007,2007,Cervix Uteri,27010,Pennsylvania,42,157,6452087,2.4
,2007,2007,Cervix Uteri,27010,South Carolina,45,73,2280792,3.2
,2007,2007,Cervix Uteri,27010,Tennessee,47,98,3162280,3.1
,2007,2007,Cervix Uteri,27010,Texas,48,348,12010572,2.9
,2007,2007,Cervix Uteri,27010,Virginia,51,115,3947966,2.9
,2007,2007,Cervix Uteri,27010,Washington,53,79,3247800,2.4
,2007,2007,Cervix Uteri,27010,West Virginia,54,37,932683,4
,2007,2007,Cervix Uteri,27010,Wisconsin,55,54,2827782,1.9
,2007,2007,Cervix Uteri,27010,Puerto Rico,72,43,1968707,2.2
,2008,2008,Cervix Uteri,27010,Alabama,01,82,2430257,3.4
,2008,2008,Cervix Uteri,27010,Arizona,04,60,3155278,1.9
,2008,2008,Cervix Uteri,27010,Arkansas,05,49,1464220,3.3
,2008,2008,Cervix Uteri,27010,California,06,425,18396972,2.3
,2008,2008,Cervix Uteri,27010,Colorado,08,48,2439060,2
,2008,2008,Cervix Uteri,27010,Connecticut,09,36,1820749,2
,2008,2008,Cervix Uteri,27010,Florida,12,297,9465279,3.1
,2008,2008,Cervix Uteri,27010,Georgia,13,132,4856984,2.7
,2008,2008,Cervix Uteri,27010,Idaho,16,21,764792,2.7
,2008,2008,Cervix Uteri,27010,Illinois,17,200,6493537,3.1
,2008,2008,Cervix Uteri,27010,Indiana,18,72,3263963,2.2
,2008,2008,Cervix Uteri,27010,Iowa,19,35,1525539,2.3
,2008,2008,Cervix Uteri,27010,Kansas,20,25,1415563,1.8
,2008,2008,Cervix Uteri,27010,Kentucky,21,65,2183532,3
,2008,2008,Cervix Uteri,27010,Louisiana,22,90,2269630,4
,2008,2008,Cervix Uteri,27010,Maine,23,17,679413,2.5
,2008,2008,Cervix Uteri,27010,Maryland,24,79,2935788,2.7
,2008,2008,Cervix Uteri,27010,Massachusetts,25,49,3340730,1.5
,2008,2008,Cervix Uteri,27010,Michigan,26,116,5065899,2.3
