state_fips,state_name,sex,age,population
16,Idaho,Male,60-69,104967.0
16,Idaho,Male,70-79,66753.0
16,Idaho,Male,80+,27153.0
16,Idaho,Male,All,933728.0
17,Illinois,All,0-9,1485516.0
17,Illinois,All,10-19,1676093.0
17,Illinois,All,20-29,1719036.0
17,Illinois,All,30-39,1724368.0
17,Illinois,All,40-49,1610047.0
17,Illinois,All,50-59,1661016.0
17,Illinois,All,60-69,1488832.0
17,Illinois,All,70-79,895598.0
17,Illinois,All,80+,497128.0
17,Illinois,All,All,12757634.0
17,Illinois,Female,0-9,727436.0
17,Illinois,Female,10-19,816493.0
17,Illinois,Female,20-29,845720.0
17,Illinois,Female,30-39,851429.0
17,Illinois,Female,40-49,797825.0
17,Illinois,Female,50-59,832204.0
17,Illinois,Female,60-69,771134.0
17,Illinois,Female,70-79,489950.0
17,Illinois,Female,80+,312424.0
17,Illinois,Female,All,6444615.0
17,Illinois,Male,0-9,758080.0
17,Illinois,Male,10-19,859600.0
17,Illinois,Male,20-29,873316.0
17,Illinois,Male,30-39,872939.0
17,Illinois,Male,40-49,812222.0
17,Illinois,Male,50-59,828812.0
17,Illinois,Male,60-69,717698.0
17,Illinois,Male,70-79,405648.0
17,Illinois,Male,80+,184704.0
17,Illinois,Male,All,6313019.0
18,Indiana,All,0-9,842340.0
18,Indiana,All,10-19,931419.0
18,Indiana,All,20-29,928309.0
18,Indiana,All,30-39,869320.0
18,Indiana,All,40-49,821312.0
18,Indiana,All,50-59,861541.0
18,Indiana,All,60-69,796046.0
18,Indiana,All,70-79,481166.0
18,Indiana,All,80+,252950.0
18,Indiana,All,All,6784403.0
18,Indiana,Female,0-9,410036.0
18,Indiana,Female,10-19,453396.0
18,Indiana,Female,20-29,454972.0
18,Indiana,Female,30-39,429984.0
18,Indiana,Female,40-49,408435.0
18,Indiana,Female,50-59,429270.0
18,Indiana,Female,60-69,410515.0
18,Indiana,Female,70-79,262914.0
18,Indiana,Female,80+,158083.0
18,Indiana,Female,All,3417605.0
18,Indiana,Male,0-9,432304.0
18,Indiana,Male,10-19,478023.0
18,Indiana,Male,20-29,473337.0
18,Indiana,Male,30-39,439336.0
18,Indiana,Male,40-49,412877.0
18,Indiana,Male,50-59,432271.0
18,Indiana,Male,60-69,385531.0
18,Indiana,Male,70-79,218252.0
18,Indiana,Male,80+,94867.0
18,Indiana,Male,All,3366798.0
19,Iowa,All,0-9,392464.0
19,Iowa,All,10-19,433541.0
19,Iowa,All,20-29,431457.0
19,Iowa,All,30-39,403435.0
19,Iowa,All,40-49,366770.0
19,Iowa,All,50-59,389436.0
19,Iowa,All,60-69,391848.0
19,Iowa,All,70-79,236254.0
19,Iowa,All,80+,143631.0
19,Iowa,All,All,3188836.0
19,Iowa,Female,0-9,190224.0
19,Iowa,Female,10-19,212224.0
19,Iowa,Female,20-29,208108.0
19,Iowa,Female,30-39,196043.0
19,Iowa,Female,40-49,178357.0
19,Iowa,Female,50-59,193707.0
19,Iowa,Female,60-69,196421.0
19,Iowa,Female,70-79,126200.0
19,Iowa,Female,80+,88997.0
19,Iowa,Female,All,1590281.0
19,Iowa,Male,0-9,202240.0
19,Iowa,Male,10-19,221317.0
19,Iowa,Male,20-29,223349.0
19,Iowa,Male,30-39,207392.0
19,Iowa,Male,40-49,188413.0
19,Iowa,Male,50-59,195729.0
19,Iowa,Male,60-69,195427.0
19,Iowa,Male,70-79,110054.0
19,Iowa,Male,80+,54634.0
19,Iowa,Male,All,1598555.0
20,Kansas,All,0-9,375941.0
20,Kansas,All,10-19,414112.0
20,Kansas,All,20-29,408738.0
20,Kansas,All,30-39,383953.0
20,Kansas,All,40-49,338409.0
20,Kansas,All,50-59,349044.0
20,Kansas,All,60-69,345415.0
20,Kansas,All,70-79,201753.0
20,Kansas,All,80+,118557.0
20,Kansas,All,All,2935922.0
20,Kansas,Female,0-9,182157.0
20,Kansas,Female,10-19,201827.0
20,Kansas,Female,20-29,193700.0
20,Kansas,Female,30-39,186810.0
20,Kansas,Female,40-49,165599.0
20,Kansas,Female,50-59,173189.0
20,Kansas,Female,60-69,175856.0
20,Kansas,Female,70-79,108676.0
20,Kansas,Female,80+,73160.0
20,Kansas,Female,All,1460974.0
20,Kansas,Male,0-9,193784.0
20,Kansas,Male,10-19,212285.0
20,Kansas,Male,20-29,215038.0
20,Kansas,Male,30-39,197143.0
20,Kansas,Male,40-49,172810.0
20,Kansas,Male,50-59,175855.0
20,Kansas,Male,60-69,169559.0
20,Kansas,Male,70-79,93077.0
20,Kansas,Male,80+,45397.0
20,Kansas,Male,All,1474948.0
21,Kentucky,All,0-9,544788.0
21,Kentucky,All,10-19,585242.0
21,Kentucky,All,20-29,604512.0
21,Kentucky,All,30-39,569603.0
21,Kentucky,All,40-49,556363.0
21,Kentucky,All,50-59,586096.0
21,Kentucky,All,60-69,556053.0
21,Kentucky,All,70-79,337123.0
21,Kentucky,All,80+,163155.0
21,Kentucky,All,All,4502935.0
21,Kentucky,Female,0-9,263238.0
21,Kentucky,Female,10-19,286140.0
21,Kentucky,Female,20-29,292347.0
21,Kentucky,Female,30-39,282723.0
21,Kentucky,Female,40-49,275621.0
21,Kentucky,Female,50-59,294496.0
21,Kentucky,Female,60-69,290034.0
21,Kentucky,Female,70-79,182844.0
21,Kentucky,Female,80+,101451.0
21,Kentucky,Female,All,2268894.0
21,Kentucky,Male,0-9,281550.0
