state_fips,state_name,age,population,population_pct,time_period
04,Arizona,0-17,1623244.0,25.6,2011
04,Arizona,0-9,905908.0,14.3,2011
04,Arizona,10-19,902393.0,14.2,2011
04,Arizona,15+,4985164.0,78.7,2011
04,Arizona,15-24,897950.0,14.2,2011
04,Arizona,18+,4714129.0,74.4,2011
04,Arizona,18-19,185057.0,2.9,2011
04,Arizona,18-24,626915.0,9.9,2011
04,Arizona,18-39,1904005.0,30.0,2011
04,Arizona,18-44,2314626.0,36.5,2011
04,Arizona,20-24,441858.0,7.0,2011
04,Arizona,20-29,888645.0,14.0,2011
04,Arizona,25-29,446787.0,7.1,2011
04,Arizona,25-34,859319.0,13.6,2011
04,Arizona,30-34,412532.0,6.5,2011
04,Arizona,30-39,830303.0,13.1,2011
04,Arizona,35-39,417771.0,6.6,2011
04,Arizona,35-44,828392.0,13.1,2011
04,Arizona,40-44,410621.0,6.5,2011
04,Arizona,40-49,834293.0,13.2,2011
04,Arizona,40-64,1948662.0,30.7,2011
04,Arizona,45-49,423672.0,6.7,2011
04,Arizona,45-54,830751.0,13.1,2011
04,Arizona,45-64,1538041.0,24.3,2011
04,Arizona,50-54,407079.0,6.4,2011
04,Arizona,50-59,775602.0,12.2,2011
04,Arizona,55-59,368523.0,5.8,2011
04,Arizona,55-64,707290.0,11.2,2011
04,Arizona,60-64,338767.0,5.3,2011
04,Arizona,60-69,608612.0,9.6,2011
04,Arizona,65+,861462.0,13.6,2011
04,Arizona,65-69,269845.0,4.3,2011
04,Arizona,65-74,481716.0,7.6,2011
04,Arizona,70-74,211871.0,3.3,2011
04,Arizona,70-79,375904.0,5.9,2011
04,Arizona,75-79,164033.0,2.6,2011
04,Arizona,75-84,280469.0,4.4,2011
04,Arizona,80+,215713.0,3.4,2011
04,Arizona,80-84,116436.0,1.8,2011
04,Arizona,85+,99277.0,1.6,2011
04,Arizona,All,6337373.0,100.0,2011
04,Arizona,0-14,1404530.0,22.2,2009
04,Arizona,0-17,1672668.0,26.4,2009
04,Arizona,0-9,953919.0,15.1,2009
04,Arizona,10-19,882035.0,13.9,2009
04,Arizona,15+,4920335.0,77.8,2009
04,Arizona,15-24,857984.0,13.6,2009
04,Arizona,18+,4652197.0,73.6,2009
04,Arizona,18-19,163286.0,2.6,2009
04,Arizona,18-24,589846.0,9.3,2009
04,Arizona,18-39,1940691.0,30.7,2009
04,Arizona,18-44,2367767.0,37.4,2009
04,Arizona,20-24,426560.0,6.7,2009
04,Arizona,20-29,906607.0,14.3,2009
04,Arizona,25-29,480047.0,7.6,2009
04,Arizona,25-34,919448.0,14.5,2009
04,Arizona,30-34,439401.0,6.9,2009
04,Arizona,30-39,870798.0,13.8,2009
04,Arizona,35-39,431397.0,6.8,2009
04,Arizona,35-44,858473.0,13.6,2009
04,Arizona,40-44,427076.0,6.8,2009
04,Arizona,40-49,856501.0,13.5,2009
04,Arizona,40-64,1897670.0,30.0,2009
04,Arizona,45-49,429425.0,6.8,2009
04,Arizona,45-54,819130.0,13.0,2009
04,Arizona,45-64,1470594.0,23.3,2009
04,Arizona,50-54,389705.0,6.2,2009
04,Arizona,50-59,738747.0,11.7,2009
04,Arizona,55-59,349042.0,5.5,2009
04,Arizona,55-64,651464.0,10.3,2009
04,Arizona,60-64,302422.0,4.8,2009
04,Arizona,60-69,535974.0,8.5,2009
04,Arizona,65+,813836.0,12.9,2009
04,Arizona,65-69,233552.0,3.7,2009
04,Arizona,65-74,420571.0,6.6,2009
04,Arizona,70-74,187019.0,3.0,2009
04,Arizona,70-79,361456.0,5.7,2009
04,Arizona,75-79,174437.0,2.8,2009
04,Arizona,75-84,296087.0,4.7,2009
04,Arizona,80+,218828.0,3.5,2009
04,Arizona,80-84,121650.0,1.9,2009
04,Arizona,85+,97178.0,1.5,2009
04,Arizona,All,6324865.0,100.0,2009
04,Arizona,0-14,1354418.0,21.1,2012
04,Arizona,0-17,1624651.0,25.3,2012
04,Arizona,0-9,904096.0,14.1,2012
04,Arizona,10-19,906052.0,14.1,2012
04,Arizona,15+,5056561.0,78.9,2012
04,Arizona,15-24,906606.0,14.1,2012
04,Arizona,18+,4786328.0,74.7,2012
04,Arizona,18-19,185497.0,2.9,2012
04,Arizona,18-24,636373.0,9.9,2012
04,Arizona,18-39,1910839.0,29.8,2012
04,Arizona,18-44,2326581.0,36.3,2012
04,Arizona,20-24,450876.0,7.0,2012
04,Arizona,20-29,895806.0,14.0,2012
04,Arizona,25-29,444930.0,6.9,2012
04,Arizona,25-34,863824.0,13.5,2012
04,Arizona,30-34,418894.0,6.5,2012
04,Arizona,30-39,829536.0,12.9,2012
04,Arizona,35-39,410642.0,6.4,2012
04,Arizona,35-44,826384.0,12.9,2012
04,Arizona,40-44,415742.0,6.5,2012
04,Arizona,40-49,837653.0,13.1,2012
04,Arizona,40-64,1980979.0,30.9,2012
04,Arizona,45-49,421911.0,6.6,2012
04,Arizona,45-54,836953.0,13.1,2012
04,Arizona,45-64,1565237.0,24.4,2012
04,Arizona,50-54,415042.0,6.5,2012
04,Arizona,50-59,792122.0,12.4,2012
04,Arizona,55-59,377080.0,5.9,2012
04,Arizona,55-64,728284.0,11.4,2012
04,Arizona,60-64,351204.0,5.5,2012
04,Arizona,60-69,635179.0,9.9,2012
04,Arizona,65+,894510.0,14.0,2012
04,Arizona,65-69,283975.0,4.4,2012
04,Arizona,65-74,505280.0,7.9,2012
04,Arizona,70-74,221305.0,3.5,2012
04,Arizona,70-79,386034.0,6.0,2012
04,Arizona,75-79,164729.0,2.6,2012
04,Arizona,75-84,284635.0,4.4,2012
04,Arizona,80+,224501.0,3.5,2012
04,Arizona,80-84,119906.0,1.9,2012
04,Arizona,85+,104595.0,1.6,2012
04,Arizona,All,6410979.0,100.0,2012
04,Arizona,0-14,1343449.0,21.5,2010
04,Arizona,0-17,1613501.0,25.8,2010
04,Arizona,0-9,903340.0,14.5,2010
04,Arizona,10-19,892953.0,14.3,2010
04,Arizona,15+,4903367.0,78.5,2010
04,Arizona,15-24,885729.0,14.2,2010
04,Arizona,18+,4633315.0,74.2,2010
04,Arizona,18-19,182792.0,2.9,2010
04,Arizona,18-24,615677.0,9.9,2010
04,Arizona,18-39,1888358.0,30.2,2010
04,Arizona,18-44,2297435.0,36.8,2010
04,Arizona,20-24,432885.0,6.9,2010
04,Arizona,20-29,879549.0,14.1,2010
04,Arizona,25-29,446664.0,7.2,2010
04,Arizona,25-34,853236.0,13.7,2010
04,Arizona,30-34,406572.0,6.5,2010
04,Arizona,30-39,826017.0,13.2,2010
