state_fips,state_name,sex,population,population_pct,time_period
33,New Hampshire,All,1343622.0,100.0,2018
33,New Hampshire,All,1372175.0,100.0,2021
33,New Hampshire,All,1327503.0,100.0,2016
33,New Hampshire,All,1348124.0,100.0,2019
33,New Hampshire,All,1324201.0,100.0,2015
33,New Hampshire,All,1355244.0,100.0,2020
33,New Hampshire,All,1331848.0,100.0,2017
33,New Hampshire,All,1379610.0,100.0,2022
34,New Jersey,All,8874374.0,100.0,2014
34,New Jersey,All,8793888.0,100.0,2012
34,New Jersey,All,8832406.0,100.0,2013
34,New Jersey,All,8650548.0,100.0,2009
34,New Jersey,All,8753064.0,100.0,2011
34,New Jersey,All,8721577.0,100.0,2010
34,New Jersey,All,8881845.0,100.0,2018
34,New Jersey,All,9234024.0,100.0,2021
34,New Jersey,All,8915456.0,100.0,2016
34,New Jersey,All,8878503.0,100.0,2019
34,New Jersey,All,8904413.0,100.0,2015
34,New Jersey,All,8885418.0,100.0,2020
34,New Jersey,All,8960161.0,100.0,2017
34,New Jersey,All,9249063.0,100.0,2022
35,New Mexico,All,2080085.0,100.0,2014
35,New Mexico,All,2055287.0,100.0,2012
35,New Mexico,All,2069706.0,100.0,2013
35,New Mexico,All,1964860.0,100.0,2009
35,New Mexico,All,2037136.0,100.0,2011
35,New Mexico,All,2013122.0,100.0,2010
35,New Mexico,All,2092434.0,100.0,2018
35,New Mexico,All,2109366.0,100.0,2021
35,New Mexico,All,2082669.0,100.0,2016
35,New Mexico,All,2092454.0,100.0,2019
35,New Mexico,All,2084117.0,100.0,2015
35,New Mexico,All,2097021.0,100.0,2020
35,New Mexico,All,2084828.0,100.0,2017
35,New Mexico,All,2112463.0,100.0,2022
36,New York,All,19594330.0,100.0,2014
36,New York,All,19398125.0,100.0,2012
36,New York,All,19487053.0,100.0,2013
36,New York,All,19423896.0,100.0,2009
36,New York,All,19302448.0,100.0,2011
36,New York,All,19229752.0,100.0,2010
36,New York,All,19618453.0,100.0,2018
36,New York,All,20114745.0,100.0,2021
36,New York,All,19697457.0,100.0,2016
36,New York,All,19572319.0,100.0,2019
36,New York,All,19673174.0,100.0,2015
36,New York,All,19514849.0,100.0,2020
