Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States and Puerto Rico,States and Puerto Rico Code,Age Groups,Age Groups Code,Count,Population,Crude Rate
,1999,1999,Breast,26000,Indiana,18,70-74 years,70-74,540,192620,280.3
,1999,1999,Breast,26000,Indiana,18,75-79 years,75-79,504,158156,318.7
,1999,1999,Breast,26000,Indiana,18,80-84 years,80-84,329,105403,312.1
,1999,1999,Breast,26000,Indiana,18,85+ years,85+,242,90274,268.1
,1999,1999,Breast,26000,Iowa,19,30-34 years,30-34,27,184425,14.6
,1999,1999,Breast,26000,Iowa,19,35-39 years,35-39,75,221799,33.8
,1999,1999,Breast,26000,Iowa,19,40-44 years,40-44,132,226687,58.2
,1999,1999,Breast,26000,Iowa,19,45-49 years,45-49,188,209662,89.7
,1999,1999,Breast,26000,Iowa,19,50-54 years,50-54,239,172878,138.2
,1999,1999,Breast,26000,Iowa,19,55-59 years,55-59,221,136955,161.4
,1999,1999,Breast,26000,Iowa,19,60-64 years ,60-64,222,118821,186.8
,1999,1999,Breast,26000,Iowa,19,65-69 years,65-69,244,107971,226
,1999,1999,Breast,26000,Iowa,19,70-74 years,70-74,283,105306,268.7
,1999,1999,Breast,26000,Iowa,19,75-79 years,75-79,275,91808,299.5
,1999,1999,Breast,26000,Iowa,19,80-84 years,80-84,208,67138,309.8
,1999,1999,Breast,26000,Iowa,19,85+ years,85+,226,64782,348.9
,1999,1999,Breast,26000,Kansas,20,30-34 years,30-34,27,176480,15.3
,1999,1999,Breast,26000,Kansas,20,35-39 years,35-39,84,211714,39.7
,1999,1999,Breast,26000,Kansas,20,40-44 years,40-44,132,212236,62.2
,1999,1999,Breast,26000,Kansas,20,45-49 years,45-49,175,188648,92.8
,1999,1999,Breast,26000,Kansas,20,50-54 years,50-54,215,155509,138.3
,1999,1999,Breast,26000,Kansas,20,55-59 years,55-59,185,118900,155.6
,1999,1999,Breast,26000,Kansas,20,60-64 years ,60-64,196,98820,198.3
,1999,1999,Breast,26000,Kansas,20,65-69 years,65-69,221,90679,243.7
,1999,1999,Breast,26000,Kansas,20,70-74 years,70-74,225,86584,259.9
,1999,1999,Breast,26000,Kansas,20,75-79 years,75-79,204,75198,271.3
,1999,1999,Breast,26000,Kansas,20,80-84 years,80-84,179,52730,339.5
,1999,1999,Breast,26000,Kansas,20,85+ years,85+,138,51497,268
,1999,1999,Breast,26000,Kentucky,21,30-34 years,30-34,33,286835,11.5
,1999,1999,Breast,26000,Kentucky,21,35-39 years,35-39,112,323273,34.6
,1999,1999,Breast,26000,Kentucky,21,40-44 years,40-44,189,318015,59.4
,1999,1999,Breast,26000,Kentucky,21,45-49 years,45-49,286,288496,99.1
,1999,1999,Breast,26000,Kentucky,21,50-54 years,50-54,342,252943,135.2
,1999,1999,Breast,26000,Kentucky,21,55-59 years,55-59,340,199700,170.3
,1999,1999,Breast,26000,Kentucky,21,60-64 years ,60-64,326,166288,196
,1999,1999,Breast,26000,Kentucky,21,65-69 years,65-69,319,144509,220.7
,1999,1999,Breast,26000,Kentucky,21,70-74 years,70-74,321,129509,247.9
,1999,1999,Breast,26000,Kentucky,21,75-79 years,75-79,308,103629,297.2
,1999,1999,Breast,26000,Kentucky,21,80-84 years,80-84,189,67156,281.4
,1999,1999,Breast,26000,Kentucky,21,85+ years,85+,155,57514,269.5
,1999,1999,Breast,26000,Louisiana,22,25-29 years,25-29,19,300851,6.3
,1999,1999,Breast,26000,Louisiana,22,30-34 years,30-34,49,307731,15.9
,1999,1999,Breast,26000,Louisiana,22,35-39 years,35-39,108,348414,31
,1999,1999,Breast,26000,Louisiana,22,40-44 years,40-44,210,347893,60.4
,1999,1999,Breast,26000,Louisiana,22,45-49 years,45-49,274,309678,88.5
,1999,1999,Breast,26000,Louisiana,22,50-54 years,50-54,337,260765,129.2
,1999,1999,Breast,26000,Louisiana,22,55-59 years,55-59,297,204008,145.6
,1999,1999,Breast,26000,Louisiana,22,60-64 years ,60-64,287,169228,169.6
,1999,1999,Breast,26000,Louisiana,22,65-69 years,65-69,347,148253,234.1
,1999,1999,Breast,26000,Louisiana,22,70-74 years,70-74,345,135380,254.8
,1999,1999,Breast,26000,Louisiana,22,75-79 years,75-79,312,105682,295.2
,1999,1999,Breast,26000,Louisiana,22,80-84 years,80-84,202,67242,300.4
,1999,1999,Breast,26000,Louisiana,22,85+ years,85+,212,57390,369.4
,1999,1999,Breast,26000,Maine,23,35-39 years,35-39,25,105434,23.7
,1999,1999,Breast,26000,Maine,23,40-44 years,40-44,62,108096,57.4
,1999,1999,Breast,26000,Maine,23,45-49 years,45-49,105,99910,105.1
,1999,1999,Breast,26000,Maine,23,50-54 years,50-54,116,86441,134.2
,1999,1999,Breast,26000,Maine,23,55-59 years,55-59,89,65724,135.4
,1999,1999,Breast,26000,Maine,23,60-64 years ,60-64,100,54088,184.9
,1999,1999,Breast,26000,Maine,23,65-69 years,65-69,119,49907,238.4
,1999,1999,Breast,26000,Maine,23,70-74 years,70-74,114,46067,247.5
,1999,1999,Breast,26000,Maine,23,75-79 years,75-79,115,37396,307.5
,1999,1999,Breast,26000,Maine,23,80-84 years,80-84,80,25428,314.6
,1999,1999,Breast,26000,Maine,23,85+ years,85+,62,22883,270.9
,1999,1999,Breast,26000,Maryland,24,25-29 years,25-29,18,347652,5.2
,1999,1999,Breast,26000,Maryland,24,30-34 years,30-34,71,416285,17.1
,1999,1999,Breast,26000,Maryland,24,35-39 years,35-39,165,467375,35.3
,1999,1999,Breast,26000,Maryland,24,40-44 years,40-44,330,444074,74.3
,1999,1999,Breast,26000,Maryland,24,45-49 years,45-49,415,391066,106.1
,1999,1999,Breast,26000,Maryland,24,50-54 years,50-54,486,343624,141.4
,1999,1999,Breast,26000,Maryland,24,55-59 years,55-59,467,260362,179.4
,1999,1999,Breast,26000,Maryland,24,60-64 years ,60-64,408,198420,205.6
,1999,1999,Breast,26000,Maryland,24,65-69 years,65-69,404,168369,239.9
,1999,1999,Breast,26000,Maryland,24,70-74 years,70-74,385,153202,251.3
,1999,1999,Breast,26000,Maryland,24,75-79 years,75-79,366,127069,288
,1999,1999,Breast,26000,Maryland,24,80-84 years,80-84,220,80829,272.2
,1999,1999,Breast,26000,Maryland,24,85+ years,85+,202,65553,308.1
,1999,1999,Breast,26000,Massachusetts,25,25-29 years,25-29,28,455310,6.1
,1999,1999,Breast,26000,Massachusetts,25,30-34 years,30-34,83,499442,16.6
,1999,1999,Breast,26000,Massachusetts,25,35-39 years,35-39,194,542130,35.8
,1999,1999,Breast,26000,Massachusetts,25,40-44 years,40-44,352,515100,68.3
,1999,1999,Breast,26000,Massachusetts,25,45-49 years,45-49,520,452495,114.9
,1999,1999,Breast,26000,Massachusetts,25,50-54 years,50-54,530,397395,133.4
,1999,1999,Breast,26000,Massachusetts,25,55-59 years,55-59,557,299408,186
,1999,1999,Breast,26000,Massachusetts,25,60-64 years ,60-64,496,235075,211
,1999,1999,Breast,26000,Massachusetts,25,65-69 years,65-69,515,217857,236.4
,1999,1999,Breast,26000,Massachusetts,25,70-74 years,70-74,599,213185,281
,1999,1999,Breast,26000,Massachusetts,25,75-79 years,75-79,573,183528,312.2
,1999,1999,Breast,26000,Massachusetts,25,80-84 years,80-84,382,129117,295.9
,1999,1999,Breast,26000,Massachusetts,25,85+ years,85+,407,114657,355
,1999,1999,Breast,26000,Michigan,26,25-29 years,25-29,26,667971,3.9
,1999,1999,Breast,26000,Michigan,26,30-34 years,30-34,81,709928,11.4
