Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States,States Code,Count,Population,Crude Rate
,2004,2004,Breast,26000,Idaho,16,765,1391802,55
,2004,2004,Breast,26000,Illinois,17,8378,12589773,66.5
,2004,2004,Breast,26000,Indiana,18,4019,6233007,64.5
,2004,2004,Breast,26000,Iowa,19,2164,2953635,73.3
,2004,2004,Breast,26000,Kansas,20,1850,2734373,67.7
,2004,2004,Breast,26000,Kentucky,21,2804,4146101,67.6
,2004,2004,Breast,26000,Louisiana,22,2982,4552238,65.5
,2004,2004,Breast,26000,Maine,23,1066,1313688,81.1
,2004,2004,Breast,26000,Maryland,24,3916,5546935,70.6
,2004,2004,Breast,26000,Massachusetts,25,5042,6412281,78.6
,2004,2004,Breast,26000,Michigan,26,7135,10055315,71
,2004,2004,Breast,26000,Minnesota,27,3402,5087713,66.9
,2004,2004,Breast,26000,Mississippi,28,1804,2889010,62.4
,2004,2004,Breast,26000,Missouri,29,4064,5747741,70.7
,2004,2004,Breast,26000,Montana,30,655,930009,70.4
,2004,2004,Breast,26000,Nebraska,31,1240,1749370,70.9
,2004,2004,Breast,26000,Nevada,32,1347,2346222,57.4
,2004,2004,Breast,26000,New Hampshire,33,970,1290121,75.2
,2004,2004,Breast,26000,New Jersey,34,6732,8634561,78
,2004,2004,Breast,26000,New Mexico,35,1196,1903808,62.8
,2004,2004,Breast,26000,New York,36,13945,19171567,72.7
,2004,2004,Breast,26000,North Carolina,37,5892,8553152,68.9
,2004,2004,Breast,26000,North Dakota,38,460,644705,71.4
,2004,2004,Breast,26000,Ohio,39,8288,11452251,72.4
,2004,2004,Breast,26000,Oklahoma,40,2641,3525233,74.9
,2004,2004,Breast,26000,Oregon,41,2725,3569463,76.3
,2004,2004,Breast,26000,Pennsylvania,42,9895,12410722,79.7
,2004,2004,Breast,26000,Rhode Island,44,858,1074579,79.8
,2004,2004,Breast,26000,South Carolina,45,2827,4210921,67.1
,2004,2004,Breast,26000,South Dakota,46,502,770396,65.2
,2004,2004,Breast,26000,Tennessee,47,3796,5910809,64.2
,2004,2004,Breast,26000,Texas,48,12418,22394023,55.5
,2004,2004,Breast,26000,Utah,49,1125,2401580,46.8
,2004,2004,Breast,26000,Vermont,50,490,619920,79
,2004,2004,Breast,26000,Virginia,51,5183,7475575,69.3
,2004,2004,Breast,26000,Washington,53,4382,6178645,70.9
,2004,2004,Breast,26000,West Virginia,54,1383,1816438,76.1
,2004,2004,Breast,26000,Wisconsin,55,3734,5514026,67.7
,2004,2004,Breast,26000,Wyoming,56,327,509106,64.2
,2005,2005,Breast,26000,Alabama,1,3097,4565917,67.8
,2005,2005,Breast,26000,Alaska,2,371,666946,55.6
,2005,2005,Breast,26000,Arizona,4,3442,5839077,58.9
,2005,2005,Breast,26000,Arkansas,5,1749,2781097,62.9
,2005,2005,Breast,26000,California,6,22246,35827943,62.1
,2005,2005,Breast,26000,Colorado,8,2953,4631888,63.8
,2005,2005,Breast,26000,Connecticut,9,2897,3506956,82.6
,2005,2005,Breast,26000,Delaware,10,665,845150,78.7
,2005,2005,Breast,26000,District of Columbia,11,413,567136,72.8
,2005,2005,Breast,26000,Florida,12,13354,17842038,74.8
,2005,2005,Breast,26000,Georgia,13,5339,8925922,59.8
,2005,2005,Breast,26000,Hawaii,15,872,1292729,67.5
,2005,2005,Breast,26000,Idaho,16,811,1428241,56.8
,2005,2005,Breast,26000,Illinois,17,8577,12609903,68
,2005,2005,Breast,26000,Indiana,18,4097,6278616,65.3
,2005,2005,Breast,26000,Iowa,19,2188,2964454,73.8
,2005,2005,Breast,26000,Kansas,20,1889,2745299,68.8
,2005,2005,Breast,26000,Kentucky,21,2846,4182742,68
,2005,2005,Breast,26000,Louisiana,22,2691,4411396,61
,2005,2005,Breast,26000,Maine,23,1118,1318787,84.8
