Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States,States Code,Count,Population,Crude Rate
,2003,2003,Cervix Uteri,27010,Utah,49,49,1175867,4.2
,2003,2003,Cervix Uteri,27010,Vermont,50,25,314206,8
,2003,2003,Cervix Uteri,27010,Virginia,51,252,3757780,6.7
,2003,2003,Cervix Uteri,27010,Washington,53,219,3065739,7.1
,2003,2003,Cervix Uteri,27010,West Virginia,54,96,925835,10.4
,2003,2003,Cervix Uteri,27010,Wisconsin,55,191,2766901,6.9
,2003,2003,Cervix Uteri,27010,Wyoming,56,22,249128,8.8
,2004,2004,Cervix Uteri,27010,Alabama,1,199,2337857,8.5
,2004,2004,Cervix Uteri,27010,Alaska,2,21,317807,6.6
,2004,2004,Cervix Uteri,27010,Arizona,4,210,2835606,7.4
,2004,2004,Cervix Uteri,27010,Arkansas,5,139,1403048,9.9
,2004,2004,Cervix Uteri,27010,California,6,1447,17871415,8.1
,2004,2004,Cervix Uteri,27010,Colorado,8,143,2274511,6.3
,2004,2004,Cervix Uteri,27010,Connecticut,9,139,1798078,7.7
,2004,2004,Cervix Uteri,27010,Delaware,10,38,427320,8.9
,2004,2004,Cervix Uteri,27010,District of Columbia,11,43,300284,14.3
,2004,2004,Cervix Uteri,27010,Florida,12,887,8902447,10
,2004,2004,Cervix Uteri,27010,Georgia,13,363,4463524,8.1
,2004,2004,Cervix Uteri,27010,Hawaii,15,43,636864,6.8
,2004,2004,Cervix Uteri,27010,Idaho,16,38,693186,5.5
,2004,2004,Cervix Uteri,27010,Illinois,17,571,6414209,8.9
,2004,2004,Cervix Uteri,27010,Indiana,18,269,3168952,8.5
,2004,2004,Cervix Uteri,27010,Iowa,19,96,1498888,6.4
,2004,2004,Cervix Uteri,27010,Kansas,20,103,1382396,7.5
,2004,2004,Cervix Uteri,27010,Kentucky,21,219,2112051,10.4
,2004,2004,Cervix Uteri,27010,Louisiana,22,220,2338753,9.4
,2004,2004,Cervix Uteri,27010,Maine,23,67,671862,10
,2004,2004,Cervix Uteri,27010,Maryland,24,227,2870043,7.9
,2004,2004,Cervix Uteri,27010,Massachusetts,25,242,3314634,7.3
,2004,2004,Cervix Uteri,27010,Michigan,26,379,5117929,7.4
,2004,2004,Cervix Uteri,27010,Minnesota,27,163,2564037,6.4
,2004,2004,Cervix Uteri,27010,Mississippi,28,143,1490115,9.6
,2004,2004,Cervix Uteri,27010,Missouri,29,266,2942685,9
,2004,2004,Cervix Uteri,27010,Montana,30,32,465000,6.9
,2004,2004,Cervix Uteri,27010,Nebraska,31,63,883984,7.1
,2004,2004,Cervix Uteri,27010,Nevada,32,95,1156586,8.2
,2004,2004,Cervix Uteri,27010,New Hampshire,33,38,653845,5.8
,2004,2004,Cervix Uteri,27010,New Jersey,34,455,4436964,10.3
,2004,2004,Cervix Uteri,27010,New Mexico,35,93,964738,9.6
,2004,2004,Cervix Uteri,27010,New York,36,863,9913527,8.7
,2004,2004,Cervix Uteri,27010,North Carolina,37,397,4376070,9.1
,2004,2004,Cervix Uteri,27010,North Dakota,38,21,321008,6.5
,2004,2004,Cervix Uteri,27010,Ohio,39,476,5874411,8.1
,2004,2004,Cervix Uteri,27010,Oklahoma,40,140,1784671,7.8
,2004,2004,Cervix Uteri,27010,Oregon,41,104,1800377,5.8
,2004,2004,Cervix Uteri,27010,Pennsylvania,42,532,6390749,8.3
,2004,2004,Cervix Uteri,27010,Rhode Island,44,63,556375,11.3
,2004,2004,Cervix Uteri,27010,South Carolina,45,185,2162305,8.6
,2004,2004,Cervix Uteri,27010,South Dakota,46,27,386677,7
,2004,2004,Cervix Uteri,27010,Tennessee,47,275,3027931,9.1
,2004,2004,Cervix Uteri,27010,Texas,48,1073,11278402,9.5
,2004,2004,Cervix Uteri,27010,Utah,49,64,1196749,5.3
,2004,2004,Cervix Uteri,27010,Vermont,50,23,315080,7.3
,2004,2004,Cervix Uteri,27010,Virginia,51,258,3814310,6.8
,2004,2004,Cervix Uteri,27010,Washington,53,224,3107815,7.2
,2004,2004,Cervix Uteri,27010,West Virginia,54,98,927027,10.6
,2004,2004,Cervix Uteri,27010,Wisconsin,55,208,2782678,7.5
,2004,2004,Cervix Uteri,27010,Wyoming,56,21,251506,8.3
,2005,2005,Cervix Uteri,27010,Alabama,1,197,2354514,8.4
,2005,2005,Cervix Uteri,27010,Alaska,2,28,320920,8.7
,2005,2005,Cervix Uteri,27010,Arizona,4,209,2930811,7.1
,2005,2005,Cervix Uteri,27010,Arkansas,5,139,1418295,9.8
,2005,2005,Cervix Uteri,27010,California,6,1533,17996230,8.5
,2005,2005,Cervix Uteri,27010,Colorado,8,154,2308238,6.7
,2005,2005,Cervix Uteri,27010,Connecticut,9,119,1802068,6.6
,2005,2005,Cervix Uteri,27010,Delaware,10,38,435227,8.7
,2005,2005,Cervix Uteri,27010,District of Columbia,11,37,299613,12.3
,2005,2005,Cervix Uteri,27010,Florida,12,942,9117950,10.3
,2005,2005,Cervix Uteri,27010,Georgia,13,379,4555263,8.3
,2005,2005,Cervix Uteri,27010,Hawaii,15,44,644813,6.8
,2005,2005,Cervix Uteri,27010,Idaho,16,54,711983,7.6
,2005,2005,Cervix Uteri,27010,Illinois,17,580,6423831,9
,2005,2005,Cervix Uteri,27010,Indiana,18,258,3191481,8.1
,2005,2005,Cervix Uteri,27010,Iowa,19,109,1503019,7.3
,2005,2005,Cervix Uteri,27010,Kansas,20,110,1387958,7.9
,2005,2005,Cervix Uteri,27010,Kentucky,21,212,2129658,10
,2005,2005,Cervix Uteri,27010,Louisiana,22,214,2263201,9.5
