Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States,States Code,Age Groups,Age Groups Code,Count,Population,Crude Rate
,1999,1999,Prostate,28010,Indiana,18,65-69 years,65-69,688,93541,735.5
,1999,1999,Prostate,28010,Indiana,18,70-74 years,70-74,736,83301,883.5
,1999,1999,Prostate,28010,Indiana,18,75-79 years,75-79,495,63018,785.5
,1999,1999,Prostate,28010,Indiana,18,80-84 years,80-84,277,37189,744.8
,1999,1999,Prostate,28010,Indiana,18,85+ years,85+,162,24687,656.2
,1999,1999,Prostate,28010,Iowa,19,45-49 years,45-49,22,105619,20.8
,1999,1999,Prostate,28010,Iowa,19,50-54 years,50-54,107,86438,123.8
,1999,1999,Prostate,28010,Iowa,19,55-59 years,55-59,174,67198,258.9
,1999,1999,Prostate,28010,Iowa,19,60-64 years ,60-64,298,57032,522.5
,1999,1999,Prostate,28010,Iowa,19,65-69 years,65-69,417,49883,836
,1999,1999,Prostate,28010,Iowa,19,70-74 years,70-74,477,46868,1017.8
,1999,1999,Prostate,28010,Iowa,19,75-79 years,75-79,372,37706,986.6
,1999,1999,Prostate,28010,Iowa,19,80-84 years,80-84,220,24420,900.9
,1999,1999,Prostate,28010,Iowa,19,85+ years,85+,160,17776,900.1
,1999,1999,Prostate,28010,Kansas,20,45-49 years,45-49,37,94407,39.2
,1999,1999,Prostate,28010,Kansas,20,50-54 years,50-54,97,77927,124.5
,1999,1999,Prostate,28010,Kansas,20,55-59 years,55-59,188,58111,323.5
,1999,1999,Prostate,28010,Kansas,20,60-64 years ,60-64,256,47622,537.6
,1999,1999,Prostate,28010,Kansas,20,65-69 years,65-69,388,41887,926.3
,1999,1999,Prostate,28010,Kansas,20,70-74 years,70-74,401,38522,1041
,1999,1999,Prostate,28010,Kansas,20,75-79 years,75-79,348,31081,1119.7
,1999,1999,Prostate,28010,Kansas,20,80-84 years,80-84,173,19310,895.9
,1999,1999,Prostate,28010,Kansas,20,85+ years,85+,121,14500,834.5
,1999,1999,Prostate,28010,Kentucky,21,45-49 years,45-49,49,142050,34.5
,1999,1999,Prostate,28010,Kentucky,21,50-54 years,50-54,149,123906,120.3
,1999,1999,Prostate,28010,Kentucky,21,55-59 years,55-59,275,96796,284.1
,1999,1999,Prostate,28010,Kentucky,21,60-64 years ,60-64,383,79023,484.7
,1999,1999,Prostate,28010,Kentucky,21,65-69 years,65-69,567,66397,854
,1999,1999,Prostate,28010,Kentucky,21,70-74 years,70-74,521,56023,930
,1999,1999,Prostate,28010,Kentucky,21,75-79 years,75-79,431,41185,1046.5
,1999,1999,Prostate,28010,Kentucky,21,80-84 years,80-84,240,23324,1029
,1999,1999,Prostate,28010,Kentucky,21,85+ years,85+,178,15593,1141.5
,1999,1999,Prostate,28010,Louisiana,22,45-49 years,45-49,55,150441,36.6
,1999,1999,Prostate,28010,Louisiana,22,50-54 years,50-54,159,126616,125.6
,1999,1999,Prostate,28010,Louisiana,22,55-59 years,55-59,273,97228,280.8
,1999,1999,Prostate,28010,Louisiana,22,60-64 years ,60-64,452,79224,570.5
,1999,1999,Prostate,28010,Louisiana,22,65-69 years,65-69,624,66699,935.5
,1999,1999,Prostate,28010,Louisiana,22,70-74 years,70-74,610,58155,1048.9
,1999,1999,Prostate,28010,Louisiana,22,75-79 years,75-79,424,42370,1000.7
,1999,1999,Prostate,28010,Louisiana,22,80-84 years,80-84,245,23757,1031.3
,1999,1999,Prostate,28010,Louisiana,22,85+ years,85+,164,15996,1025.3
,1999,1999,Prostate,28010,Maine,23,50-54 years,50-54,43,43342,99.2
,1999,1999,Prostate,28010,Maine,23,55-59 years,55-59,97,32417,299.2
,1999,1999,Prostate,28010,Maine,23,60-64 years ,60-64,129,26128,493.7
,1999,1999,Prostate,28010,Maine,23,65-69 years,65-69,221,23385,945.1
,1999,1999,Prostate,28010,Maine,23,70-74 years,70-74,209,20413,1023.9
,1999,1999,Prostate,28010,Maine,23,75-79 years,75-79,190,15504,1225.5
,1999,1999,Prostate,28010,Maine,23,80-84 years,80-84,78,9374,832.1
,1999,1999,Prostate,28010,Maine,23,85+ years,85+,54,6227,867.2
,1999,1999,Prostate,28010,Maryland,24,40-44 years,40-44,29,215032,13.5
,1999,1999,Prostate,28010,Maryland,24,45-49 years,45-49,96,187319,51.2
,1999,1999,Prostate,28010,Maryland,24,50-54 years,50-54,265,165550,160.1
,1999,1999,Prostate,28010,Maryland,24,55-59 years,55-59,477,124990,381.6
,1999,1999,Prostate,28010,Maryland,24,60-64 years ,60-64,650,94764,685.9
,1999,1999,Prostate,28010,Maryland,24,65-69 years,65-69,792,77182,1026.1
,1999,1999,Prostate,28010,Maryland,24,70-74 years,70-74,746,66070,1129.1
,1999,1999,Prostate,28010,Maryland,24,75-79 years,75-79,559,50863,1099
,1999,1999,Prostate,28010,Maryland,24,80-84 years,80-84,283,29275,966.7
,1999,1999,Prostate,28010,Maryland,24,85+ years,85+,178,18110,982.9
,1999,1999,Prostate,28010,Massachusetts,25,45-49 years,45-49,97,220385,44
,1999,1999,Prostate,28010,Massachusetts,25,50-54 years,50-54,308,192303,160.2
,1999,1999,Prostate,28010,Massachusetts,25,55-59 years,55-59,571,143768,397.2
,1999,1999,Prostate,28010,Massachusetts,25,60-64 years ,60-64,739,110866,666.6
,1999,1999,Prostate,28010,Massachusetts,25,65-69 years,65-69,1012,99151,1020.7
,1999,1999,Prostate,28010,Massachusetts,25,70-74 years,70-74,988,91538,1079.3
,1999,1999,Prostate,28010,Massachusetts,25,75-79 years,75-79,697,72875,956.4
,1999,1999,Prostate,28010,Massachusetts,25,80-84 years,80-84,343,45481,754.2
,1999,1999,Prostate,28010,Massachusetts,25,85+ years,85+,235,30087,781.1
,1999,1999,Prostate,28010,Michigan,26,40-44 years,40-44,35,399617,8.8
,1999,1999,Prostate,28010,Michigan,26,45-49 years,45-49,174,356426,48.8
,1999,1999,Prostate,28010,Michigan,26,50-54 years,50-54,507,299781,169.1
,1999,1999,Prostate,28010,Michigan,26,55-59 years,55-59,862,231980,371.6
,1999,1999,Prostate,28010,Michigan,26,60-64 years ,60-64,1284,179918,713.7
,1999,1999,Prostate,28010,Michigan,26,65-69 years,65-69,1617,151468,1067.6
,1999,1999,Prostate,28010,Michigan,26,70-74 years,70-74,1822,139494,1306.1
,1999,1999,Prostate,28010,Michigan,26,75-79 years,75-79,1393,104984,1326.9
,1999,1999,Prostate,28010,Michigan,26,80-84 years,80-84,673,62095,1083.8
,1999,1999,Prostate,28010,Michigan,26,85+ years,85+,390,39713,982
,1999,1999,Prostate,28010,Minnesota,27,45-49 years,45-49,51,179209,28.5
,1999,1999,Prostate,28010,Minnesota,27,50-54 years,50-54,173,143798,120.3
,1999,1999,Prostate,28010,Minnesota,27,55-59 years,55-59,344,109054,315.4
,1999,1999,Prostate,28010,Minnesota,27,60-64 years ,60-64,524,85341,614
,1999,1999,Prostate,28010,Minnesota,27,65-69 years,65-69,705,72297,975.1
,1999,1999,Prostate,28010,Minnesota,27,70-74 years,70-74,718,64272,1117.1
,1999,1999,Prostate,28010,Minnesota,27,75-79 years,75-79,593,51233,1157.5
,1999,1999,Prostate,28010,Minnesota,27,80-84 years,80-84,335,33044,1013.8
,1999,1999,Prostate,28010,Minnesota,27,85+ years,85+,179,23864,750.1
,1999,1999,Prostate,28010,Missouri,29,45-49 years,45-49,63,189065,33.3
,1999,1999,Prostate,28010,Missouri,29,50-54 years,50-54,226,162597,139
,1999,1999,Prostate,28010,Missouri,29,55-59 years,55-59,429,131392,326.5
,1999,1999,Prostate,28010,Missouri,29,60-64 years ,60-64,606,107867,561.8
,1999,1999,Prostate,28010,Missouri,29,65-69 years,65-69,798,94827,841.5
,1999,1999,Prostate,28010,Missouri,29,70-74 years,70-74,796,83067,958.3
,1999,1999,Prostate,28010,Missouri,29,75-79 years,75-79,528,63605,830.1
,1999,1999,Prostate,28010,Missouri,29,80-84 years,80-84,221,37690,586.4
,1999,1999,Prostate,28010,Missouri,29,85+ years,85+,173,26530,652.1
,1999,1999,Prostate,28010,Montana,30,50-54 years,50-54,37,30097,122.9
,1999,1999,Prostate,28010,Montana,30,55-59 years,55-59,84,23155,362.8
,1999,1999,Prostate,28010,Montana,30,60-64 years ,60-64,107,18649,573.8
,1999,1999,Prostate,28010,Montana,30,65-69 years,65-69,173,15713,1101
,1999,1999,Prostate,28010,Montana,30,70-74 years,70-74,164,13923,1177.9
,1999,1999,Prostate,28010,Montana,30,75-79 years,75-79,122,10882,1121.1
,1999,1999,Prostate,28010,Montana,30,80-84 years,80-84,57,7054,808.1
,1999,1999,Prostate,28010,Montana,30,85+ years,85+,43,4718,911.4
,1999,1999,Prostate,28010,Nebraska,31,50-54 years,50-54,65,49280,131.9
,1999,1999,Prostate,28010,Nebraska,31,55-59 years,55-59,132,37380,353.1
,1999,1999,Prostate,28010,Nebraska,31,60-64 years ,60-64,179,31007,577.3
,1999,1999,Prostate,28010,Nebraska,31,65-69 years,65-69,302,27908,1082.1
,1999,1999,Prostate,28010,Nebraska,31,70-74 years,70-74,286,25474,1122.7
,1999,1999,Prostate,28010,Nebraska,31,75-79 years,75-79,192,19999,960
,1999,1999,Prostate,28010,Nebraska,31,80-84 years,80-84,153,12641,1210.3
,1999,1999,Prostate,28010,Nebraska,31,85+ years,85+,78,9399,829.9
,1999,1999,Prostate,28010,Nevada,32,45-49 years,45-49,20,68172,29.3
,1999,1999,Prostate,28010,Nevada,32,50-54 years,50-54,53,61309,86.4
,1999,1999,Prostate,28010,Nevada,32,55-59 years,55-59,134,50120,267.4
,1999,1999,Prostate,28010,Nevada,32,60-64 years ,60-64,194,41367,469
,1999,1999,Prostate,28010,Nevada,32,65-69 years,65-69,225,35298,637.4
,1999,1999,Prostate,28010,Nevada,32,70-74 years,70-74,151,28732,525.5
,1999,1999,Prostate,28010,Nevada,32,75-79 years,75-79,108,19917,542.3
,1999,1999,Prostate,28010,Nevada,32,80-84 years,80-84,56,10150,551.7
,1999,1999,Prostate,28010,Nevada,32,85+ years,85+,43,5362,801.9
,1999,1999,Prostate,28010,New Hampshire,33,50-54 years,50-54,59,40879,144.3
,1999,1999,Prostate,28010,New Hampshire,33,55-59 years,55-59,101,29972,337
,1999,1999,Prostate,28010,New Hampshire,33,60-64 years ,60-64,126,22478,560.5
,1999,1999,Prostate,28010,New Hampshire,33,65-69 years,65-69,147,19639,748.5
,1999,1999,Prostate,28010,New Hampshire,33,70-74 years,70-74,186,16541,1124.5
,1999,1999,Prostate,28010,New Hampshire,33,75-79 years,75-79,115,12573,914.7
,1999,1999,Prostate,28010,New Hampshire,33,80-84 years,80-84,61,7557,807.2
,1999,1999,Prostate,28010,New Hampshire,33,85+ years,85+,31,4869,636.7
,1999,1999,Prostate,28010,New Jersey,34,40-44 years,40-44,27,343088,7.9
,1999,1999,Prostate,28010,New Jersey,34,45-49 years,45-49,104,291544,35.7
,1999,1999,Prostate,28010,New Jersey,34,50-54 years,50-54,374,256150,146
,1999,1999,Prostate,28010,New Jersey,34,55-59 years,55-59,699,197560,353.8
,1999,1999,Prostate,28010,New Jersey,34,60-64 years ,60-64,1043,154981,673
,1999,1999,Prostate,28010,New Jersey,34,65-69 years,65-69,1425,133493,1067.5
,1999,1999,Prostate,28010,New Jersey,34,70-74 years,70-74,1513,121915,1241
,1999,1999,Prostate,28010,New Jersey,34,75-79 years,75-79,1186,94572,1254.1
,1999,1999,Prostate,28010,New Jersey,34,80-84 years,80-84,602,57365,1049.4
,1999,1999,Prostate,28010,New Jersey,34,85+ years,85+,323,37495,861.4
,1999,1999,Prostate,28010,New Mexico,35,45-49 years,45-49,18,62678,28.7
,1999,1999,Prostate,28010,New Mexico,35,50-54 years,50-54,50,53783,93
,1999,1999,Prostate,28010,New Mexico,35,55-59 years,55-59,110,40552,271.3
,1999,1999,Prostate,28010,New Mexico,35,60-64 years ,60-64,196,33873,578.6
,1999,1999,Prostate,28010,New Mexico,35,65-69 years,65-69,277,29756,930.9
,1999,1999,Prostate,28010,New Mexico,35,70-74 years,70-74,265,24746,1070.9
,1999,1999,Prostate,28010,New Mexico,35,75-79 years,75-79,186,18541,1003.2
,1999,1999,Prostate,28010,New Mexico,35,80-84 years,80-84,102,11104,918.6
,1999,1999,Prostate,28010,New Mexico,35,85+ years,85+,60,7307,821.1
,1999,1999,Prostate,28010,New York,36,40-44 years,40-44,52,730160,7.1
,1999,1999,Prostate,28010,New York,36,45-49 years,45-49,229,638554,35.9
,1999,1999,Prostate,28010,New York,36,50-54 years,50-54,804,559297,143.8
,1999,1999,Prostate,28010,New York,36,55-59 years,55-59,1473,427852,344.3
,1999,1999,Prostate,28010,New York,36,60-64 years ,60-64,2119,348089,608.8
,1999,1999,Prostate,28010,New York,36,65-69 years,65-69,2678,297724,899.5
,1999,1999,Prostate,28010,New York,36,70-74 years,70-74,2761,264928,1042.2
,1999,1999,Prostate,28010,New York,36,75-79 years,75-79,1999,202573,986.8
,1999,1999,Prostate,28010,New York,36,80-84 years,80-84,1038,122092,850.2
,1999,1999,Prostate,28010,New York,36,85+ years,85+,758,84791,894
,1999,1999,Prostate,28010,North Carolina,37,40-44 years,40-44,18,306605,5.9
,1999,1999,Prostate,28010,North Carolina,37,45-49 years,45-49,93,271891,34.2
,1999,1999,Prostate,28010,North Carolina,37,50-54 years,50-54,344,241436,142.5
,1999,1999,Prostate,28010,North Carolina,37,55-59 years,55-59,564,186253,302.8
,1999,1999,Prostate,28010,North Carolina,37,60-64 years ,60-64,843,151045,558.1
,1999,1999,Prostate,28010,North Carolina,37,65-69 years,65-69,1059,127922,827.8
,1999,1999,Prostate,28010,North Carolina,37,70-74 years,70-74,1091,107691,1013.1
,1999,1999,Prostate,28010,North Carolina,37,75-79 years,75-79,737,78572,938
,1999,1999,Prostate,28010,North Carolina,37,80-84 years,80-84,327,43427,753
,1999,1999,Prostate,28010,North Carolina,37,85+ years,85+,168,26504,633.9
,1999,1999,Prostate,28010,North Dakota,38,50-54 years,50-54,27,18695,144.4
,1999,1999,Prostate,28010,North Dakota,38,55-59 years,55-59,52,14226,365.5
,1999,1999,Prostate,28010,North Dakota,38,60-64 years ,60-64,73,12035,606.6
,1999,1999,Prostate,28010,North Dakota,38,65-69 years,65-69,121,10940,1106
,1999,1999,Prostate,28010,North Dakota,38,70-74 years,70-74,156,10491,1487
,1999,1999,Prostate,28010,North Dakota,38,75-79 years,75-79,116,8188,1416.7
,1999,1999,Prostate,28010,North Dakota,38,80-84 years,80-84,47,5676,828
,1999,1999,Prostate,28010,North Dakota,38,85+ years,85+,34,4513,753.4
,1999,1999,Prostate,28010,Ohio,39,40-44 years,40-44,21,453085,4.6
,1999,1999,Prostate,28010,Ohio,39,45-49 years,45-49,127,403947,31.4
,1999,1999,Prostate,28010,Ohio,39,50-54 years,50-54,396,343456,115.3
,1999,1999,Prostate,28010,Ohio,39,55-59 years,55-59,784,262483,298.7
,1999,1999,Prostate,28010,Ohio,39,60-64 years ,60-64,1175,214901,546.8
,1999,1999,Prostate,28010,Ohio,39,65-69 years,65-69,1519,184581,822.9
,1999,1999,Prostate,28010,Ohio,39,70-74 years,70-74,1697,169694,1000
,1999,1999,Prostate,28010,Ohio,39,75-79 years,75-79,1265,128885,981.5
,1999,1999,Prostate,28010,Ohio,39,80-84 years,80-84,664,75946,874.3
,1999,1999,Prostate,28010,Ohio,39,85+ years,85+,409,46982,870.5
,1999,1999,Prostate,28010,Oklahoma,40,45-49 years,45-49,43,116467,36.9
,1999,1999,Prostate,28010,Oklahoma,40,50-54 years,50-54,98,100923,97.1
,1999,1999,Prostate,28010,Oklahoma,40,55-59 years,55-59,191,81792,233.5
,1999,1999,Prostate,28010,Oklahoma,40,60-64 years ,60-64,321,67896,472.8
,1999,1999,Prostate,28010,Oklahoma,40,65-69 years,65-69,471,59187,795.8
,1999,1999,Prostate,28010,Oklahoma,40,70-74 years,70-74,453,50286,900.8
,1999,1999,Prostate,28010,Oklahoma,40,75-79 years,75-79,372,38785,959.1
,1999,1999,Prostate,28010,Oklahoma,40,80-84 years,80-84,172,22421,767.1
,1999,1999,Prostate,28010,Oklahoma,40,85+ years,85+,149,15754,945.8
,1999,1999,Prostate,28010,Oregon,41,45-49 years,45-49,43,133637,32.2
,1999,1999,Prostate,28010,Oregon,41,50-54 years,50-54,142,112518,126.2
,1999,1999,Prostate,28010,Oregon,41,55-59 years,55-59,261,82406,316.7
,1999,1999,Prostate,28010,Oregon,41,60-64 years ,60-64,411,62875,653.7
,1999,1999,Prostate,28010,Oregon,41,65-69 years,65-69,553,53212,1039.2
,1999,1999,Prostate,28010,Oregon,41,70-74 years,70-74,595,48514,1226.5
,1999,1999,Prostate,28010,Oregon,41,75-79 years,75-79,444,40271,1102.5
,1999,1999,Prostate,28010,Oregon,41,80-84 years,80-84,246,25745,955.5
,1999,1999,Prostate,28010,Oregon,41,85+ years,85+,172,17635,975.3
,1999,1999,Prostate,28010,Pennsylvania,42,40-44 years,40-44,48,490284,9.8
