income_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
"$15,000 to < $25,000",Colorado,8,84,57,141,65.2346780326085,56.7897104062952,73.6796456589218,64.9516440564622,51.8668941563407,78.0363939565838
"$25,000 to < $35,000",Colorado,8,83,42,125,65.4582727056868,56.2649321974539,74.6516132139197,64.5085471293266,49.7595715742253,79.2575226844279
"$35,000 to < $50,000",Colorado,8,130,63,193,66.2890776303529,58.5843144301097,73.9938408305962,65.9539475057652,55.3314876868933,76.576407324637
"$50,000 to < $75,000",Colorado,8,208,76,284,72.8864637136642,66.8383801705548,78.9345472567737,74.7018491326646,65.8419225958528,83.5617756694764
"$75,000 to < $100,000",Colorado,8,166,70,236,71.2419570188227,64.6545866588313,77.829327378814,70.5857721704007,60.4836296211315,80.6879147196698
"$100,000 to < $200,000",Colorado,8,275,83,358,75.5703159343905,69.9219688700507,81.2186629987303,78.5544360731355,70.2822099740439,86.8266621722272
"$200,000 or more",Colorado,8,115,12,127,88.9583766307794,82.411883838841,95.5048694227178,88.1917727147816,80.4288273330287,95.9547180965345
"Don’t know/Not sure/Missing",Colorado,8,221,83,304,69.6026277633862,61.5582215326031,77.6470339941694,68.262009640346,55.3375041665391,81.1865151141529
"Less than $15,000",Connecticut,9,57,26,83,65.1524565277834,50.384369122934,79.9205439326327,67.6999211570278,49.1505739864553,86.2492683276003
"$15,000 to < $25,000",Connecticut,9,117,40,157,84.0812162160162,77.2014762055907,90.9609562264417,83.8349236291978,72.5569255824002,95.1129216759954
"$25,000 to < $35,000",Connecticut,9,117,32,149,84.9260832557915,77.8028364938262,92.0493300177568,84.1712555823478,72.3562410423063,95.9862701223892
"$35,000 to < $50,000",Connecticut,9,121,34,155,81.8880229458158,72.8358063563118,90.9402395353197,78.3845648523911,61.2846097330277,95.4845199717546
"$50,000 to < $75,000",Connecticut,9,199,52,251,78.3859673038254,71.5941141405477,85.1778204671031,77.0720577429155,67.5679131026773,86.5762023831536
"$75,000 to < $100,000",Connecticut,9,212,42,254,84.4733151470665,78.0536182348828,90.8930120592502,83.5871014678229,72.6794260735689,94.4947768620769
"$100,000 to < $200,000",Connecticut,9,370,72,442,82.0098592922661,76.6367082259484,87.3830103585839,84.1571979617826,77.0130416004383,91.301354323127
"$200,000 or more",Connecticut,9,195,33,228,86.0214092249878,80.4227041481569,91.6201143018187,86.1077347052036,77.4087152655857,94.8067541448215
"Don’t know/Not sure/Missing",Connecticut,9,391,85,476,80.7118374467824,74.7420267420339,86.681648151531,82.1972070325171,72.553052898205,91.8413611668293
"Less than $15,000",Delaware,10,37,10,47,82.5416169798266,69.0725327076058,96.0107012520474,81.3172562005268,60.265154699983,100
