"Notes","Year","Year Code","Leading Cancer Sites","Leading Cancer Sites Code","States and Puerto Rico","States and Puerto Rico Code",Count,Population,Crude Rate
,"2002","2002","Colon and Rectum","21041-21052","Vermont","50",351,615442,57.0
,"2002","2002","Colon and Rectum","21041-21052","Virginia","51",3335,7286873,45.8
,"2002","2002","Colon and Rectum","21041-21052","Washington","53",2768,6052349,45.7
,"2002","2002","Colon and Rectum","21041-21052","West Virginia","54",1368,1805414,75.8
,"2002","2002","Colon and Rectum","21041-21052","Wisconsin","55",3049,5445162,56.0
,"2002","2002","Colon and Rectum","21041-21052","Wyoming","56",226,500017,45.2
,"2002","2002","Colon and Rectum","21041-21052","Puerto Rico","72",Missing,Missing,Missing
,"2003","2003","Colon and Rectum","21041-21052","Alabama","01",2376,4503491,52.8
,"2003","2003","Colon and Rectum","21041-21052","Alaska","02",226,648414,34.9
,"2003","2003","Colon and Rectum","21041-21052","Arizona","04",2532,5510364,45.9
,"2003","2003","Colon and Rectum","21041-21052","Arkansas","05",1517,2724816,55.7
,"2003","2003","Colon and Rectum","21041-21052","California","06",14767,35253159,41.9
,"2003","2003","Colon and Rectum","21041-21052","Colorado","08",1757,4528732,38.8
,"2003","2003","Colon and Rectum","21041-21052","Connecticut","09",2091,3484336,60.0
,"2003","2003","Colon and Rectum","21041-21052","Delaware","10",463,818003,56.6
,"2003","2003","Colon and Rectum","21041-21052","District of Columbia","11",356,568502,62.6
,"2003","2003","Colon and Rectum","21041-21052","Florida","12",11212,17004085,65.9
,"2003","2003","Colon and Rectum","21041-21052","Georgia","13",3727,8622793,43.2
,"2003","2003","Colon and Rectum","21041-21052","Hawaii","15",701,1251154,56.0
,"2003","2003","Colon and Rectum","21041-21052","Idaho","16",594,1363380,43.6
,"2003","2003","Colon and Rectum","21041-21052","Illinois","17",7101,12556006,56.6
,"2003","2003","Colon and Rectum","21041-21052","Indiana","18",3522,6196638,56.8
,"2003","2003","Colon and Rectum","21041-21052","Iowa","19",1963,2941999,66.7
,"2003","2003","Colon and Rectum","21041-21052","Kansas","20",1552,2723004,57.0
,"2003","2003","Colon and Rectum","21041-21052","Kentucky","21",2560,4117170,62.2
,"2003","2003","Colon and Rectum","21041-21052","Louisiana","22",2525,4521042,55.8
,"2003","2003","Colon and Rectum","21041-21052","Maine","23",863,1306513,66.1
,"2003","2003","Colon and Rectum","21041-21052","Maryland","24",2933,5496269,53.4
,"2003","2003","Colon and Rectum","21041-21052","Massachusetts","25",3891,6422565,60.6
,"2003","2003","Colon and Rectum","21041-21052","Michigan","26",5514,10041152,54.9
,"2003","2003","Colon and Rectum","21041-21052","Minnesota","27",2505,5053572,49.6
,"2003","2003","Colon and Rectum","21041-21052","Mississippi","28",1582,2868312,55.2
,"2003","2003","Colon and Rectum","21041-21052","Missouri","29",3391,5709403,59.4
,"2003","2003","Colon and Rectum","21041-21052","Montana","30",486,919630,52.8
,"2003","2003","Colon and Rectum","21041-21052","Nebraska","31",1077,1738643,61.9
,"2003","2003","Colon and Rectum","21041-21052","Nevada","32",1048,2248850,46.6
,"2003","2003","Colon and Rectum","21041-21052","New Hampshire","33",695,1279840,54.3
,"2003","2003","Colon and Rectum","21041-21052","New Jersey","34",5261,8601402,61.2
,"2003","2003","Colon and Rectum","21041-21052","New Mexico","35",823,1877574,43.8
,"2003","2003","Colon and Rectum","21041-21052","New York","36",11045,19175939,57.6
,"2003","2003","Colon and Rectum","21041-21052","North Carolina","37",4164,8422501,49.4
,"2003","2003","Colon and Rectum","21041-21052","North Dakota","38",431,638817,67.5
,"2003","2003","Colon and Rectum","21041-21052","Ohio","39",6603,11434788,57.7
