income_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
"$15,000 to < $25,000",Kansas,20,246,153,399,57.4761150619542,50.1001423529894,64.8520877709189,46.2428598498953,35.4024234161624,57.0832962836282
"$25,000 to < $35,000",Kansas,20,330,188,518,57.4858635979705,51.3659390266445,63.6057881692966,43.3581217361322,33.3295726378993,53.3866708343651
"$35,000 to < $50,000",Kansas,20,486,211,697,62.7320285471126,57.1063252096845,68.3577318845408,51.4355624948967,40.0305309262066,62.8405940635868
"$50,000 to < $75,000",Kansas,20,684,298,982,66.486238708554,62.5395064796145,70.4329709374935,54.3720859782408,46.6929711674356,62.0512007890459
"$75,000 to < $100,000",Kansas,20,548,211,759,69.8256026832325,65.555309709576,74.095895656889,60.4305061562623,51.7725599156156,69.0884523969091
"$100,000 to < $200,000",Kansas,20,747,301,1048,66.9935444516071,63.1395925022979,70.8474964009163,63.0954027841763,55.2853762616048,70.9054293067479
"$200,000 or more",Kansas,20,175,63,238,71.5982294908051,64.6054111279782,78.5910478536319,64.9473890748381,51.61000628765,78.2847718620262
"Don’t know/Not sure/Missing",Kansas,20,501,208,709,65.0455447845762,60.052682053408,70.0384075157444,53.9989626055849,40.8396281474343,67.1582970637355
"Less than $15,000",Kentucky,21,96,57,153,57.7063721948185,46.059408409087,69.3533359805501,47.0794881834212,37.0339433648724,57.12503300197
"$15,000 to < $25,000",Kentucky,21,136,67,203,58.5326738344726,49.056533536004,68.0088141329411,45.3856320903842,34.0585416561141,56.7127225246544
"$25,000 to < $35,000",Kentucky,21,164,59,223,67.8120877483834,58.6836122740591,76.9405632227078,58.9911141170006,39.3684778544941,78.613750379507
"$35,000 to < $50,000",Kentucky,21,164,58,222,70.8868835000815,61.8128582872528,79.9609087129102,65.3938619314157,49.8153651616183,80.9723587012131
"$50,000 to < $75,000",Kentucky,21,207,61,268,75.2281555946178,67.1047078167899,83.3516033724456,65.2871841425775,49.3280448525171,81.2463234326379
"$75,000 to < $100,000",Kentucky,21,134,54,188,74.1658746226051,65.7497705815646,82.5819786636456,68.092859975299,49.7668132236357,86.4189067269623
"$100,000 to < $200,000",Kentucky,21,183,84,267,67.2086480298043,59.716530643116,74.7007654164926,61.8254180660261,51.4463407368424,72.2044953952097
"$200,000 or more",Kentucky,21,41,30,71,61.9607382763201,48.7635477132475,75.1579288393927,56.1856460018983,39.1880761187962,73.1832158850004
"Don’t know/Not sure/Missing",Kentucky,21,309,167,476,64.6588187653706,58.565714308943,70.7519232217983,59.4405416081096,46.6216451838271,72.2594380323922
"Less than $15,000",Louisiana,22,148,80,228,68.4997575936721,60.8658076749674,76.1337075123768,61.1306000196449,50.4636966715492,71.7975033677406
"$15,000 to < $25,000",Louisiana,22,209,87,296,64.2840717721821,56.838256765499,71.7298867788651,52.1391419574978,41.6293217778354,62.6489621371603
"$25,000 to < $35,000",Louisiana,22,226,100,326,70.7302098550512,65.0917562240789,76.3686634860235,59.7675933287066,48.9587029603368,70.5764836970764
"$35,000 to < $50,000",Louisiana,22,216,71,287,70.1884273683639,62.6014364370553,77.7754182996725,55.3839490573478,44.7323665407346,66.035531573961
"$50,000 to < $75,000",Louisiana,22,280,96,376,76.9220824980303,71.918959294261,81.9252057017995,69.6135013621174,56.7302938363456,82.4967088878892
"$75,000 to < $100,000",Louisiana,22,233,78,311,70.7011352599421,64.1921049328395,77.2101655870446,59.8071323472349,46.5190841253641,73.0951805691056
"$100,000 to < $200,000",Louisiana,22,305,126,431,67.2694471055803,61.6088476595765,72.9300465515841,61.3859556418367,52.7445909508051,70.0273203328683
"$200,000 or more",Louisiana,22,120,39,159,77.1624510987638,69.6239597979682,84.7009423995594,63.9863916619836,51.488129601721,76.4846537222463
"Don’t know/Not sure/Missing",Louisiana,22,274,125,399,64.1259060859745,58.1378178292351,70.113994342714,55.6107870148556,41.8243838182251,69.3971902114861
"Less than $15,000",Maine,23,174,90,264,66.4524497201014,59.8766516080636,73.0282478321392,65.8522325331166,51.2002591003616,80.5042059658716
"$15,000 to < $25,000",Maine,23,383,139,522,72.2470252217638,66.5915936928149,77.9024567507126,65.7430617662038,55.5937389554635,75.8923845769441
"$25,000 to < $35,000",Maine,23,467,158,625,72.6855449975432,66.1525345057758,79.2185554893106,53.7194079823036,46.3379445767228,61.1008713878845
"$35,000 to < $50,000",Maine,23,533,172,705,73.6869119397626,69.5266858940723,77.8471379854529,60.1244106214718,50.5936945697602,69.6551266731834
"$50,000 to < $75,000",Maine,23,743,214,957,73.8744232657619,69.712464784094,78.0363817474298,59.0869152705501,50.2679217490336,67.9059087920666
"$75,000 to < $100,000",Maine,23,559,154,713,74.4212723024737,70.063237658481,78.7793069464664,63.8168232899516,54.6963987518246,72.9372478280787
"$100,000 to < $200,000",Maine,23,669,250,919,70.5261831798229,66.4807029959538,74.571663363692,61.5510875448915,54.5742278150911,68.5279472746919
"$200,000 or more",Maine,23,177,47,224,77.6186140283784,71.0482693744172,84.1889586823396,71.9732125936962,57.0297763803343,86.916648807058
"Don’t know/Not sure/Missing",Maine,23,820,298,1118,69.6436669276224,65.9067524011571,73.3805814540877,56.0409490335783,47.4663555413213,64.6155425258352
"Less than $15,000",Maryland,24,181,121,302,56.3235805746177,47.1507684528908,65.4963926963445,46.6137934240141,29.8991151834894,63.3284716645388
"$15,000 to < $25,000",Maryland,24,344,189,533,62.5881102211694,56.0048786353683,69.1713418069705,51.1584455600958,38.1487565007064,64.1681346194852
"$25,000 to < $35,000",Maryland,24,429,185,614,70.3081994522628,64.422130883644,76.1942680208816,58.0954117540375,43.8353159028456,72.3555076052295
"$35,000 to < $50,000",Maryland,24,499,206,705,66.5776128185378,60.3805042835418,72.7747213535338,53.5380090978903,43.4396492171054,63.6363689786752
"$50,000 to < $75,000",Maryland,24,760,245,1005,73.5124846163091,69.121689410182,77.9032798224362,64.7368153106854,54.2759272895049,75.1977033318659
"$75,000 to < $100,000",Maryland,24,734,241,975,74.813510863372,70.7037879382577,78.9232337884863,64.4158601717205,54.3008919935689,74.5308283498722
"$100,000 to < $200,000",Maryland,24,1491,483,1974,74.6692058403266,71.787877990115,77.5505336905381,68.0896299826796,61.7715435402924,74.4077164250668
"$200,000 or more",Maryland,24,609,167,776,76.3192496614645,71.9024259369501,80.7360733859789,73.9142057144302,65.2771484403068,82.5512629885536
"Don’t know/Not sure/Missing",Maryland,24,1010,356,1366,69.9192800663534,65.9987407695309,73.8398193631758,56.9153166918874,48.4274566629782,65.4031767207965
"Less than $15,000",Massachusetts,25,118,85,203,54.9616102912084,45.6549848868634,64.2682356955533,45.8734443799233,31.4471195987824,60.2997691610643
"$15,000 to < $25,000",Massachusetts,25,161,97,258,56.4999519044563,47.3851289698698,65.6147748390428,50.7716341745858,30.1693999146254,71.3738684345462
"$25,000 to < $35,000",Massachusetts,25,249,109,358,68.2464078088039,61.5362962916888,74.9565193259189,57.5145767158158,41.5071204181208,73.5220330135107
"$35,000 to < $50,000",Massachusetts,25,305,121,426,68.0842608319365,62.1849638430536,73.9835578208194,52.8688588638806,44.4280174360911,61.3097002916701
"$50,000 to < $75,000",Massachusetts,25,460,142,602,75.4284930955912,70.5795165966531,80.2774695945294,67.2576907292468,55.4568135280265,79.0585679304672
"$75,000 to < $100,000",Massachusetts,25,441,117,558,77.7809442371726,73.0921877716448,82.4697007027004,68.6287090830809,59.5625608026325,77.6948573635293
"$100,000 to < $200,000",Massachusetts,25,842,258,1100,75.747119958375,72.3644751263951,79.1297647903549,66.3143652493538,59.2479173877947,73.3808131109129
"$200,000 or more",Massachusetts,25,400,165,565,70.8418682293309,65.8690189736437,75.8147174850181,68.023289588222,59.0755240066202,76.9710551698238
"Don’t know/Not sure/Missing",Massachusetts,25,804,324,1128,68.273438054326,64.0641353750647,72.4827407335874,56.9001675323601,49.449603440254,64.3507316244663
"Less than $15,000",Michigan,26,178,92,270,60.6480334533399,52.8006994566388,68.4953674500411,53.6651973791889,37.0206774754334,70.3097172829444
"$15,000 to < $25,000",Michigan,26,286,111,397,68.3641600292212,62.4956839067425,74.2326361516998,54.6915189560158,38.9153782387415,70.4676596732901
"$25,000 to < $35,000",Michigan,26,369,136,505,69.7607992349993,64.9441881431989,74.5774103267996,60.0298634979124,47.6501924635307,72.4095345322941
"$35,000 to < $50,000",Michigan,26,426,142,568,71.2877385923234,66.4910655919852,76.0844115926617,51.4947614662547,40.8609015778687,62.1286213546406
"$50,000 to < $75,000",Michigan,26,591,159,750,74.8774803579982,70.8792913615923,78.8756693544042,61.2744183757379,52.4802495017426,70.0685872497332
"$75,000 to < $100,000",Michigan,26,492,127,619,76.9297481624012,72.9829439473128,80.8765523774897,63.7857958464551,56.2999485851852,71.2716431077251
"$100,000 to < $200,000",Michigan,26,668,230,898,70.8459656635564,67.2678790100718,74.4240523170409,63.7604294266902,57.3951169308676,70.1257419225129
"$200,000 or more",Michigan,26,209,69,278,71.4029255686603,64.8791920345821,77.9266591027384,68.3076912446866,57.550901020478,79.0644814688953
"Don’t know/Not sure/Missing",Michigan,26,646,226,872,69.9762833583263,66.0199481701831,73.9326185464695,55.1897087975958,46.2808445308736,64.098573064318
"Less than $15,000",Minnesota,27,163,115,278,52.6571138940736,44.3765150433597,60.9377127447875,44.5626337690198,30.6552482186085,58.4700193194311
"$15,000 to < $25,000",Minnesota,27,316,146,462,68.0260470889377,62.0781941261753,73.9739000517001,54.9617358068427,42.5596646568469,67.3638069568385
"$25,000 to < $35,000",Minnesota,27,457,185,642,67.8795677124755,62.8498480030935,72.9092874218575,54.2742467491752,44.7904397741636,63.7580537241868
"$35,000 to < $50,000",Minnesota,27,644,248,892,69.3520426001192,65.1074913638574,73.5965938363809,54.6615460883618,45.8961998709962,63.4268923057274
"$50,000 to < $75,000",Minnesota,27,989,342,1331,72.0625447678432,68.6837997664172,75.4412897692693,58.3005919008785,51.3441075170712,65.2570762846857
"$75,000 to < $100,000",Minnesota,27,919,275,1194,72.4934777195503,68.9098886752146,76.077066763886,59.0536692594094,51.6219439251528,66.485394593666
"$100,000 to < $200,000",Minnesota,27,1381,529,1910,68.5003031387323,65.7274905218771,71.2731157555875,63.0711985830538,58.1238216178443,68.0185755482633
"$200,000 or more",Minnesota,27,463,184,647,66.8153544236187,62.0971743240723,71.5335345231652,63.5052258390385,54.6199169554526,72.3905347226245
"Don’t know/Not sure/Missing",Minnesota,27,893,290,1183,73.6178893939942,70.0001003722473,77.2356784157411,61.593080434608,53.2604443513182,69.9257165178978
"Less than $15,000",Mississippi,28,90,68,158,55.4527546275568,44.2572080938432,66.6483011612705,45.5544041851951,33.0691444253181,58.039663945072
"$15,000 to < $25,000",Mississippi,28,137,105,242,53.5944367024365,45.6665616677608,61.5223117371121,42.4541023294743,30.1576171468957,54.7505875120529
"$25,000 to < $35,000",Mississippi,28,159,79,238,64.7625167080077,57.3389162465806,72.1861171694348,54.9794264089647,41.6891349375327,68.2697178803967
"$35,000 to < $50,000",Mississippi,28,188,89,277,70.4006988090265,64.3378211590715,76.4635764589815,58.1367614072411,47.105474083839,69.1680487306432
