age_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
_70_75,Mississippi,28,280,83,363,76.7207232350334,70.6510284733169,82.7904179967499,.,.,.
_45_49,Missouri,29,137,306,443,30.0421161152703,24.4067040079247,35.6775282226159,.,.,.
_50_54,Missouri,29,264,246,510,51.1031512396278,45.1474652488355,57.05883723042,.,.,.
_55_59,Missouri,29,370,173,543,69.7689076883472,64.6512230181731,74.8865923585214,.,.,.
_60_64,Missouri,29,503,160,663,77.3939933838329,73.4723838692417,81.3156028984242,.,.,.
_65_69,Missouri,29,538,156,694,77.2846657252944,73.0917797154697,81.4775517351191,.,.,.
_70_75,Missouri,29,621,131,752,81.2298270435905,77.1706575419693,85.2889965452116,.,.,.
_45_49,Montana,30,86,304,390,23.4168345394983,18.4081115603206,28.4255575186759,.,.,.
_50_54,Montana,30,229,204,433,52.3848981878496,46.7874467080866,57.9823496676126,.,.,.
_55_59,Montana,30,335,140,475,70.5445743525948,65.448209352908,75.6409393522817,.,.,.
_60_64,Montana,30,471,188,659,72.1104535898066,67.8684970015067,76.3524101781066,.,.,.
_65_69,Montana,30,675,195,870,78.4926173826356,75.0843272215912,81.9009075436801,.,.,.
_70_75,Montana,30,763,167,930,81.8367651949391,78.6716286622722,85.0019017276061,.,.,.
_45_49,Nebraska,31,98,296,394,26.1542048097336,20.7223381428367,31.5860714766304,.,.,.
_50_54,Nebraska,31,228,256,484,48.1738000929655,42.6863484553659,53.6612517305652,.,.,.
_55_59,Nebraska,31,349,165,514,69.9794457684438,64.8383389704978,75.1205525663897,.,.,.
_60_64,Nebraska,31,490,184,674,72.3216715631267,67.9793849395824,76.6639581866711,.,.,.
_65_69,Nebraska,31,625,187,812,79.5805151019227,76.3853212965852,82.7757089072602,.,.,.
_70_75,Nebraska,31,761,171,932,83.5897846142065,80.8887055995541,86.2908636288588,.,.,.
_45_49,Nevada,32,44,124,168,23.1282383275813,14.6714848914553,31.5849917637072,.,.,.
_50_54,Nevada,32,131,116,247,52.8668955491907,44.0896562959332,61.6441348024481,.,.,.
_55_59,Nevada,32,163,72,235,66.2763867747515,57.4677169296776,75.0850566198254,.,.,.
_60_64,Nevada,32,199,89,288,67.9377480408219,60.0391961318005,75.8362999498433,.,.,.
_65_69,Nevada,32,223,70,293,74.8160522741024,66.9926080835927,82.6394964646121,.,.,.
_70_75,Nevada,32,284,61,345,76.4872322096062,68.8442988969541,84.1301655222583,.,.,.
_45_49,"New Hampshire",33,76,169,245,30.5155474030348,24.1203354134299,36.9107593926397,.,.,.
_50_54,"New Hampshire",33,235,130,365,61.077451032794,55.0647355174173,67.0901665481707,.,.,.
_55_59,"New Hampshire",33,418,106,524,78.0384405516268,73.9274488777372,82.1494322255163,.,.,.
_60_64,"New Hampshire",33,550,140,690,78.5347850087439,74.6845160422526,82.3850539752353,.,.,.
_65_69,"New Hampshire",33,655,137,792,82.3074947837052,78.8592198479645,85.7557697194458,.,.,.
_70_75,"New Hampshire",33,867,172,1039,84.1064578588851,81.5060360917221,86.7068796260481,.,.,.
_45_49,"New Jersey",34,147,352,499,27.1908114779452,22.4486424031574,31.9329805527329,.,.,.
_50_54,"New Jersey",34,315,267,582,55.7984109558043,50.661016883785,60.9358050278235,.,.,.
_55_59,"New Jersey",34,463,168,631,73.176836541422,68.0330960012268,78.3205770816173,.,.,.
_60_64,"New Jersey",34,554,169,723,72.1746745796033,66.0741875266333,78.2751616325734,.,.,.
_65_69,"New Jersey",34,542,131,673,79.5608076246116,75.37407803696,83.7475372122633,.,.,.
