"Notes","Year","Year Code","Leading Cancer Sites","Leading Cancer Sites Code","States and Puerto Rico","States and Puerto Rico Code",Count,Population,Crude Rate
,"2004","2004","Prostate","28010","New Mexico","35",1361,939070,144.9
,"2004","2004","Prostate","28010","New York","36",14266,9258040,154.1
,"2004","2004","Prostate","28010","North Carolina","37",6266,4177082,150.0
,"2004","2004","Prostate","28010","North Dakota","38",503,323697,155.4
,"2004","2004","Prostate","28010","Ohio","39",7833,5577840,140.4
,"2004","2004","Prostate","28010","Oklahoma","40",2375,1740562,136.5
,"2004","2004","Prostate","28010","Oregon","41",2701,1769086,152.7
,"2004","2004","Prostate","28010","Pennsylvania","42",9599,6019973,159.5
,"2004","2004","Prostate","28010","Rhode Island","44",804,518204,155.2
,"2004","2004","Prostate","28010","South Carolina","45",3448,2048616,168.3
,"2004","2004","Prostate","28010","South Dakota","46",720,383719,187.6
,"2004","2004","Prostate","28010","Tennessee","47",3384,2882878,117.4
,"2004","2004","Prostate","28010","Texas","48",12715,11115621,114.4
,"2004","2004","Prostate","28010","Utah","49",1565,1204831,129.9
,"2004","2004","Prostate","28010","Vermont","50",485,304840,159.1
,"2004","2004","Prostate","28010","Virginia","51",4783,3661265,130.6
,"2004","2004","Prostate","28010","Washington","53",4609,3070830,150.1
,"2004","2004","Prostate","28010","West Virginia","54",1265,889411,142.2
,"2004","2004","Prostate","28010","Wisconsin","55",4395,2731348,160.9
,"2004","2004","Prostate","28010","Wyoming","56",411,257600,159.5
,"2004","2004","Prostate","28010","Puerto Rico","72",Missing,Missing,Missing
,"2005","2005","Prostate","28010","Alabama","01",3352,2211403,151.6
,"2005","2005","Prostate","28010","Alaska","02",291,346026,84.1
,"2005","2005","Prostate","28010","Arizona","04",3762,2908266,129.4
,"2005","2005","Prostate","28010","Arkansas","05",2305,1362802,169.1
,"2005","2005","Prostate","28010","California","06",20771,17831713,116.5
,"2005","2005","Prostate","28010","Colorado","08",3061,2323650,131.7
,"2005","2005","Prostate","28010","Connecticut","09",2639,1704888,154.8
,"2005","2005","Prostate","28010","Delaware","10",686,409923,167.3
,"2005","2005","Prostate","28010","District of Columbia","11",424,267523,158.5
,"2005","2005","Prostate","28010","Florida","12",15289,8724088,175.3
,"2005","2005","Prostate","28010","Georgia","13",5609,4370659,128.3
,"2005","2005","Prostate","28010","Hawaii","15",850,647916,131.2
,"2005","2005","Prostate","28010","Idaho","16",1122,716258,156.6
,"2005","2005","Prostate","28010","Illinois","17",8391,6186072,135.6
,"2005","2005","Prostate","28010","Indiana","18",3959,3087135,128.2
,"2005","2005","Prostate","28010","Iowa","19",2175,1461435,148.8
,"2005","2005","Prostate","28010","Kansas","20",2013,1357341,148.3
,"2005","2005","Prostate","28010","Kentucky","21",2644,2053084,128.8
,"2005","2005","Prostate","28010","Louisiana","22",3004,2148195,139.8
,"2005","2005","Prostate","28010","Maine","23",1129,644683,175.1
,"2005","2005","Prostate","28010","Maryland","24",3696,2700618,136.9
,"2005","2005","Prostate","28010","Massachusetts","25",4912,3094280,158.7
,"2005","2005","Prostate","28010","Michigan","26",7779,4936817,157.6
,"2005","2005","Prostate","28010","Minnesota","27",4210,2540052,165.7
,"2005","2005","Prostate","28010","Mississippi","28",2171,1393628,155.8
,"2005","2005","Prostate","28010","Missouri","29",3816,2827430,135.0
,"2005","2005","Prostate","28010","Montana","30",897,470322,190.7
,"2005","2005","Prostate","28010","Nebraska","31",1345,872029,154.2
,"2005","2005","Prostate","28010","Nevada","32",1426,1233297,115.6
,"2005","2005","Prostate","28010","New Hampshire","33",963,640560,150.3
,"2005","2005","Prostate","28010","New Jersey","34",6652,4208429,158.1
,"2005","2005","Prostate","28010","New Mexico","35",1307,953754,137.0
,"2005","2005","Prostate","28010","New York","36",14496,9245143,156.8
,"2005","2005","Prostate","28010","North Carolina","37",6538,4248218,153.9
,"2005","2005","Prostate","28010","North Dakota","38",575,324546,177.2
,"2005","2005","Prostate","28010","Ohio","39",7927,5586617,141.9
,"2005","2005","Prostate","28010","Oklahoma","40",2434,1752122,138.9
,"2005","2005","Prostate","28010","Oregon","41",2668,1789755,149.1
,"2005","2005","Prostate","28010","Pennsylvania","42",9835,6044937,162.7
,"2005","2005","Prostate","28010","Rhode Island","44",764,515084,148.3
,"2005","2005","Prostate","28010","South Carolina","45",3462,2077805,166.6
,"2005","2005","Prostate","28010","South Dakota","46",629,386472,162.8
,"2005","2005","Prostate","28010","Tennessee","47",3938,2922618,134.7
,"2005","2005","Prostate","28010","Texas","48",12543,11305125,110.9
,"2005","2005","Prostate","28010","Utah","49",1513,1232978,122.7
,"2005","2005","Prostate","28010","Vermont","50",519,305793,169.7
,"2005","2005","Prostate","28010","Virginia","51",5345,3713459,143.9
,"2005","2005","Prostate","28010","Washington","53",4553,3111909,146.3
,"2005","2005","Prostate","28010","West Virginia","54",1361,892802,152.4
,"2005","2005","Prostate","28010","Wisconsin","55",4281,2749105,155.7
,"2005","2005","Prostate","28010","Wyoming","56",387,260431,148.6
,"2005","2005","Prostate","28010","Puerto Rico","72",3017,1834718,164.4
