AGE_GROUP,STATE_NAME,STATE_FIPS,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
_85+,"District of Columbia",11,.,.,.,0.6666666667
_85+,Florida,12,118,27,145,0.8137931034
_85+,Georgia,13,36,15,51,0.7058823529
_85+,Hawaii,15,.,0,.,1
_85+,Idaho,16,.,.,.,0.9
_85+,Illinois,17,86,18,104,0.8269230769
_85+,Indiana,18,.,.,.,0.92
_85+,Iowa,19,.,.,.,0.8727272727
_85+,Kansas,20,.,.,.,0.84375
_85+,Kentucky,21,.,.,.,0.8636363636
_85+,Louisiana,22,.,.,.,0.8148148148
_85+,Maine,23,22,0,22,1
_85+,Maryland,24,.,.,.,0.8857142857
_85+,Massachusetts,25,.,.,.,0.8955223881
_85+,Michigan,26,.,.,.,0.8507462687
_85+,Minnesota,27,.,.,.,0.9333333333
_85+,Mississippi,28,.,.,.,0.7272727273
_85+,Missouri,29,.,.,.,0.8055555556
_85+,Montana,30,12,0,12,1
_85+,Nebraska,31,.,.,.,0.8947368421
_85+,Nevada,32,.,.,.,0.7777777778
_85+,"New Hampshire",33,.,.,.,0.9090909091
_85+,"New Jersey",34,59,15,74,0.7972972973
_85+,"New Mexico",35,.,.,.,0.8333333333
_85+,"New York",36,107,31,138,0.7753623188
_85+,"North Carolina",37,.,.,.,0.84375
_85+,"North Dakota",38,.,.,.,0.6666666667
_85+,Ohio,39,62,16,78,0.7948717949
_85+,Oklahoma,40,.,.,.,0.7692307692
_85+,Oregon,41,.,.,.,0.8823529412
_85+,Pennsylvania,42,67,11,78,0.858974359
_85+,"Rhode Island",44,.,0,.,1
_85+,"South Carolina",45,.,.,.,0.72
_85+,"South Dakota",46,.,.,.,0.9
_85+,Tennessee,47,27,11,38,0.7105263158
_85+,Texas,48,77,26,103,0.7475728155
_85+,Utah,49,.,0,.,1
_85+,Vermont,50,.,.,.,0.7142857143
_85+,Virginia,51,.,.,.,0.8214285714
_85+,Washington,53,.,.,.,0.8181818182
_85+,"West Virginia",54,.,.,.,0.8
_85+,Wisconsin,55,.,.,.,0.9024390244
_85+,Wyoming,56,.,.,.,0.8571428571
