income_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
"Less than $15,000",Wisconsin,55,13,32,45,20.604127869106,11.0216424017261,30.186613336486,24.4815518233604,17.3036372425736,31.6594664041472
"$15,000 to < $25,000",Wisconsin,55,27,53,80,41.5080056944328,27.091585775041,55.9244256138246,35.7945583200328,26.1055722174412,45.4835444226244
"$25,000 to < $35,000",Wisconsin,55,35,39,74,47.8755615362016,35.4857399926861,60.2653830797172,57.6191604003687,45.2763637821985,69.9619570185389
"$35,000 to < $50,000",Wisconsin,55,28,32,60,49.9033868372327,35.0513663831109,64.7554072913546,43.3071322871624,32.1580217111479,54.4562428631768
"$50,000 to < $75,000",Wisconsin,55,22,42,64,29.713597775007,18.0225940567846,41.4046014932293,.,.,.
"$75,000 to < $100,000",Wisconsin,55,8,23,31,21.0696699358434,11.0924830448276,31.0468568268593,28.3630406163407,13.0979431709456,43.6281380617358
"$100,000 to < $200,000",Wisconsin,55,10,31,41,23.834956654269,10.4462483661117,37.2236649424263,34.5717830002777,21.9188813213968,47.2246846791586
"$200,000 or more",Wisconsin,55,1,7,8,.,.,.,.,.,.
"Don’t know/Not sure/Missing",Wisconsin,55,21,33,54,43.7376354955903,29.4454816172128,58.0297893739677,47.98289520664,34.2741476303097,61.6916427829703
"Less than $15,000",Wyoming,56,3,14,17,.,.,.,.,.,.
"$15,000 to < $25,000",Wyoming,56,5,19,24,.,.,.,.,.,.
"$25,000 to < $35,000",Wyoming,56,5,31,36,.,.,.,.,.,.
"$35,000 to < $50,000",Wyoming,56,5,11,16,.,.,.,.,.,.
"$50,000 to < $75,000",Wyoming,56,6,17,23,.,.,.,.,.,.
"$75,000 to < $100,000",Wyoming,56,6,18,24,.,.,.,.,.,.
"$100,000 to < $200,000",Wyoming,56,1,14,15,.,.,.,.,.,.
"$200,000 or more",Wyoming,56,0,1,1,.,.,.,.,.,.
"Don’t know/Not sure/Missing",Wyoming,56,4,29,33,.,.,.,.,.,.
