Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States and Puerto Rico,States and Puerto Rico Code,Sex,Sex Code,Deaths,Population,Crude Rate
,2001,2001,Breast,26000,Iowa,19,Female,F,455,1492287,30.5
,2001,2001,Breast,26000,Kansas,20,Female,F,355,1365966,26
,2001,2001,Breast,26000,Kentucky,21,Female,F,636,2076871,30.6
,2001,2001,Breast,26000,Louisiana,22,Female,F,729,2308063,31.6
,2001,2001,Breast,26000,Maine,23,Female,F,182,659657,27.6
,2001,2001,Breast,26000,Maryland,24,Female,F,819,2779864,29.5
,2001,2001,Breast,26000,Massachusetts,25,Female,F,1048,3312567,31.6
,2001,2001,Breast,26000,Michigan,26,Female,F,1473,5089289,28.9
,2001,2001,Breast,26000,Minnesota,27,Female,F,687,2514149,27.3
,2001,2001,Breast,26000,Mississippi,28,Female,F,440,1473486,29.9
,2001,2001,Breast,26000,Missouri,29,Female,F,917,2895476,31.7
,2001,2001,Breast,26000,Montana,30,Female,F,124,454683,27.3
,2001,2001,Breast,26000,Nebraska,31,Female,F,254,871208,29.2
,2001,2001,Breast,26000,Nevada,32,Female,F,255,1030850,24.7
,2001,2001,Breast,26000,New Hampshire,33,Female,F,186,637412,29.2
,2001,2001,Breast,26000,New Jersey,34,Female,F,1467,4369932,33.6
,2001,2001,Breast,26000,New Jersey,34,Male,M,17,4122739,0.4
,2001,2001,Breast,26000,New Mexico,35,Female,F,183,930387,19.7
,2001,2001,Breast,26000,New York,36,Female,F,3125,9878713,31.6
,2001,2001,Breast,26000,New York,36,Male,M,43,9204125,0.5
,2001,2001,Breast,26000,North Carolina,37,Female,F,1154,4187317,27.6
,2001,2001,Breast,26000,North Carolina,37,Male,M,17,4022805,0.4
,2001,2001,Breast,26000,North Dakota,38,Female,F,103,319787,32.2
,2001,2001,Breast,26000,Ohio,39,Female,F,1941,5853691,33.2
,2001,2001,Breast,26000,Ohio,39,Male,M,20,5533713,0.4
,2001,2001,Breast,26000,Oklahoma,40,Female,F,536,1760052,30.5
,2001,2001,Breast,26000,Oregon,41,Female,F,520,1747889,29.8
,2001,2001,Breast,26000,Pennsylvania,42,Female,F,2316,6354395,36.4
,2001,2001,Breast,26000,Pennsylvania,42,Male,M,18,5944575,0.3
,2001,2001,Breast,26000,Rhode Island,44,Female,F,159,548974,29
,2001,2001,Breast,26000,South Carolina,45,Female,F,589,2089963,28.2
,2001,2001,Breast,26000,South Dakota,46,Female,F,87,381537,22.8
,2001,2001,Breast,26000,Tennessee,47,Female,F,845,2948421,28.7
,2001,2001,Breast,26000,Texas,48,Female,F,2483,10731190,23.1
,2001,2001,Breast,26000,Texas,48,Male,M,19,10588432,0.2
,2001,2001,Breast,26000,Utah,49,Female,F,197,1139182,17.3
,2001,2001,Breast,26000,Vermont,50,Female,F,106,311779,34
,2001,2001,Breast,26000,Virginia,51,Female,F,1077,3665386,29.4
,2001,2001,Breast,26000,Washington,53,Female,F,759,3002080,25.3
,2001,2001,Breast,26000,West Virginia,54,Female,F,309,923643,33.5
,2001,2001,Breast,26000,Wisconsin,55,Female,F,821,2733647,30
,2001,2001,Breast,26000,Wyoming,56,Female,F,60,245327,24.5
,2002,2002,Breast,26000,Alabama,01,Female,F,681,2314370,29.4
,2002,2002,Breast,26000,Alaska,02,Female,F,47,309633,15.2
,2002,2002,Breast,26000,Arizona,04,Female,F,659,2704217,24.4
,2002,2002,Breast,26000,Arkansas,05,Female,F,416,1383239,30.1
,2002,2002,Breast,26000,California,06,Female,F,4133,17498462,23.6
,2002,2002,Breast,26000,California,06,Male,M,41,17373381,0.2
,2002,2002,Breast,26000,Colorado,08,Female,F,493,2228665,22.1
,2002,2002,Breast,26000,Connecticut,09,Female,F,551,1780500,30.9
,2002,2002,Breast,26000,Delaware,10,Female,F,110,414652,26.5
,2002,2002,Breast,26000,District of Columbia,11,Female,F,110,303146,36.3
,2002,2002,Breast,26000,Florida,12,Female,F,2668,8541734,31.2
,2002,2002,Breast,26000,Georgia,13,Female,F,1042,4327934,24.1
,2002,2002,Breast,26000,Hawaii,15,Female,F,115,616192,18.7
,2002,2002,Breast,26000,Idaho,16,Female,F,173,668686,25.9
,2002,2002,Breast,26000,Illinois,17,Female,F,1897,6387897,29.7
,2002,2002,Breast,26000,Illinois,17,Male,M,19,6137659,0.3
,2002,2002,Breast,26000,Indiana,18,Female,F,900,3133342,28.7
,2002,2002,Breast,26000,Iowa,19,Female,F,483,1491450,32.4
,2002,2002,Breast,26000,Kansas,20,Female,F,419,1371898,30.5
,2002,2002,Breast,26000,Kentucky,21,Female,F,652,2087223,31.2
,2002,2002,Breast,26000,Louisiana,22,Female,F,718,2315524,31
,2002,2002,Breast,26000,Maine,23,Female,F,201,664226,30.3
,2002,2002,Breast,26000,Maryland,24,Female,F,879,2815197,31.2
,2002,2002,Breast,26000,Massachusetts,25,Female,F,1055,3319436,31.8
,2002,2002,Breast,26000,Michigan,26,Female,F,1516,5100171,29.7
,2002,2002,Breast,26000,Minnesota,27,Female,F,641,2531205,25.3
,2002,2002,Breast,26000,Mississippi,28,Female,F,419,1475412,28.4
,2002,2002,Breast,26000,Missouri,29,Female,F,893,2910476,30.7
,2002,2002,Breast,26000,Montana,30,Female,F,150,456712,32.8
,2002,2002,Breast,26000,Nebraska,31,Female,F,252,874803,28.8
,2002,2002,Breast,26000,Nevada,32,Female,F,270,1069764,25.2
,2002,2002,Breast,26000,New Hampshire,33,Female,F,176,643680,27.3
,2002,2002,Breast,26000,New Jersey,34,Female,F,1476,4398801,33.6
,2002,2002,Breast,26000,New Jersey,34,Male,M,20,4153842,0.5
,2002,2002,Breast,26000,New Mexico,35,Female,F,216,941856,22.9
,2002,2002,Breast,26000,New York,36,Female,F,2988,9902927,30.2
,2002,2002,Breast,26000,New York,36,Male,M,34,9234873,0.4
,2002,2002,Breast,26000,North Carolina,37,Female,F,1221,4250179,28.7
,2002,2002,Breast,26000,North Dakota,38,Female,F,103,319017,32.3
,2002,2002,Breast,26000,Ohio,39,Female,F,1913,5859385,32.6
,2002,2002,Breast,26000,Oklahoma,40,Female,F,546,1769080,30.9
,2002,2002,Breast,26000,Oregon,41,Female,F,501,1771126,28.3
,2002,2002,Breast,26000,Pennsylvania,42,Female,F,2317,6363832,36.4
,2002,2002,Breast,26000,Pennsylvania,42,Male,M,18,5967199,0.3
,2002,2002,Breast,26000,Rhode Island,44,Female,F,164,553090,29.7
,2002,2002,Breast,26000,South Carolina,45,Female,F,627,2111069,29.7
,2002,2002,Breast,26000,South Dakota,46,Female,F,109,382328,28.5
,2002,2002,Breast,26000,Tennessee,47,Female,F,865,2971873,29.1
,2002,2002,Breast,26000,Texas,48,Female,F,2510,10914653,23
,2002,2002,Breast,26000,Texas,48,Male,M,21,10775672,0.2
,2002,2002,Breast,26000,Utah,49,Female,F,220,1158853,19
,2002,2002,Breast,26000,Vermont,50,Female,F,81,312959,25.9
,2002,2002,Breast,26000,Virginia,51,Female,F,1059,3713695,28.5
,2002,2002,Breast,26000,Washington,53,Female,F,762,3036742,25.1
,2002,2002,Breast,26000,West Virginia,54,Female,F,274,923841,29.7
,2002,2002,Breast,26000,Wisconsin,55,Female,F,790,2751697,28.7
,2002,2002,Breast,26000,Wyoming,56,Female,F,53,247785,21.4
,2003,2003,Breast,26000,Alabama,01,Female,F,679,2324069,29.2
,2003,2003,Breast,26000,Alaska,02,Female,F,55,313034,17.6
,2003,2003,Breast,26000,Arizona,04,Female,F,675,2764077,24.4
,2003,2003,Breast,26000,Arkansas,05,Female,F,386,1391523,27.7
,2003,2003,Breast,26000,California,06,Female,F,4184,17709509,23.6
,2003,2003,Breast,26000,California,06,Male,M,34,17543650,0.2
,2003,2003,Breast,26000,Colorado,08,Female,F,506,2253214,22.5
,2003,2003,Breast,26000,Connecticut,09,Female,F,525,1793468,29.3
,2003,2003,Breast,26000,Delaware,10,Female,F,119,420802,28.3
,2003,2003,Breast,26000,District of Columbia,11,Female,F,97,300607,32.3
,2003,2003,Breast,26000,Florida,12,Female,F,2594,8697573,29.8
,2003,2003,Breast,26000,Florida,12,Male,M,27,8306512,0.3
